fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,shots_total,shots_on,goals_conceded,goals_saves,passes_total,passes_key,passes_accuracy,tackles_blocks,tackles_interceptions,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,tackles_total,goals_assists,goals_total,penalty_won,penalty_commited,offsides
208986,Bayern Munich,157,502,Joshua Kimmich,https://media.api-sports.io/football/players/502.png,90,32,D,7.7,False,False,1,0,0.0,,72,4,90%,0.0,0,2,2,1.0,0,1,0,0,0,0,,2.0,,,,,
208986,Bayern Munich,157,2725,Benjamin Pavard,https://media.api-sports.io/football/players/2725.png,90,5,D,6.9,False,False,1,1,0.0,,77,0,89%,0.0,1,0,0,,0,4,0,0,0,0,,,,1.0,,1.0,
208986,Bayern Munich,157,499,Jérôme Boateng,https://media.api-sports.io/football/players/499.png,90,17,D,6.8,False,False,0,0,0.0,,81,0,88%,0.0,1,0,0,,0,0,0,0,0,0,,1.0,,,,,
208986,Bayern Munich,157,509,Alphonso Davies,https://media.api-sports.io/football/players/509.png,90,19,D,7.2,False,False,1,0,0.0,,69,1,90%,1.0,2,5,4,1.0,3,1,0,0,0,0,,2.0,,,,,
208986,Bayern Munich,157,507,Thiago Alcántara,https://media.api-sports.io/football/players/507.png,90,6,M,8.0,False,False,0,0,0.0,,81,1,93%,0.0,2,7,6,,2,1,0,0,0,0,,4.0,,,,,
208986,Bayern Munich,157,508,Kingsley Coman,https://media.api-sports.io/football/players/508.png,65,29,M,6.6,False,False,1,0,0.0,,22,0,88%,0.0,0,2,2,,3,0,0,0,0,0,,1.0,,,,,
208986,Bayern Munich,157,522,Thomas Müller,https://media.api-sports.io/football/players/522.png,90,25,M,7.6,False,False,2,2,0.0,,39,3,84%,0.0,0,1,1,,1,0,0,0,0,0,,3.0,,,,,
208986,Bayern Munich,157,147,Philippe Coutinho,https://media.api-sports.io/football/players/147.png,86,10,M,6.9,False,False,2,1,0.0,,46,2,83%,0.0,0,2,0,1.0,2,0,0,0,0,0,,2.0,,,,,
208986,Bayern Munich,157,207,Ivan Perišić,https://media.api-sports.io/football/players/207.png,76,14,M,6.1,False,False,0,0,0.0,,27,0,84%,0.0,0,0,0,1.0,0,1,0,0,0,0,,,,,,1.0,
208986,Bayern Munich,157,521,Robert Lewandowski,https://media.api-sports.io/football/players/521.png,90,9,F,7.7,False,False,6,2,0.0,,17,1,68%,0.0,0,1,1,,3,1,0,0,0,0,,1.0,,1.0,,,
