fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,shots_total,shots_on,goals_conceded,goals_saves,passes_total,passes_key,passes_accuracy,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,tackles_total,dribbles_past,goals_assists,goals_total,penalty_commited,penalty_won
37562,Toulouse,96,22146,Manu García,https://media.api-sports.io/football/players/22146.png,65,22,M,5.9,False,False,1,0,,,11,0.0,78%,0,0,5.0,0.0,2.0,0.0,0,1,0,0,0,0,,,,,,,
37562,Toulouse,96,3244,Max Gradel,https://media.api-sports.io/football/players/3244.png,90,7,M,6.4,True,False,1,1,,,25,1.0,86%,0,2,23.0,7.0,7.0,3.0,1,1,0,0,0,0,,2.0,2.0,,,,
37562,Toulouse,96,22153,Aaron Leya Iseka,https://media.api-sports.io/football/players/22153.png,90,10,F,6.2,False,False,1,0,,,11,0.0,84%,1,0,11.0,2.0,4.0,1.0,0,3,0,0,0,0,,,,,,,
37562,Toulouse,96,22151,Corentin Jean,https://media.api-sports.io/football/players/22151.png,25,8,F,6.4,False,False,0,0,,,6,1.0,75%,0,0,6.0,2.0,2.0,1.0,1,0,0,0,0,0,,,1.0,,,,
37562,Toulouse,96,22155,Yaya Sanogo,https://media.api-sports.io/football/players/22155.png,25,9,F,6.4,False,False,0,0,,,7,0.0,58%,0,0,5.0,1.0,1.0,0.0,0,1,0,0,0,0,,,,,,,
37561,Nantes,83,21081,Ciprian Tătărușanu,https://media.api-sports.io/football/players/21081.png,90,30,G,6.3,False,False,0,0,3.0,3.0,30,0.0,90%,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,,,,,,
37561,Nantes,83,21086,Enock Kwateng,https://media.api-sports.io/football/players/21086.png,90,25,D,6.6,False,False,3,0,,,43,2.0,71%,0,3,9.0,4.0,2.0,0.0,0,1,0,0,0,0,,,2.0,,,,
37561,Nantes,83,30499,Koffi Djidji,https://media.api-sports.io/football/players/30499.png,90,5,D,6.3,False,False,0,0,,,45,0.0,83%,1,1,2.0,1.0,0.0,0.0,0,0,0,0,0,0,,1.0,,,,,
37561,Nantes,83,21090,Diego Carlos,https://media.api-sports.io/football/players/21090.png,90,3,D,6.6,False,False,0,0,,,43,0.0,72%,0,4,5.0,2.0,1.0,1.0,0,1,1,0,0,0,,1.0,,,,,
37561,Nantes,83,21082,Lucas Lima,https://media.api-sports.io/football/players/21082.png,90,6,D,7.2,False,False,0,0,,,47,3.0,88%,0,4,12.0,7.0,1.0,1.0,3,1,0,0,0,0,,,1.0,,,,
37561,Nantes,83,21103,Abdoulaye Touré,https://media.api-sports.io/football/players/21103.png,90,19,M,6.6,False,False,2,0,,,37,0.0,82%,0,2,4.0,1.0,1.0,0.0,0,0,0,0,0,0,,,1.0,,,,
37561,Nantes,83,21101,Samuel Moutoussamy,https://media.api-sports.io/football/players/21101.png,90,18,M,6.6,False,False,1,0,,,29,2.0,80%,0,2,10.0,5.0,1.0,1.0,2,0,0,0,0,0,,1.0,1.0,1.0,,,
37561,Nantes,83,21095,Lucas Evangelista,https://media.api-sports.io/football/players/21095.png,86,17,M,6.9,False,False,3,1,,,33,1.0,73%,0,1,17.0,11.0,1.0,0.0,5,1,0,0,0,0,,1.0,1.0,,,,
37561,Nantes,83,21102,Valentin Rongier,https://media.api-sports.io/football/players/21102.png,90,28,M,6.9,True,False,4,1,,,47,0.0,92%,0,1,7.0,4.0,3.0,2.0,1,0,0,0,0,0,,1.0,,,,,
37561,Nantes,83,21094,Abdoulaye Dabo,https://media.api-sports.io/football/players/21094.png,72,23,M,5.9,False,False,0,0,,,17,1.0,89%,0,0,16.0,5.0,6.0,1.0,1,2,0,0,0,0,,1.0,,,,,
37561,Nantes,83,3344,Kalifa Coulibaly,https://media.api-sports.io/football/players/3344.png,72,7,F,6.8,False,False,2,1,,,9,1.0,64%,0,0,14.0,4.0,1.0,0.0,1,2,0,0,0,0,,,,,,,
37561,Nantes,83,21260,Alexis Alégué,https://media.api-sports.io/football/players/21260.png,4,24,F,–,False,True,0,0,,,1,0.0,100%,0,0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,,,,,,,
37561,Nantes,83,3432,Majeed Waris,https://media.api-sports.io/football/players/3432.png,18,10,F,6.6,False,True,0,0,,,8,0.0,100%,0,0,2.0,2.0,0.0,0.0,1,0,0,0,0,0,,1.0,,,,,
37561,Nantes,83,84054,Emiliano Sala,https://media.api-sports.io/football/players/84054.png,18,9,F,7.3,False,True,1,1,,,8,1.0,88%,0,0,2.0,1.0,0.0,0.0,0,0,0,0,0,0,,,,,1.0,,
