fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_assists,goals_saves,passes_total,passes_accuracy,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,shots_total,shots_on,goals_total,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,fouls_committed,fouls_drawn,passes_key,dribbles_attempts,dribbles_success,dribbles_past,penalty_commited,offsides,penalty_won
1223598,Inter,505,31009,Alessandro Bastoni,https://media.api-sports.io/football/players/31009.png,90.0,95,D,6.9,False,False,0,0.0,,72.0,65,0,0,0,0,,,,,2.0,,,8.0,5.0,1.0,1.0,2.0,,,,,,
1223598,Inter,505,887,Matteo Darmian,https://media.api-sports.io/football/players/887.png,66.0,36,M,6.5,False,False,0,0.0,,25.0,20,0,0,0,0,,,,,1.0,,,7.0,3.0,2.0,1.0,,,,1.0,,1.0,
1223598,Inter,505,30558,Nicolò Barella,https://media.api-sports.io/football/players/30558.png,90.0,23,M,7,False,False,0,1.0,,61.0,54,0,0,0,0,,,,,,,,10.0,3.0,,2.0,3.0,1.0,1.0,3.0,,,
1223598,Inter,505,1640,Hakan Çalhanoğlu,https://media.api-sports.io/football/players/1640.png,75.0,20,M,7.5,False,False,0,0.0,,70.0,65,0,0,0,0,,1.0,,,4.0,,,8.0,6.0,,,,,,,,,
1223598,Inter,505,1457,Henrikh Mkhitaryan,https://media.api-sports.io/football/players/1457.png,66.0,22,M,6.2,False,False,0,0.0,,27.0,21,1,0,0,0,,1.0,,,,,,3.0,,1.0,,,2.0,,,,1.0,
1223598,Inter,505,31010,Federico Dimarco,https://media.api-sports.io/football/players/31010.png,75.0,32,M,6.9,False,False,0,0.0,,23.0,21,0,0,0,0,,2.0,1.0,,,,,1.0,1.0,,,2.0,,,,,,
1223598,Inter,505,217,Lautaro Martínez,https://media.api-sports.io/football/players/217.png,86.0,10,F,6.3,True,False,0,0.0,,18.0,14,0,0,0,0,,1.0,1.0,,,,,9.0,4.0,4.0,4.0,,1.0,,,,2.0,
1223598,Inter,505,21509,Marcus Thuram,https://media.api-sports.io/football/players/21509.png,90.0,9,F,9.2,False,False,0,0.0,,12.0,8,0,0,0,0,,5.0,5.0,2.0,1.0,,,11.0,7.0,1.0,1.0,2.0,2.0,1.0,1.0,,1.0,
1223598,Inter,505,31173,Davide Frattesi,https://media.api-sports.io/football/players/31173.png,24.0,16,M,7.3,False,True,0,1.0,,5.0,3,0,0,0,0,,1.0,,,,1.0,1.0,8.0,5.0,1.0,1.0,1.0,3.0,2.0,,,,
1223598,Inter,505,226,Denzel Dumfries,https://media.api-sports.io/football/players/226.png,24.0,2,D,6.5,False,True,0,0.0,,7.0,6,0,0,0,0,,,,,1.0,,,4.0,1.0,1.0,,1.0,,,2.0,,,
