fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_assists,passes_total,passes_accuracy,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,passes_key,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,shots_total,shots_on,dribbles_past,offsides,goals_total,goals_saves,penalty_won,penalty_commited
1396944,AD Ceuta FC,10139,183821,Yago Cantero,https://media.api-sports.io/football/players/183821.png,90.0,24,D,5.7,False,False,0,0.0,54.0,41,0,0,0,0,,,1.0,,4.0,4.0,1.0,,,,1.0,,,1.0,,,,,
1396944,AD Ceuta FC,10139,104830,Carlos Redruello,https://media.api-sports.io/football/players/104830.png,90.0,16,D,5.2,False,False,0,0.0,38.0,27,0,0,0,0,,1.0,1.0,,2.0,12.0,5.0,2.0,1.0,1.0,2.0,,,,,,,,
1396944,AD Ceuta FC,10139,47199,Yann Bodiger,https://media.api-sports.io/football/players/47199.png,64.0,14,M,6.3,False,False,0,0.0,46.0,36,0,0,0,0,,,2.0,,1.0,9.0,6.0,1.0,1.0,2.0,1.0,,,,,,,,
1396944,AD Ceuta FC,10139,453885,Aboubacar Bassinga,https://media.api-sports.io/football/players/453885.png,45.0,26,M,6.3,False,False,0,0.0,24.0,20,0,0,0,0,,,,,,11.0,5.0,2.0,2.0,1.0,1.0,,,,,,,,
1396944,AD Ceuta FC,10139,107142,Andy Escudero,https://media.api-sports.io/football/players/107142.png,78.0,20,M,6.9,False,False,0,0.0,26.0,20,0,0,0,0,,,,,,2.0,2.0,1.0,1.0,1.0,,,,,1.0,,,,
1396944,AD Ceuta FC,10139,122567,Kuki Zalazar,https://media.api-sports.io/football/players/122567.png,90.0,8,M,6.3,False,False,0,0.0,24.0,18,1,0,0,0,,1.0,2.0,,,16.0,7.0,3.0,1.0,2.0,3.0,2.0,,2.0,,,,,
1396944,AD Ceuta FC,10139,183107,Kialy Abdoul Kone,https://media.api-sports.io/football/players/183107.png,48.0,22,M,6,False,False,0,0.0,14.0,10,0,0,0,0,,,1.0,,,9.0,2.0,2.0,,1.0,,,,,,,,,
1396944,AD Ceuta FC,10139,46782,Manu Vallejo,https://media.api-sports.io/football/players/46782.png,45.0,21,F,6.5,False,False,0,0.0,7.0,4,0,0,0,0,,,,,,3.0,1.0,,,1.0,,,,,1.0,,,,
1396944,AD Ceuta FC,10139,51,Cristian Rodríguez,https://media.api-sports.io/football/players/51.png,45.0,10,M,6.5,False,True,0,0.0,21.0,11,0,0,0,0,,1.0,2.0,,1.0,7.0,2.0,1.0,,,,,,,,,,,
1396944,AD Ceuta FC,10139,185106,Youness Lachhab,https://media.api-sports.io/football/players/185106.png,45.0,5,M,6.9,False,True,0,0.0,38.0,34,0,0,0,0,,1.0,,,1.0,4.0,1.0,,,1.0,1.0,,,2.0,,,,,
1396944,AD Ceuta FC,10139,435682,Efe Ugiagbe,https://media.api-sports.io/football/players/435682.png,43.0,27,M,6.3,False,True,0,0.0,11.0,10,0,0,0,0,,,,,,5.0,2.0,1.0,,2.0,,,,,,,,,
1396944,AD Ceuta FC,10139,104425,Juanto Ortuño,https://media.api-sports.io/football/players/104425.png,27.0,11,F,6.3,False,True,0,0.0,5.0,2,0,0,0,0,,,1.0,,,3.0,1.0,1.0,,,1.0,1.0,,,,,,,
1396944,AD Ceuta FC,10139,2717,Anuar,https://media.api-sports.io/football/players/2717.png,13.0,23,M,6.3,False,True,0,0.0,2.0,1,0,0,0,0,,,,,1.0,3.0,1.0,,,1.0,,,,,,,,,
1396944,AD Ceuta FC,10139,104802,Pedro López,https://media.api-sports.io/football/players/104802.png,,1,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1396944,AD Ceuta FC,10139,291750,Aisar Ahmed,https://media.api-sports.io/football/players/291750.png,,7,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1396944,AD Ceuta FC,10139,182700,Albert Caparrós,https://media.api-sports.io/football/players/182700.png,,4,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1396944,AD Ceuta FC,10139,181651,Diego González,https://media.api-sports.io/football/players/181651.png,,15,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1396944,AD Ceuta FC,10139,46763,Jose Matos,https://media.api-sports.io/football/players/46763.png,,3,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1396944,AD Ceuta FC,10139,385439,Josema,https://media.api-sports.io/football/players/385439.png,,30,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1391254,Burgos,9580,47096,Ander Cantero,https://media.api-sports.io/football/players/47096.png,90.0,13,G,7,False,False,1,0.0,7.0,7,0,0,0,0,0.0,,,,,,,,,,,,,,,,1.0,,
1391254,Burgos,9580,79371,Anderson Arroyo,https://media.api-sports.io/football/players/79371.png,81.0,4,D,6.9,False,False,0,1.0,51.0,48,0,0,0,0,,2.0,,,,5.0,3.0,,,2.0,,,,2.0,1.0,,,,
1391254,Burgos,9580,179075,Aitor Córdoba Querejeta,https://media.api-sports.io/football/players/179075.png,90.0,18,D,7.2,True,False,0,0.0,78.0,75,0,0,0,0,,,,1.0,,6.0,3.0,,,,2.0,2.0,,,,,,,
1391254,Burgos,9580,104883,Grego Sierra,https://media.api-sports.io/football/players/104883.png,90.0,8,D,7.9,False,False,0,1.0,80.0,73,0,0,0,0,,2.0,1.0,1.0,1.0,4.0,3.0,,,,,1.0,,,,,,,
1391254,Burgos,9580,21433,Florian Miguel,https://media.api-sports.io/football/players/21433.png,90.0,12,D,6.6,False,False,0,0.0,48.0,42,0,0,0,0,,,,,5.0,11.0,6.0,,,3.0,2.0,1.0,,1.0,1.0,,,1.0,
1391254,Burgos,9580,182686,Iván Morante,https://media.api-sports.io/football/players/182686.png,90.0,23,M,7.3,False,False,0,0.0,71.0,68,0,0,0,0,,4.0,,,,8.0,1.0,1.0,1.0,,1.0,1.0,1.0,5.0,,,,,
1391254,Burgos,9580,181867,Miguel Atienza,https://media.api-sports.io/football/players/181867.png,90.0,5,M,7.3,False,False,0,0.0,62.0,51,0,0,0,0,,,3.0,2.0,5.0,12.0,7.0,,,,1.0,,,1.0,,,,,
1391254,Burgos,9580,308452,David González,https://media.api-sports.io/football/players/308452.png,86.0,14,M,7.5,False,False,0,0.0,17.0,13,0,0,1,0,,,2.0,,,12.0,6.0,4.0,1.0,2.0,2.0,2.0,1.0,,,1.0,,1.0,
1391254,Burgos,9580,104932,Curro,https://media.api-sports.io/football/players/104932.png,64.0,16,M,8.2,False,False,0,0.0,39.0,37,0,0,1,0,,,,,,3.0,1.0,,,1.0,1.0,2.0,2.0,,,2.0,,,
1391254,Burgos,9580,47279,Iñigo Cordoba,https://media.api-sports.io/football/players/47279.png,64.0,21,M,6.5,False,False,0,0.0,35.0,29,0,0,0,0,,1.0,2.0,,,13.0,5.0,4.0,,1.0,,1.0,,2.0,,,,,
1391254,Burgos,9580,184277,Fernando Niño,https://media.api-sports.io/football/players/184277.png,81.0,9,F,7.5,False,False,0,0.0,29.0,24,1,0,0,0,,1.0,2.0,,,7.0,3.0,1.0,1.0,,1.0,2.0,2.0,,1.0,1.0,,,
1391254,Burgos,9580,8671,Kevin Appin,https://media.api-sports.io/football/players/8671.png,27.0,10,M,6.9,False,True,0,0.0,10.0,9,0,0,0,0,,,,,,6.0,3.0,1.0,1.0,1.0,2.0,,,,,,,,
1391254,Burgos,9580,182757,Iván Chapela,https://media.api-sports.io/football/players/182757.png,27.0,19,F,8.2,False,True,0,1.0,14.0,13,0,0,0,0,,3.0,1.0,,,1.0,1.0,,,,,,,,,,,,
1391254,Burgos,9580,387097,Álex Lizancos,https://media.api-sports.io/football/players/387097.png,10.0,2,D,6.7,False,True,0,0.0,6.0,6,0,0,0,0,,,,,,1.0,,,,,1.0,,,,,,,,
1391254,Burgos,9580,284241,Mateo Mejia,https://media.api-sports.io/football/players/284241.png,10.0,7,F,7,False,True,0,0.0,2.0,2,0,0,0,0,,,,,,,,,,,,1.0,1.0,,,1.0,,,
1391254,Burgos,9580,384137,Mario Cantero,https://media.api-sports.io/football/players/384137.png,5.0,17,M,,False,True,0,0.0,3.0,3,0,0,0,0,,,,,,,,,,,,,,,,,,,
1391254,Burgos,9580,296494,Marc Monedero,https://media.api-sports.io/football/players/296494.png,,37,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1391254,Burgos,9580,46760,Sergio González,https://media.api-sports.io/football/players/46760.png,,6,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1391254,Burgos,9580,285161,Brais Martínez,https://media.api-sports.io/football/players/285161.png,,22,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1391254,Burgos,9580,337006,Saúl del Cerro,https://media.api-sports.io/football/players/337006.png,,28,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1391254,Burgos,9580,335058,Marcelo Expósito,https://media.api-sports.io/football/players/335058.png,,33,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1391254,Burgos,9580,385401,Ethan Ventosa,https://media.api-sports.io/football/players/385401.png,,32,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1391254,Burgos,9580,319137,Fermín García,https://media.api-sports.io/football/players/319137.png,,31,F,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
