fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_saves,passes_total,passes_accuracy,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,passes_key,duels_total,duels_won,dribbles_attempts,fouls_drawn,tackles_total,tackles_blocks,fouls_committed,penalty_commited,shots_total,shots_on,dribbles_success,dribbles_past,tackles_interceptions,offsides,goals_total,penalty_won,goals_assists
1037952,Almeria,723,46870,Diego Mariño,https://media.api-sports.io/football/players/46870.png,90.0,1,G,6.9,False,False,2,2.0,21.0,17,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
1037952,Almeria,723,46688,Alejandro Pozo,https://media.api-sports.io/football/players/46688.png,66.0,17,D,6.5,False,False,0,,37.0,29,0,0,0,0,,1.0,4.0,2.0,2.0,1.0,,,,,,,,,,,,,
1037952,Almeria,723,1565,Edgar González,https://media.api-sports.io/football/players/1565.png,90.0,3,D,6.7,False,False,0,,93.0,87,0,0,0,0,,,7.0,4.0,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,
1037952,Almeria,723,340,Srđan Babić,https://media.api-sports.io/football/players/340.png,90.0,22,D,6.9,False,False,0,,62.0,58,0,0,0,0,,,8.0,5.0,,,2.0,1.0,2.0,,1.0,,,,,,,,
1037952,Almeria,723,47530,Sergio Akieme,https://media.api-sports.io/football/players/47530.png,90.0,15,D,7.5,False,False,0,,39.0,34,0,0,0,0,,2.0,17.0,10.0,8.0,,3.0,1.0,3.0,1.0,1.0,1.0,6.0,1.0,,,,,
1037952,Almeria,723,6065,Lucas Robertone,https://media.api-sports.io/football/players/6065.png,77.0,5,M,6.9,True,False,0,,56.0,47,0,0,0,0,,1.0,10.0,7.0,1.0,3.0,2.0,,,,1.0,,,,1.0,,,,
1037952,Almeria,723,46739,Iddrisu Baba,https://media.api-sports.io/football/players/46739.png,77.0,4,M,7,False,False,0,,37.0,33,0,0,0,0,,1.0,11.0,5.0,1.0,2.0,1.0,,3.0,,2.0,,,,1.0,,,,
1037952,Almeria,723,237103,Lázaro,https://media.api-sports.io/football/players/237103.png,45.0,14,M,6.2,False,False,0,,8.0,7,0,0,0,0,,1.0,6.0,2.0,2.0,2.0,,,1.0,,1.0,,,,,,,,
1037952,Almeria,723,138776,Largie Ramazani,https://media.api-sports.io/football/players/138776.png,83.0,7,M,6.9,False,False,0,,17.0,15,1,0,0,0,,2.0,16.0,8.0,5.0,5.0,1.0,,1.0,,2.0,2.0,2.0,2.0,1.0,,,,
1037952,Almeria,723,47554,Adrián Embarba,https://media.api-sports.io/football/players/47554.png,90.0,10,M,7.3,False,False,0,,30.0,27,0,0,0,0,,3.0,17.0,7.0,6.0,2.0,2.0,,3.0,,3.0,,2.0,,,,,,
1037952,Almeria,723,47237,Luis Javier Suárez,https://media.api-sports.io/football/players/47237.png,90.0,9,F,6.9,False,False,0,,12.0,9,0,0,0,0,,,11.0,7.0,,6.0,1.0,,2.0,,3.0,2.0,,,,1.0,,,
1037952,Almeria,723,162033,Sergio Arribas,https://media.api-sports.io/football/players/162033.png,45.0,19,M,7.3,False,True,0,,22.0,21,0,0,0,0,,3.0,6.0,4.0,2.0,1.0,2.0,,,,1.0,,1.0,,1.0,,,,
1037952,Almeria,723,295793,Marc Pubill,https://media.api-sports.io/football/players/295793.png,24.0,18,D,6.9,False,True,0,,19.0,16,0,0,0,0,,2.0,2.0,1.0,,,1.0,,,,,,,,,,,,
1037952,Almeria,723,203468,Dion Lopy,https://media.api-sports.io/football/players/203468.png,13.0,6,M,6.6,False,True,0,,13.0,12,0,0,0,0,,,3.0,2.0,,2.0,,,,,1.0,,,1.0,,,,,
1037952,Almeria,723,47576,Gonzalo Melero,https://media.api-sports.io/football/players/47576.png,13.0,11,M,6.9,False,True,0,,13.0,9,0,0,0,0,,,1.0,1.0,1.0,,,1.0,,,,,1.0,,,,,,
1037952,Almeria,723,312650,Marko Milovanović,https://media.api-sports.io/football/players/312650.png,12.0,29,F,6.3,False,True,0,,1.0,1,0,0,0,0,,,1.0,,,,,,,,,,,,,,,,
1037952,Almeria,723,354550,Bruno Alemán,https://media.api-sports.io/football/players/354550.png,,37,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1037952,Almeria,723,46904,Fernando Martínez,https://media.api-sports.io/football/players/46904.png,,13,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
