rank,team_id,team_name,team_logo,points,goals_diff,group,form,status,description,played,wins,draws,losses,goals_for,goals_against,home_played,home_wins,home_draws,home_losses,home_goals_for,home_goals_against,away_played,away_wins,away_draws,away_losses,away_goals_for,away_goals_against
1,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,95,61,Primera División,DDWWW,same,Promotion - Champions League (Group Stage: ),38,29,8,1,87,26,19,16,3,0,48,9,19,13,5,1,39,17
2,529,Barcelona,https://media.api-sports.io/football/teams/529.png,85,35,Primera División,WWWWL,same,Promotion - Champions League (Group Stage: ),38,26,7,5,79,44,19,15,1,3,43,21,19,11,6,2,36,23
3,547,Girona,https://media.api-sports.io/football/teams/547.png,81,39,Primera División,WWLDW,same,Promotion - Champions League (Group Stage: ),38,25,6,7,85,46,19,15,2,2,53,20,19,10,4,5,32,26
4,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,76,27,Primera División,WLWWW,same,Promotion - Champions League (Group Stage: ),38,24,4,10,70,43,19,16,1,2,42,22,19,8,3,8,28,21
5,531,Athletic Club,https://media.api-sports.io/football/teams/531.png,68,24,Primera División,WWLDW,same,Promotion - Europa League (Group Stage: ),38,19,11,8,61,37,19,12,6,1,42,18,19,7,5,7,19,19
6,548,Real Sociedad,https://media.api-sports.io/football/teams/548.png,60,12,Primera División,LWWLW,same,Promotion - Europa League (Group Stage: ),38,16,12,10,51,39,19,8,6,5,26,20,19,8,6,5,25,19
7,543,Real Betis,https://media.api-sports.io/football/teams/543.png,57,3,Primera División,DLDWW,same,Promotion - Europa Conference League (Qualification: ),38,14,15,9,48,45,19,9,7,3,27,19,19,5,8,6,21,26
8,533,Villarreal,https://media.api-sports.io/football/teams/533.png,53,0,Primera División,DDWWL,same,,38,14,11,13,65,65,19,7,5,7,36,32,19,7,6,6,29,33
9,532,Valencia,https://media.api-sports.io/football/teams/532.png,49,-5,Primera División,DLLDL,same,,38,13,10,15,40,45,19,8,6,5,20,14,19,5,4,10,20,31
10,542,Alaves,https://media.api-sports.io/football/teams/542.png,46,-10,Primera División,DWLDW,same,,38,12,10,16,36,46,19,9,4,6,23,19,19,3,6,10,13,27
11,727,Osasuna,https://media.api-sports.io/football/teams/727.png,45,-11,Primera División,DWDDL,same,,38,12,9,17,45,56,19,6,5,8,19,26,19,6,4,9,26,30
12,546,Getafe,https://media.api-sports.io/football/teams/546.png,43,-12,Primera División,LLLLL,same,,38,10,13,15,42,54,19,8,5,6,20,22,19,2,8,9,22,32
13,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,41,-11,Primera División,DWWLW,same,,38,10,11,17,46,57,19,6,6,7,21,23,19,4,5,10,25,34
14,536,Sevilla,https://media.api-sports.io/football/teams/536.png,41,-6,Primera División,LLLLW,same,,38,10,11,17,48,54,19,6,5,8,27,27,19,4,6,9,21,27
15,798,Mallorca,https://media.api-sports.io/football/teams/798.png,40,-11,Primera División,WDDWL,same,,38,8,16,14,33,44,19,6,8,5,17,16,19,2,8,9,16,28
16,534,Las Palmas,https://media.api-sports.io/football/teams/534.png,40,-14,Primera División,DDDLL,same,,38,10,10,18,33,47,19,6,6,7,20,20,19,4,4,11,13,27
17,728,Rayo Vallecano,https://media.api-sports.io/football/teams/728.png,38,-19,Primera División,LLWDL,same,,38,8,14,16,29,48,19,4,8,7,18,26,19,4,6,9,11,22
18,724,Cadiz,https://media.api-sports.io/football/teams/724.png,33,-29,Primera División,LDWWL,same,Relegation - LaLiga2,38,6,15,17,26,55,19,5,9,5,16,19,19,1,6,12,10,36
19,723,Almeria,https://media.api-sports.io/football/teams/723.png,21,-32,Primera División,WDLLW,same,Relegation - LaLiga2,38,3,12,23,43,75,19,1,8,10,22,36,19,2,4,13,21,39
20,715,Granada CF,https://media.api-sports.io/football/teams/715.png,21,-41,Primera División,LLLLL,same,Relegation - LaLiga2,38,4,9,25,38,79,19,4,6,9,24,32,19,0,3,16,14,47
