fixture_id,date,timestamp,status,maintime,first_half,second_half,extratime,country,league_id,league_name,league_flag,league_logo,season,round,venue_name,venue_city,venue_id,referee,home_team,home_team_id,home_team_flag,home_winner,away_team,away_team_id,away_team_flag,away_winner,home_goals,away_goals,halftime_home,halftime_away,fulltime_home,fulltime_away,home_team_name,home_team_logo,home_Shots on Goal,home_Shots off Goal,home_Total Shots,home_Blocked Shots,home_Shots insidebox,home_Shots outsidebox,home_Fouls,home_Corner Kicks,home_Offsides,home_Ball Possession,home_Yellow Cards,home_Red Cards,home_Goalkeeper Saves,home_Total passes,home_Passes accurate,home_Passes %,home_Counter Attacks,away_team_name,away_team_logo,away_Shots on Goal,away_Shots off Goal,away_Total Shots,away_Blocked Shots,away_Shots insidebox,away_Shots outsidebox,away_Fouls,away_Corner Kicks,away_Offsides,away_Ball Possession,away_Yellow Cards,away_Red Cards,away_Goalkeeper Saves,away_Total passes,away_Passes accurate,away_Passes %,away_Counter Attacks,odds_home_win,odds_draw,odds_away_win
29136,2018-12-08 14:00:00+00:00,1544277600,FT,90,1544277600,1544281200,,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 15,Stadio San Paolo,Naples,,"Gianluca Manganiello, Italy",Napoli,492,https://media.api-sports.io/football/teams/492.png,True,Frosinone,512,https://media.api-sports.io/football/teams/512.png,False,4,0,2,0,4,0,Napoli,https://media.api-sports.io/football/teams/492.png,8,9,22.0,5,10.0,12.0,7,9,2.0,67%,1.0,0.0,2,745.0,682.0,92%,,Frosinone,https://media.api-sports.io/football/teams/512.png,2,4,8.0,2,4.0,4.0,10,3,1.0,33%,2.0,0.0,4,359.0,292.0,81%,,,,
29131,2018-12-08 17:00:00+00:00,1544288400,FT,90,1544288400,1544292000,,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 15,Sardegna Arena,Cagliari,883.0,"Paolo Silvio Mazzoleni, Italy",Cagliari,490,https://media.api-sports.io/football/teams/490.png,,AS Roma,497,https://media.api-sports.io/football/teams/497.png,,2,2,0,2,2,2,Cagliari,https://media.api-sports.io/football/teams/490.png,5,8,16.0,3,13.0,3.0,17,7,2.0,55%,4.0,2.0,4,467.0,359.0,77%,,AS Roma,https://media.api-sports.io/football/teams/497.png,6,14,24.0,4,13.0,11.0,12,5,3.0,45%,1.0,0.0,3,377.0,291.0,77%,,,,
29135,2018-12-08 19:30:00+00:00,1544297400,FT,90,1544297400,1544301000,,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 15,Stadio Olimpico,Rome,,"Davide Massa, Italy",Lazio,487,https://media.api-sports.io/football/teams/487.png,,Sampdoria,498,https://media.api-sports.io/football/teams/498.png,,2,2,0,1,2,2,Lazio,https://media.api-sports.io/football/teams/487.png,11,11,29.0,7,23.0,6.0,12,10,6.0,53%,3.0,0.0,0,466.0,382.0,82%,,Sampdoria,https://media.api-sports.io/football/teams/498.png,2,2,5.0,1,2.0,3.0,13,6,3.0,47%,6.0,1.0,8,428.0,321.0,75%,,,,
29138,2018-12-09 11:30:00+00:00,1544355000,FT,90,1544355000,1544358600,,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 15,Mapei Stadium – Città del Tricolore,Reggio Emilia,935.0,"Daniele Chiffi, Italy",Sassuolo,488,https://media.api-sports.io/football/teams/488.png,,Fiorentina,502,https://media.api-sports.io/football/teams/502.png,,3,3,0,0,3,3,Sassuolo,https://media.api-sports.io/football/teams/488.png,7,3,17.0,7,7.0,10.0,13,6,2.0,54%,4.0,1.0,2,389.0,313.0,80%,,Fiorentina,https://media.api-sports.io/football/teams/502.png,6,8,18.0,4,13.0,5.0,15,10,0.0,46%,5.0,1.0,4,317.0,249.0,79%,,,,
29139,2018-12-09 14:00:00+00:00,1544364000,FT,90,1544364000,1544367600,,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 15,Dacia Arena,Udine,928.0,"Gianpaolo Calvarese, Italy",Udinese,494,https://media.api-sports.io/football/teams/494.png,False,Atalanta,499,https://media.api-sports.io/football/teams/499.png,True,1,3,1,1,1,3,Udinese,https://media.api-sports.io/football/teams/494.png,1,4,7.0,2,5.0,2.0,16,2,5.0,30%,1.0,0.0,1,315.0,230.0,73%,,Atalanta,https://media.api-sports.io/football/teams/499.png,4,9,19.0,6,15.0,4.0,6,7,0.0,70%,1.0,0.0,0,706.0,620.0,88%,,,,
29132,2018-12-09 14:00:00+00:00,1544364000,FT,90,1544364000,1544367600,,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 15,Carlo Castellani,Empoli,,"Paolo Valeri, Italy",Empoli,511,https://media.api-sports.io/football/teams/511.png,True,Bologna,500,https://media.api-sports.io/football/teams/500.png,False,2,1,1,1,2,1,Empoli,https://media.api-sports.io/football/teams/511.png,4,5,12.0,3,10.0,2.0,6,4,1.0,41%,2.0,0.0,6,391.0,320.0,82%,,Bologna,https://media.api-sports.io/football/teams/500.png,8,8,22.0,6,16.0,6.0,8,8,3.0,59%,2.0,0.0,2,550.0,478.0,87%,,,,
29137,2018-12-09 14:00:00+00:00,1544364000,FT,90,1544364000,1544367600,,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 15,Ennio Tardini,Parma,,"Federico La Penna, Italy",Parma,523,https://media.api-sports.io/football/teams/523.png,,Chievo,491,https://media.api-sports.io/football/teams/491.png,,1,1,0,0,1,1,Parma,https://media.api-sports.io/football/teams/523.png,6,8,17.0,3,9.0,8.0,16,8,,51%,4.0,0.0,0,412.0,332.0,81%,,Chievo,https://media.api-sports.io/football/teams/491.png,1,11,16.0,4,11.0,5.0,17,2,,49%,4.0,1.0,5,383.0,297.0,78%,,,,
29133,2018-12-09 17:00:00+00:00,1544374800,FT,90,1544374800,1544378400,,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 15,Luigi Ferraris,Genova,,"Fabrizio Pasqua, Italy",Genoa,495,https://media.api-sports.io/football/teams/495.png,,Spal,493,https://media.api-sports.io/football/teams/493.png,,1,1,1,1,1,1,Genoa,https://media.api-sports.io/football/teams/495.png,2,3,5.0,0,2.0,3.0,10,1,3.0,27%,1.0,1.0,5,232.0,143.0,62%,,Spal,https://media.api-sports.io/football/teams/493.png,5,14,23.0,4,10.0,13.0,10,6,0.0,73%,5.0,0.0,1,608.0,537.0,88%,,,,
29130,2018-12-09 19:30:00+00:00,1544383800,FT,90,1544383800,1544387400,,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 15,San Siro/Giuseppe Meazza,Milan,,"Daniele Orsato, Italy",AC Milan,489,https://media.api-sports.io/football/teams/489.png,,Torino,503,https://media.api-sports.io/football/teams/503.png,,0,0,0,0,0,0,AC Milan,https://media.api-sports.io/football/teams/489.png,3,7,16.0,6,11.0,5.0,10,11,1.0,57%,2.0,0.0,4,461.0,386.0,84%,,Torino,https://media.api-sports.io/football/teams/503.png,4,7,13.0,2,8.0,5.0,16,3,0.0,43%,3.0,0.0,3,354.0,271.0,77%,,,,
29145,2018-12-15 17:00:00+00:00,1544893200,FT,90,1544893200,1544896800,,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 16,San Siro/Giuseppe Meazza,Milan,,"Rosario Abisso, Italy",Inter,505,https://media.api-sports.io/football/teams/505.png,True,Udinese,494,https://media.api-sports.io/football/teams/494.png,False,1,0,0,0,1,0,Inter,https://media.api-sports.io/football/teams/505.png,4,11,22.0,7,11.0,11.0,11,10,1.0,64%,3.0,0.0,1,685.0,601.0,88%,,Udinese,https://media.api-sports.io/football/teams/494.png,1,6,7.0,0,3.0,4.0,8,0,1.0,36%,1.0,0.0,4,389.0,309.0,79%,,,,
