fixture_id,date,timestamp,status,maintime,first_half,second_half,extratime,country,league_id,league_name,league_flag,league_logo,season,round,venue_name,venue_city,venue_id,referee,home_team,home_team_id,home_team_flag,away_team,away_team_id,away_team_flag,home_goals,away_goals,halftime_home,halftime_away,fulltime_home,fulltime_away,home_shots_on_goal,home_shots_off_goal,home_total_shots,home_blocked_shots,home_shots_insidebox,home_shots_outsidebox,home_fouls,home_corner_kicks,home_offsides,home_ball_possession,home_yellow_cards,home_red_cards,home_goalkeeper_saves,home_total_passes,home_passes_accurate,home_passes,home_counter_attacks,away_shots_on_goal,away_shots_off_goal,away_total_shots,away_blocked_shots,away_shots_insidebox,away_shots_outsidebox,away_fouls,away_corner_kicks,away_offsides,away_ball_possession,away_yellow_cards,away_red_cards,away_goalkeeper_saves,away_total_passes,away_passes_accurate,away_passes,home_points,away_points,home_goals_for,away_goals_for,home_goals_against,away_goals_against,home_played,away_played,home_wins,away_wins,home_draws,away_draws,home_losses,away_losses,home_goals_diff,away_goals_diff,home_rank,away_rank
29277,2019-03-31 13:00:00+00:00,1554037200,FT,90,1554037200,1554040800,0.0,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 29,Stadio Olimpico,Rome,,"Gianpaolo Calvarese, Italy",As Roma,497,https://media.api-sports.io/football/teams/497.png,Napoli,492,https://media.api-sports.io/football/teams/492.png,1,4,1,1,1,4,3,7,14.0,4,5.0,9.0,14,4,0.0,0.39,4.0,0.0,6,385.0,311.0,0.81,,10,3,20.0,7,12.0,8.0,13,7,2.0,0.61,2.0,0.0,2,619.0,559.0,0.9,3875,4642,3880,4344,2823,2111,2232,2232,1057,1410,704,412,471,410,1057,2233,6,2
29272,2019-03-31 13:00:00+00:00,1554037200,FT,90,1554037200,1554040800,0.0,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 29,Stadio Artemio Franchi,Florence,,"Fabrizio Pasqua, Italy",Fiorentina,502,https://media.api-sports.io/football/teams/502.png,Torino,503,https://media.api-sports.io/football/teams/503.png,1,1,1,1,1,1,8,9,23.0,6,18.0,5.0,16,7,1.0,0.43,0.0,0.0,2,287.0,206.0,0.72,,3,4,10.0,3,4.0,6.0,7,5,0.0,0.57,2.0,0.0,7,389.0,276.0,0.71,2415,3698,2769,3053,2645,2172,2232,2232,472,939,999,881,761,412,124,881,14,7
29270,2019-03-31 16:00:00+00:00,1554048000,FT,90,1554048000,1554051600,0.0,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 29,Stadio Renato Dall'Ara,Bologna,881,"Marco Guida, Italy",Bologna,500,https://media.api-sports.io/football/teams/500.png,Sassuolo,488,https://media.api-sports.io/football/teams/488.png,2,1,0,0,2,1,8,4,13.0,1,8.0,5.0,17,9,6.0,0.42,2.0,0.0,2,298.0,221.0,0.74,,3,2,10.0,5,5.0,5.0,18,4,2.0,0.58,3.0,0.0,6,413.0,322.0,0.78,2576,2526,2809,3113,3290,3527,2232,2232,643,529,647,939,942,764,-481,-414,10,11
29274,2019-03-31 18:30:00+00:00,1554057000,FT,90,1554057000,1554060600,0.0,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 29,San Siro/Giuseppe Meazza,Milan,,"Paolo Silvio Mazzoleni, Italy",Inter,505,https://media.api-sports.io/football/teams/505.png,Lazio,487,https://media.api-sports.io/football/teams/487.png,0,1,0,1,0,1,7,5,18.0,6,11.0,7.0,11,12,1.0,0.65,0.0,0.0,4,624.0,547.0,0.88,,5,1,6.0,0,5.0,1.0,14,3,1.0,0.35,0.0,0.0,7,346.0,268.0,0.77,4055,3467,3349,3289,1938,2697,2232,2231,1176,999,527,470,529,762,1411,592,4,8
29280,2019-04-02 17:00:00+00:00,1554224400,FT,90,1554224400,1554228000,0.0,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 30,San Siro/Giuseppe Meazza,Milan,,"Luca Banti, Italy",Ac Milan,489,https://media.api-sports.io/football/teams/489.png,Udinese,494,https://media.api-sports.io/football/teams/494.png,1,1,1,0,1,1,6,5,18.0,7,12.0,6.0,14,7,0.0,0.57,0.0,0.0,1,483.0,402.0,0.83,,2,4,7.0,1,4.0,3.0,12,5,0.0,0.43,0.0,0.0,5,373.0,282.0,0.76,3995,2522,3233,2288,2115,3114,2233,2232,1116,645,647,587,470,1000,1118,-826,5,12
29282,2019-04-02 19:00:00+00:00,1554231600,FT,90,1554231600,1554235200,0.0,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 30,Sardegna Arena,Cagliari,883,"Piero Giacomelli, Italy",Cagliari,490,https://media.api-sports.io/football/teams/490.png,Juventus,496,https://media.api-sports.io/football/teams/496.png,0,2,0,1,0,2,0,5,9.0,4,7.0,2.0,17,3,2.0,0.44,3.0,0.0,4,412.0,322.0,0.78,,6,7,17.0,4,13.0,4.0,10,5,3.0,0.56,2.0,0.0,0,498.0,408.0,0.82,2411,5298,2116,4120,3172,1759,2233,2233,588,1649,647,351,998,233,-1056,2361,15,1
29283,2019-04-03 17:00:00+00:00,1554310800,FT,90,1554310800,1554314400,0.0,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 30,Carlo Castellani,Empoli,,"Daniele Doveri, Italy",Empoli,511,https://media.api-sports.io/football/teams/511.png,Napoli,492,https://media.api-sports.io/football/teams/492.png,2,1,1,1,2,1,7,5,15.0,3,11.0,4.0,13,8,0.0,0.37,2.0,0.0,4,383.0,311.0,0.81,,5,6,14.0,3,9.0,5.0,6,2,2.0,0.63,2.0,0.0,5,652.0,581.0,0.89,2229,4645,2994,4348,4115,2112,2233,2233,586,1411,471,412,1176,410,-1121,2236,18,2
29289,2019-04-03 19:00:00+00:00,1554318000,FT,90,1554318000,1554321600,0.0,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 30,Stadio Olimpico Grande Torino,Torino,943,"Fabio Maresca, Italy",Torino,503,https://media.api-sports.io/football/teams/503.png,Sampdoria,498,https://media.api-sports.io/football/teams/498.png,2,1,2,0,2,1,6,10,18.0,2,9.0,9.0,12,6,1.0,0.46,3.0,0.0,2,314.0,211.0,0.67,,3,2,8.0,3,1.0,7.0,12,3,0.0,0.54,3.0,0.0,4,379.0,273.0,0.72,3699,3119,3054,3530,2173,2996,2233,2233,939,883,882,470,412,880,881,534,7,9
29286,2019-04-03 19:00:00+00:00,1554318000,FT,90,1554318000,1554321600,0.0,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 30,Stadio Olimpico,Rome,,"Davide Massa, Italy",As Roma,497,https://media.api-sports.io/football/teams/497.png,Fiorentina,502,https://media.api-sports.io/football/teams/502.png,2,2,1,1,2,2,4,8,15.0,3,10.0,5.0,15,4,0.0,0.49,3.0,0.0,2,403.0,316.0,0.78,,4,6,12.0,2,4.0,8.0,15,6,1.0,0.51,4.0,0.0,2,414.0,328.0,0.79,3875,2416,3881,2770,2827,2646,2233,2233,1057,472,704,1000,472,761,1054,124,6,14
29284,2019-04-03 19:00:00+00:00,1554318000,FT,90,1554318000,1554321600,0.0,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 30,Stadio Benito Stirpe,Frosinone,904,"Gianluca Manganiello, Italy",Frosinone,512,https://media.api-sports.io/football/teams/512.png,Parma,523,https://media.api-sports.io/football/teams/523.png,3,2,2,1,3,2,4,12,21.0,5,13.0,8.0,15,3,2.0,0.61,3.0,0.0,2,454.0,378.0,0.83,,4,7,12.0,1,7.0,5.0,19,3,3.0,0.39,4.0,0.0,1,302.0,212.0,0.7,1467,2411,1703,2409,4056,3585,2233,2233,293,589,588,644,1352,1000,-2353,-1176,19,16
29288,2019-04-03 19:00:00+00:00,1554318000,FT,90,1554318000,1554321600,0.0,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 30,Stadio Paolo Mazza,Ferrara,938,"Marco Guida, Italy",Spal,493,https://media.api-sports.io/football/teams/493.png,Lazio,487,https://media.api-sports.io/football/teams/487.png,1,0,0,0,1,0,4,6,12.0,2,5.0,7.0,10,2,0.0,0.35,2.0,0.0,3,302.0,231.0,0.76,,3,4,11.0,4,5.0,6.0,18,7,5.0,0.65,5.0,0.0,3,573.0,492.0,0.86,2465,3470,2578,3290,3290,2697,2233,2232,645,1000,530,470,1058,762,-712,593,13,8
29285,2019-04-03 19:00:00+00:00,1554318000,FT,90,1554318000,1554321600,0.0,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 30,Luigi Ferraris,Genova,,"Maurizio Mariani, Italy",Genoa,495,https://media.api-sports.io/football/teams/495.png,Inter,505,https://media.api-sports.io/football/teams/505.png,0,4,0,2,0,4,2,3,8.0,3,6.0,2.0,10,1,1.0,0.23,2.0,1.0,3,254.0,191.0,0.75,,7,5,14.0,2,11.0,3.0,12,6,3.0,0.77,1.0,0.0,2,883.0,818.0,0.93,2237,4055,2296,3349,3350,1939,2233,2233,472,1176,821,527,940,530,-1054,1410,17,4
29287,2019-04-04 17:00:00+00:00,1554397200,FT,90,1554397200,1554400800,0.0,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 30,Mapei Stadium – Città del Tricolore,Reggio Emilia,935,"Lorenzo Maggioni, Italy",Sassuolo,488,https://media.api-sports.io/football/teams/488.png,Chievo,491,https://media.api-sports.io/football/teams/491.png,4,0,2,0,4,0,8,5,17.0,4,8.0,9.0,14,5,1.0,0.56,1.0,0.0,5,512.0,433.0,0.85,,5,4,9.0,0,4.0,5.0,17,4,2.0,0.44,1.0,0.0,4,388.0,311.0,0.8,2526,1174,3114,1471,3529,4407,2233,2233,529,117,939,823,765,1293,-415,-2936,11,20
29281,2019-04-04 19:00:00+00:00,1554404400,FT,90,1554404400,1554408000,0.0,Italy,135,Serie A,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2018,Regular Season - 30,Stadio Atleti Azzurri d'Italia,Bergamo,,"Gianluca Rocchi, Italy",Atalanta,499,https://media.api-sports.io/football/teams/499.png,Bologna,500,https://media.api-sports.io/football/teams/500.png,4,1,4,0,4,1,8,7,20.0,5,10.0,10.0,11,5,1.0,0.51,2.0,0.0,3,505.0,416.0,0.82,,4,4,11.0,3,6.0,5.0,13,4,2.0,0.49,3.0,0.0,3,476.0,391.0,0.82,4050,2579,4526,2811,2708,3291,2233,2233,1174,644,528,647,531,942,1818,-480,3,10
