rank,team_id,team_name,team_logo,points,goals_diff,group,form,status,description,played,wins,draws,losses,goals_for,goals_against,home_played,home_wins,home_draws,home_losses,home_goals_for,home_goals_against,away_played,away_wins,away_draws,away_losses,away_goals_for,away_goals_against
1,505,Inter,https://media.api-sports.io/football/teams/505.png,3,5,Serie A,W,same,Promotion - Champions League (League phase: ),1,1,0,0,5,0,1,1,0,0,5,0,0,0,0,0,0,0
2,492,Napoli,https://media.api-sports.io/football/teams/492.png,3,2,Serie A,W,same,Promotion - Champions League (League phase: ),1,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,2,0
3,496,Juventus,https://media.api-sports.io/football/teams/496.png,3,2,Serie A,W,same,Promotion - Champions League (League phase: ),1,1,0,0,2,0,1,1,0,0,2,0,0,0,0,0,0,0
4,895,Como,https://media.api-sports.io/football/teams/895.png,3,2,Serie A,W,same,Promotion - Champions League (League phase: ),1,1,0,0,2,0,1,1,0,0,2,0,0,0,0,0,0,0
5,520,Cremonese,https://media.api-sports.io/football/teams/520.png,3,1,Serie A,W,same,Promotion - Europa League (League phase: ),1,1,0,0,2,1,0,0,0,0,0,0,1,1,0,0,2,1
6,497,AS Roma,https://media.api-sports.io/football/teams/497.png,3,1,Serie A,W,same,Promotion - Conference League (Qualification: ),1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
7,801,Pisa,https://media.api-sports.io/football/teams/801.png,1,0,Serie A,D,same,,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1
8,494,Udinese,https://media.api-sports.io/football/teams/494.png,1,0,Serie A,D,same,,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0
9,502,Fiorentina,https://media.api-sports.io/football/teams/502.png,1,0,Serie A,D,same,,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1
10,499,Atalanta,https://media.api-sports.io/football/teams/499.png,1,0,Serie A,D,same,,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0
11,490,Cagliari,https://media.api-sports.io/football/teams/490.png,1,0,Serie A,D,same,,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0
12,504,Verona,https://media.api-sports.io/football/teams/504.png,1,0,Serie A,D,same,,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1
13,867,Lecce,https://media.api-sports.io/football/teams/867.png,1,0,Serie A,D,same,,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
14,495,Genoa,https://media.api-sports.io/football/teams/495.png,1,0,Serie A,D,same,,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
15,489,AC Milan,https://media.api-sports.io/football/teams/489.png,0,-1,Serie A,L,same,,1,0,0,1,1,2,1,0,0,1,1,2,0,0,0,0,0,0
16,500,Bologna,https://media.api-sports.io/football/teams/500.png,0,-1,Serie A,L,same,,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1
17,488,Sassuolo,https://media.api-sports.io/football/teams/488.png,0,-2,Serie A,L,same,,1,0,0,1,0,2,1,0,0,1,0,2,0,0,0,0,0,0
18,487,Lazio,https://media.api-sports.io/football/teams/487.png,0,-2,Serie A,L,same,Relegation - Serie B,1,0,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,2
19,523,Parma,https://media.api-sports.io/football/teams/523.png,0,-2,Serie A,L,same,Relegation - Serie B,1,0,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,2
20,503,Torino,https://media.api-sports.io/football/teams/503.png,0,-5,Serie A,L,same,Relegation - Serie B,1,0,0,1,0,5,0,0,0,0,0,0,1,0,0,1,0,5
