fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_assists,goals_saves,passes_total,passes_accuracy,duels_total,duels_won,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,tackles_total,tackles_interceptions,dribbles_attempts,dribbles_success,fouls_committed,dribbles_past,shots_total,shots_on,tackles_blocks,fouls_drawn,passes_key,goals_total,offsides
1377872,Napoli,492,774,Juan Jesus,https://media.api-sports.io/football/players/774.png,90.0,5,D,7.3,False,False,0,0.0,,84.0,75,6.0,4.0,0,0,0,0,,4.0,2.0,,,1.0,,,,,,,,
1377872,Napoli,492,47254,Mathías Olivera,https://media.api-sports.io/football/players/47254.png,89.0,17,D,6.9,False,False,0,0.0,,37.0,34,7.0,4.0,0,0,0,0,,2.0,1.0,1.0,1.0,3.0,,,,,1.0,,,
1377872,Napoli,492,47439,Stanislav Lobotka,https://media.api-sports.io/football/players/47439.png,82.0,68,M,7,False,False,0,0.0,,69.0,67,4.0,2.0,0,0,0,0,,2.0,,,,,1.0,,,,,,,
1377872,Napoli,492,219,Matteo Politano,https://media.api-sports.io/football/players/219.png,76.0,21,M,7,False,False,0,1.0,,27.0,22,9.0,4.0,0,0,0,0,,1.0,1.0,3.0,1.0,1.0,2.0,,,,2.0,1.0,,
1377872,Napoli,492,3406,Frank Anguissa,https://media.api-sports.io/football/players/3406.png,90.0,99,M,7.2,False,False,0,0.0,,66.0,62,11.0,7.0,0,0,0,0,,,,3.0,2.0,2.0,,1.0,,,2.0,,,
1377872,Napoli,492,629,Kevin De Bruyne,https://media.api-sports.io/football/players/629.png,90.0,11,M,7.9,False,False,0,0.0,,59.0,51,2.0,,0,0,0,0,,,1.0,,,,1.0,2.0,1.0,,,3.0,1.0,
1377872,Napoli,492,903,Scott McTominay,https://media.api-sports.io/football/players/903.png,89.0,8,M,7.9,False,False,0,0.0,,30.0,27,15.0,8.0,0,0,0,0,,1.0,,3.0,1.0,,2.0,3.0,2.0,,6.0,1.0,1.0,
1377872,Napoli,492,199089,Lorenzo Lucca,https://media.api-sports.io/football/players/199089.png,82.0,27,F,6.9,False,False,0,0.0,,17.0,15,16.0,8.0,1,0,0,0,,,,3.0,2.0,5.0,,1.0,1.0,,3.0,,,
1377872,Napoli,492,552,David Neres,https://media.api-sports.io/football/players/552.png,15.0,7,F,6.3,False,True,0,0.0,,6.0,6,4.0,,0,0,0,0,,,,1.0,,2.0,,,,,,,,
1377872,Napoli,492,130423,Billy Gilmour,https://media.api-sports.io/football/players/130423.png,9.0,6,M,6.6,False,True,0,0.0,,18.0,16,1.0,,0,0,0,0,,,,,,,1.0,,,,,,,
1377872,Napoli,492,544,Noa Lang,https://media.api-sports.io/football/players/544.png,9.0,70,F,6.5,False,True,0,0.0,,5.0,4,,,0,0,0,0,,,,,,,,,,,,,,
1377872,Napoli,492,862,Leonardo Spinazzola,https://media.api-sports.io/football/players/862.png,2.0,37,D,,False,True,0,0.0,,8.0,8,,,0,0,0,0,,,,,,,,,,,,1.0,,
1377872,Napoli,492,347395,Antonio Vergara,https://media.api-sports.io/football/players/347395.png,1.0,26,M,,False,True,0,0.0,,2.0,2,,,0,0,0,0,,,,,,,,,,,,,,
1377872,Napoli,492,32172,Nikita Contini,https://media.api-sports.io/football/players/32172.png,,14,G,,False,True,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,
1377872,Napoli,492,31156,Vanja Milinković-Savić,https://media.api-sports.io/football/players/31156.png,,32,G,,False,True,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,
1377872,Napoli,492,388547,Luca Marianucci,https://media.api-sports.io/football/players/388547.png,,35,D,,False,True,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,
1377872,Napoli,492,37604,Sam Beukema,https://media.api-sports.io/football/players/37604.png,,31,D,,False,True,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,
1377872,Napoli,492,31226,Alessandro Buongiorno,https://media.api-sports.io/football/players/31226.png,,4,D,,False,True,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,
1377872,Napoli,492,31390,Pasquale Mazzocchi,https://media.api-sports.io/football/players/31390.png,,30,D,,False,True,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,
1377872,Napoli,492,162907,Alessandro Zanoli,https://media.api-sports.io/football/players/162907.png,,59,D,,False,True,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,
1377872,Napoli,492,335102,Luis Hasa,https://media.api-sports.io/football/players/335102.png,,29,M,,False,True,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,
1377872,Napoli,492,341912,Giuseppe Ambrosino,https://media.api-sports.io/football/players/341912.png,,69,F,,False,True,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,
1377872,Napoli,492,128478,Walid Cheddira,https://media.api-sports.io/football/players/128478.png,,77,F,,False,True,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,
1377867,Genoa,495,31631,Nicola Leali,https://media.api-sports.io/football/players/31631.png,90.0,1,G,6.3,False,False,0,0.0,,33.0,14,,,0,0,0,0,0.0,,,,,,,,,,,,,
1377867,Genoa,495,284570,Brooke Norton-Cuffy,https://media.api-sports.io/football/players/284570.png,90.0,15,D,7.3,False,False,0,0.0,,40.0,31,8.0,6.0,0,0,0,0,,4.0,1.0,,,1.0,,,,,,,,
1377867,Genoa,495,281826,Alessandro Marcandalli,https://media.api-sports.io/football/players/281826.png,90.0,27,D,6.6,False,False,0,0.0,,43.0,38,,,0,0,0,0,,,1.0,,,,,,,,,,,
1377867,Genoa,495,35544,Johan Vásquez,https://media.api-sports.io/football/players/35544.png,90.0,22,D,7.2,True,False,0,0.0,,78.0,67,8.0,5.0,0,0,0,0,,1.0,,1.0,1.0,1.0,,,,1.0,,,,
1377867,Genoa,495,25914,Aarón Martín,https://media.api-sports.io/football/players/25914.png,90.0,3,D,6.9,False,False,0,0.0,,49.0,43,5.0,3.0,1,0,0,0,,2.0,,1.0,1.0,2.0,,1.0,1.0,,,,,
1377867,Genoa,495,281096,Patrizio Masini,https://media.api-sports.io/football/players/281096.png,90.0,73,M,7.5,False,False,0,0.0,,45.0,32,20.0,13.0,0,0,0,0,,6.0,1.0,,,2.0,,,,1.0,4.0,,,
1377867,Genoa,495,15881,Morten Frendrup,https://media.api-sports.io/football/players/15881.png,87.0,32,M,7.5,False,False,0,0.0,,39.0,32,11.0,8.0,0,0,0,0,,5.0,1.0,1.0,,1.0,,,,1.0,1.0,1.0,,
1377867,Genoa,495,341646,Valentín Carboni,https://media.api-sports.io/football/players/341646.png,73.0,23,M,7.2,False,False,0,0.0,,18.0,11,8.0,5.0,0,0,0,0,,2.0,,2.0,2.0,1.0,1.0,1.0,1.0,,1.0,,,
1377867,Genoa,495,44439,Nicolae Stanciu,https://media.api-sports.io/football/players/44439.png,87.0,8,M,7,False,False,0,0.0,,45.0,32,4.0,3.0,0,0,0,0,,2.0,2.0,1.0,,,,2.0,,,,,,
1377867,Genoa,495,263177,Albert Grønbæk,https://media.api-sports.io/football/players/263177.png,60.0,11,M,7,False,False,0,0.0,,12.0,9,6.0,4.0,0,0,0,0,,,,3.0,2.0,,,,,,1.0,2.0,,
1377867,Genoa,495,263481,Lorenzo Colombo,https://media.api-sports.io/football/players/263481.png,73.0,29,F,6.3,False,False,0,0.0,,14.0,7,15.0,4.0,0,0,0,0,,,,1.0,,4.0,,,,1.0,1.0,,,
1377867,Genoa,495,56396,Junior Messias,https://media.api-sports.io/football/players/56396.png,31.0,10,F,6.9,False,True,0,0.0,,6.0,5,7.0,4.0,0,0,0,0,,1.0,,3.0,2.0,1.0,,,,,1.0,,,
1377867,Genoa,495,89520,Mikael Ellertsson,https://media.api-sports.io/football/players/89520.png,18.0,77,M,6.3,False,True,0,0.0,,5.0,3,3.0,1.0,0,0,0,0,,,,,,,1.0,,,,1.0,,,
1377867,Genoa,495,451504,Jeff Ekhator,https://media.api-sports.io/football/players/451504.png,18.0,21,F,6.3,False,True,0,0.0,,5.0,2,7.0,3.0,1,0,0,0,,,,,,2.0,,,,,2.0,,,
1377867,Genoa,495,36980,Morten Thorsby,https://media.api-sports.io/football/players/36980.png,8.0,2,M,6.3,False,True,0,0.0,,2.0,1,2.0,,0,0,0,0,,,,,,1.0,,,,,,,,
1377867,Genoa,495,281408,Vitinha,https://media.api-sports.io/football/players/281408.png,8.0,9,F,6.2,False,True,0,0.0,,1.0,,5.0,1.0,0,0,0,0,,,,3.0,1.0,,,,,,,,,
1377867,Genoa,495,31445,Daniele Sommariva,https://media.api-sports.io/football/players/31445.png,,39,G,,False,True,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,
1377867,Genoa,495,45083,Benjamin Siegrist,https://media.api-sports.io/football/players/45083.png,,31,G,,False,True,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,
1377867,Genoa,495,18967,Leo Østigård,https://media.api-sports.io/football/players/18967.png,,5,D,,False,True,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,
1377867,Genoa,495,31137,Stefano Sabelli,https://media.api-sports.io/football/players/31137.png,,20,D,,False,True,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,
1377867,Genoa,495,1938,Ruslan Malinovskyi,https://media.api-sports.io/football/players/1938.png,,17,M,,False,True,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,
1377867,Genoa,495,348533,Seydou Fini,https://media.api-sports.io/football/players/348533.png,,40,F,,False,True,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,
