fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_saves,passes_total,passes_accuracy,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,tackles_total,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,tackles_interceptions,fouls_committed,shots_total,shots_on,passes_key,goals_total,goals_assists,tackles_blocks,penalty_commited,penalty_won,offsides
605067,Eibar,545,2813,Marko Dmitrović,https://media.api-sports.io/football/players/2813.png,90.0,1,G,7.3,False,False,0,3.0,27.0,15,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
605067,Eibar,545,46757,Róber,https://media.api-sports.io/football/players/46757.png,90.0,20,D,7.3,False,False,0,,28.0,15,0,0,0,0,,2.0,11.0,10.0,1.0,1.0,1.0,2.0,,,,,,,,,,,
605067,Eibar,545,47385,Sergio Álvarez,https://media.api-sports.io/football/players/47385.png,90.0,6,D,6.9,False,False,0,,38.0,24,1,0,0,0,,2.0,10.0,5.0,,,,,1.0,2.0,,,,,,,,,
605067,Eibar,545,47383,Paulo Oliveira,https://media.api-sports.io/football/players/47383.png,90.0,4,D,6.9,False,False,0,,43.0,18,0,0,0,0,,2.0,9.0,7.0,,,1.0,,3.0,,,,,,,,,,
605067,Eibar,545,47378,Pedro Bigas,https://media.api-sports.io/football/players/47378.png,90.0,3,D,6.9,False,False,0,,41.0,26,1,0,0,0,,1.0,14.0,8.0,,,2.0,,,3.0,1.0,,,,,,,,
605067,Eibar,545,47392,Pedro León,https://media.api-sports.io/football/players/47392.png,84.0,21,M,6.9,False,False,0,,17.0,8,0,0,0,0,,,3.0,1.0,,,1.0,,,1.0,2.0,1.0,1.0,,,,,,
605067,Eibar,545,47387,Papakouli Diop,https://media.api-sports.io/football/players/47387.png,87.0,8,M,6.3,False,False,0,,29.0,17,2,1,0,0,,3.0,15.0,8.0,1.0,1.0,3.0,1.0,1.0,2.0,,,,,,,,,
605067,Eibar,545,46799,Edu Expósito,https://media.api-sports.io/football/players/46799.png,90.0,10,M,6.5,False,False,0,,22.0,13,0,0,0,0,,1.0,13.0,5.0,1.0,,,2.0,,3.0,1.0,,,,,,,,
605067,Eibar,545,2600,Takashi Inui,https://media.api-sports.io/football/players/2600.png,61.0,14,M,6.2,False,False,0,,13.0,6,0,0,0,0,,1.0,9.0,3.0,5.0,2.0,,,,2.0,,,,,,,,,
605067,Eibar,545,47396,Kike,https://media.api-sports.io/football/players/47396.png,90.0,17,F,7.2,False,False,0,,35.0,16,0,0,0,0,,2.0,31.0,18.0,1.0,,,4.0,,2.0,1.0,,,,,,,,
605067,Eibar,545,47395,Sergi Enrich,https://media.api-sports.io/football/players/47395.png,68.0,9,F,6.9,True,False,0,,21.0,13,0,0,0,0,,1.0,16.0,7.0,2.0,1.0,1.0,2.0,,1.0,,,1.0,,,,,,
605067,Eibar,545,47476,Yoel Rodríguez,https://media.api-sports.io/football/players/47476.png,,13,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
605067,Eibar,545,46940,Esteban Burgos,https://media.api-sports.io/football/players/46940.png,,2,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
605067,Eibar,545,46709,Álvaro Tejero,https://media.api-sports.io/football/players/46709.png,,22,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
605067,Eibar,545,41149,Rafa Soares,https://media.api-sports.io/football/players/41149.png,10.0,11,D,6.3,False,True,0,,,,0,0,0,0,,,1.0,,,,,,,,,,,,,,,,
605067,Eibar,545,183777,Unai Dufur,https://media.api-sports.io/football/players/183777.png,,29,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
605067,Eibar,545,46680,José Antonio Martinez,https://media.api-sports.io/football/players/46680.png,,5,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
605067,Eibar,545,181867,Miguel Atienza,https://media.api-sports.io/football/players/181867.png,,33,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
605067,Eibar,545,47413,Recio,https://media.api-sports.io/football/players/47413.png,22.0,18,M,6.3,False,True,0,,8.0,4,0,0,0,0,,,4.0,3.0,,,1.0,1.0,,,,,,,,,,,
605067,Eibar,545,46809,Quique,https://media.api-sports.io/football/players/46809.png,,7,F,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
605067,Eibar,545,1328,Damian Kądzior,https://media.api-sports.io/football/players/1328.png,29.0,19,F,6.7,False,True,0,,9.0,7,0,0,0,0,,,4.0,1.0,,,,1.0,,1.0,1.0,,,,,,,,
605067,Eibar,545,183891,Unai Arietaleanizbeaskoa,https://media.api-sports.io/football/players/183891.png,,32,F,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
605067,Eibar,545,183716,Eñaut Mendia,https://media.api-sports.io/football/players/183716.png,,28,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
605067,Celta Vigo,538,47427,Iván Villar,https://media.api-sports.io/football/players/47427.png,90.0,1,G,7,False,False,0,1.0,29.0,11,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
605067,Celta Vigo,538,47432,Hugo Mallo,https://media.api-sports.io/football/players/47432.png,90.0,2,D,7,True,False,0,,34.0,14,0,0,0,0,,4.0,13.0,6.0,1.0,,1.0,,2.0,2.0,1.0,1.0,1.0,,,,,,
605067,Celta Vigo,538,1926,Joseph Aidoo,https://media.api-sports.io/football/players/1926.png,90.0,18,D,7.2,False,False,0,,29.0,16,0,0,0,0,,3.0,13.0,6.0,,,,,1.0,,1.0,,1.0,,,,,,
605067,Celta Vigo,538,2870,Néstor Araujo,https://media.api-sports.io/football/players/2870.png,90.0,4,D,7,False,False,0,,28.0,15,0,0,0,0,,1.0,7.0,5.0,,,,,2.0,1.0,1.0,,,,,,,,
605067,Celta Vigo,538,47433,Lucas Olaza,https://media.api-sports.io/football/players/47433.png,90.0,15,D,7.2,False,False,0,,37.0,19,1,0,0,0,,1.0,8.0,6.0,,,,3.0,1.0,1.0,,,1.0,,,,,,
