fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_saves,passes_total,passes_accuracy,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,tackles_total,tackles_blocks,duels_total,duels_won,dribbles_past,fouls_committed,tackles_interceptions,fouls_drawn,shots_total,dribbles_attempts,dribbles_success,offsides,passes_key,shots_on,goals_assists,goals_total,penalty_won,penalty_commited
1048881,Werder Bremen,162,25310,Jiří Pavlenka,https://media.api-sports.io/football/players/25310.png,90.0,1,G,7.2,False,False,4,6.0,30.0,23,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
1048881,Werder Bremen,162,25011,Amos Pieper,https://media.api-sports.io/football/players/25011.png,90.0,5,D,6.7,False,False,0,,20.0,13,0,0,0,0,,1.0,4.0,6.0,2.0,2.0,2.0,,,,,,,,,,,,
1048881,Werder Bremen,162,2821,Miloš Veljković,https://media.api-sports.io/football/players/2821.png,90.0,13,D,6.3,False,False,0,,25.0,21,0,0,0,0,,2.0,2.0,5.0,2.0,,2.0,,,,,,,,,,,,
1048881,Werder Bremen,162,25314,Marco Friedl,https://media.api-sports.io/football/players/25314.png,90.0,32,D,6.3,True,False,0,,36.0,25,0,0,0,0,,5.0,1.0,9.0,6.0,2.0,1.0,1.0,1.0,,,,,,,,,,
1048881,Werder Bremen,162,38798,Senne Lynen,https://media.api-sports.io/football/players/38798.png,68.0,14,M,6.7,False,False,0,,12.0,12,1,0,0,0,,2.0,,10.0,3.0,2.0,4.0,1.0,1.0,,,,,,,,,,
1048881,Werder Bremen,162,973,Mitchell Weiser,https://media.api-sports.io/football/players/973.png,59.0,8,M,6.9,False,False,0,,12.0,5,0,0,0,0,,5.0,,16.0,9.0,2.0,2.0,,2.0,1.0,1.0,1.0,,,,,,,
1048881,Werder Bremen,162,15592,Jens Stage,https://media.api-sports.io/football/players/15592.png,79.0,6,M,6.5,False,False,0,,16.0,12,0,0,0,0,,1.0,,7.0,4.0,3.0,,1.0,,1.0,,,1.0,,,,,,
1048881,Werder Bremen,162,716,Leonardo Bittencourt,https://media.api-sports.io/football/players/716.png,68.0,10,M,6.2,False,False,0,,14.0,13,0,0,0,0,,4.0,,11.0,5.0,4.0,1.0,,,1.0,,,,,,,,,
1048881,Werder Bremen,162,15874,Anthony Jung,https://media.api-sports.io/football/players/15874.png,79.0,3,M,6.3,False,False,0,,18.0,11,0,0,0,0,,2.0,,5.0,3.0,,1.0,,,,,,,,,,,,
1048881,Werder Bremen,162,25391,Niclas Füllkrug,https://media.api-sports.io/football/players/25391.png,90.0,11,F,7.3,False,False,0,,22.0,15,0,0,0,0,,1.0,,23.0,14.0,,1.0,,5.0,1.0,1.0,,1.0,1.0,,,,,
1048881,Werder Bremen,162,25464,Marvin Ducksch,https://media.api-sports.io/football/players/25464.png,90.0,7,F,6.9,False,False,0,,20.0,12,1,0,0,0,,1.0,,6.0,2.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,
1048881,Werder Bremen,162,1124,Oliver Burke,https://media.api-sports.io/football/players/1124.png,31.0,24,F,6.5,False,True,0,,6.0,3,0,0,0,0,,,,3.0,1.0,2.0,,,,,1.0,1.0,,,,,,,
1048881,Werder Bremen,162,7562,Romano Schmid,https://media.api-sports.io/football/players/7562.png,22.0,20,M,6.3,False,True,0,,4.0,3,0,0,0,0,,1.0,,3.0,2.0,,1.0,,1.0,1.0,,,,,,,,,
1048881,Werder Bremen,162,88033,Christian Groß,https://media.api-sports.io/football/players/88033.png,22.0,36,D,6.5,False,True,0,,5.0,5,0,0,0,0,,2.0,,2.0,2.0,,,,,,,,,,,,,,
1048881,Werder Bremen,162,3013,Dawid Kownacki,https://media.api-sports.io/football/players/3013.png,11.0,9,F,6.7,False,True,0,,2.0,2,0,0,0,0,,,1.0,5.0,1.0,1.0,1.0,,1.0,,,,,1.0,,,,,
1048881,Werder Bremen,162,363638,Leon Opitz,https://media.api-sports.io/football/players/363638.png,11.0,35,F,6.2,False,True,0,,2.0,1,0,0,0,0,,2.0,,4.0,2.0,1.0,,,,,1.0,,,,,,,,
1048881,Werder Bremen,162,7288,Michael Zetterer,https://media.api-sports.io/football/players/7288.png,,30,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1048881,Werder Bremen,162,24843,Nicolai Rapp,https://media.api-sports.io/football/players/24843.png,,23,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1048881,Werder Bremen,162,129142,Ilia Gruev,https://media.api-sports.io/football/players/129142.png,,28,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1048881,Werder Bremen,162,177807,Justin Njinmah,https://media.api-sports.io/football/players/177807.png,,17,F,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1048881,Bayern Munich,157,498,Sven Ulreich,https://media.api-sports.io/football/players/498.png,90.0,26,G,6.9,False,False,0,1.0,32.0,25,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
1048881,Bayern Munich,157,545,Noussair Mazraoui,https://media.api-sports.io/football/players/545.png,90.0,40,D,7.2,False,False,0,,63.0,57,0,0,0,0,,1.0,,10.0,6.0,,1.0,,2.0,2.0,1.0,1.0,,,1.0,,,,
1048881,Bayern Munich,157,1149,Dayot Upamecano,https://media.api-sports.io/football/players/1149.png,90.0,2,D,7.3,False,False,0,,77.0,75,0,0,0,0,,,,9.0,4.0,1.0,2.0,,1.0,,,,,,,,,,
