fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,Assists,Counter Attacks,Cross Attacks,Free Kicks,Goals,Goal Attempts,Substitutions,Throwins,Medical Treatment
27475,543,Real Betis,https://media.api-sports.io/football/teams/543.png,2,4,7.0,1,4.0,3.0,15,4,1,71%,3,,0,530.0,476.0,90%,,,,,,,,,
27477,536,Sevilla,https://media.api-sports.io/football/teams/536.png,11,10,21.0,,14.0,7.0,10,5,5,49%,1,,3,381.0,281.0,74%,,,,,,,,,
27477,728,Rayo Vallecano,https://media.api-sports.io/football/teams/728.png,3,9,12.0,,7.0,5.0,12,4,2,51%,2,,7,401.0,329.0,82%,,,,,,,,,
27476,548,Real Sociedad,https://media.api-sports.io/football/teams/548.png,2,7,13.0,4,7.0,6.0,11,6,1,65%,2,,2,606.0,537.0,89%,,,,,,,,,
27476,533,Villarreal,https://media.api-sports.io/football/teams/533.png,3,4,8.0,1,6.0,2.0,14,3,1,35%,3,,2,319.0,245.0,77%,,,,,,,,,
27472,546,Getafe,https://media.api-sports.io/football/teams/546.png,5,1,9.0,3,5.0,4.0,17,9,1,32%,1,,4,241.0,143.0,59%,,,,,,,,,
27472,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,4,4,12.0,4,8.0,4.0,15,4,3,68%,3,,5,528.0,445.0,84%,,,,,,,,,
27479,531,Athletic Club,https://media.api-sports.io/football/teams/531.png,1,9,14.0,4,9.0,5.0,14,8,2,62%,2,,2,417.0,327.0,78%,,,,,,,,,
27479,542,Alaves,https://media.api-sports.io/football/teams/542.png,3,4,14.0,7,9.0,5.0,17,6,0,38%,2,,0,261.0,172.0,66%,,,,,,,,,
27480,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,1,6,13.0,6,8.0,5.0,19,7,,58%,4,,4,531.0,454.0,85%,,,,,,,,,
27480,720,Valladolid,https://media.api-sports.io/football/teams/720.png,4,7,13.0,2,9.0,4.0,12,3,,42%,2,,1,370.0,284.0,77%,,,,,,,,,
