fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_saves,passes_total,passes_accuracy,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,shots_total,passes_key,tackles_total,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_past,tackles_blocks,dribbles_success,fouls_drawn,fouls_committed,shots_on,offsides,goals_assists,goals_total,penalty_commited,penalty_won
719349,Bayern Munich,157,502,Joshua Kimmich,https://media.api-sports.io/football/players/502.png,90.0,6,M,8.2,False,False,0,,84.0,74,0,0,0,0,,1.0,5.0,1.0,1.0,7.0,4.0,,1.0,,,1.0,,,,1.0,,,
719349,Bayern Munich,157,511,Leon Goretzka,https://media.api-sports.io/football/players/511.png,90.0,8,M,7.2,False,False,0,,45.0,41,0,0,0,0,,,1.0,4.0,1.0,10.0,8.0,,1.0,,,1.0,,,,,,,
719349,Bayern Munich,157,644,Leroy Sané,https://media.api-sports.io/football/players/644.png,75.0,10,M,6.6,False,False,0,,25.0,18,0,0,0,0,,3.0,1.0,1.0,1.0,16.0,5.0,7.0,2.0,,4.0,,2.0,1.0,2.0,,,,
719349,Bayern Munich,157,522,Thomas Müller,https://media.api-sports.io/football/players/522.png,82.0,25,M,6.3,False,False,0,,33.0,26,0,0,0,0,,,,1.0,1.0,9.0,2.0,2.0,1.0,,1.0,,,,1.0,,,,
719349,Bayern Munich,157,510,Serge Gnabry,https://media.api-sports.io/football/players/510.png,75.0,7,M,6.9,False,False,0,,41.0,32,0,0,0,0,,1.0,1.0,1.0,1.0,14.0,5.0,6.0,2.0,,3.0,,,,1.0,,,,
719349,Bayern Munich,157,521,Robert Lewandowski,https://media.api-sports.io/football/players/521.png,90.0,9,F,7.2,False,False,0,,27.0,16,0,0,0,0,,5.0,2.0,,,5.0,2.0,1.0,,,,1.0,,5.0,,,1.0,,
719349,Bayern Munich,157,498,Sven Ulreich,https://media.api-sports.io/football/players/498.png,,26,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
719349,Bayern Munich,157,126949,Chris Richards,https://media.api-sports.io/football/players/126949.png,,15,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
719349,Bayern Munich,157,19610,Omar Richards,https://media.api-sports.io/football/players/19610.png,,3,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
719349,Bayern Munich,157,1915,Bouna Sarr,https://media.api-sports.io/football/players/1915.png,8.0,20,D,6.9,False,True,0,,4.0,4,0,0,0,0,,,,,1.0,1.0,,,,1.0,,,,,,,,,
