fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,shots_total,shots_on,goals_conceded,goals_saves,passes_total,passes_key,passes_accuracy,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,dribbles_past,goals_assists,goals_total,penalty_won,penalty_commited
21348,Chievo,491,30732,Andrea Seculin,https://media.api-sports.io/football/players/30732.png,90,90,G,6.1,False,False,0,0,4.0,7.0,10,0,45%,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,
21348,Chievo,491,31336,Mariano Izco,https://media.api-sports.io/football/players/31336.png,90,13,M,6.4,False,False,2,0,,,35,3,81%,1,7,3,1,1,0,2,0,0,0,0,,,,,,
21348,Chievo,491,30952,Dario Dainelli,https://media.api-sports.io/football/players/30952.png,90,3,D,6.4,False,False,0,0,,,39,0,79%,0,7,4,1,1,1,2,0,0,0,0,,1.0,,,,
21348,Chievo,491,30738,Boštjan Cesar,https://media.api-sports.io/football/players/30738.png,90,12,D,6.5,False,False,0,0,,,42,2,82%,4,5,3,0,0,2,2,1,0,0,0,,,,,,
21348,Chievo,491,30548,Fabrizio Cacciatore,https://media.api-sports.io/football/players/30548.png,17,29,D,6.2,False,False,0,0,,,8,1,72%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
21348,Chievo,491,30567,Lucas Castro,https://media.api-sports.io/football/players/30567.png,90,19,M,6.9,False,False,5,1,,,24,0,80%,1,14,7,2,1,4,2,1,0,0,0,,1.0,,,,
21348,Chievo,491,30782,Ivan Radovanović,https://media.api-sports.io/football/players/30782.png,90,8,M,7.2,False,False,1,0,,,46,1,90%,3,15,10,1,1,6,3,0,0,0,0,,2.0,,,,
21348,Chievo,491,30750,Përparim Hetemaj,https://media.api-sports.io/football/players/30750.png,90,56,M,6.4,False,False,0,0,,,32,1,78%,3,15,8,5,0,4,1,0,0,0,0,,,,,,
21348,Chievo,491,1815,Jonathan de Guzmán,https://media.api-sports.io/football/players/1815.png,67,1,M,6.9,False,False,0,0,,,27,1,77%,0,3,2,0,0,0,0,0,0,0,0,,,,,,
21348,Chievo,491,30759,Sergio Pellissier,https://media.api-sports.io/football/players/30759.png,90,31,F,6.2,True,False,2,0,,,7,0,58%,0,5,1,0,0,1,0,0,0,0,0,,,,,,
21348,Chievo,491,30758,Riccardo Meggiorini,https://media.api-sports.io/football/players/30758.png,27,69,F,6.3,False,False,1,1,,,2,0,66%,0,6,1,0,0,0,1,0,0,0,0,,1.0,,,,
21348,Chievo,491,30985,Nicolás Spolli,https://media.api-sports.io/football/players/30985.png,73,2,D,6.5,False,False,0,0,,,22,0,73%,0,9,4,0,0,1,3,0,0,0,0,,1.0,,,,
21348,Chievo,491,8685,Serge Gakpé,https://media.api-sports.io/football/players/8685.png,63,7,M,6.9,False,False,3,0,,,7,1,58%,0,3,1,1,1,0,0,0,0,0,0,,,,,,
21348,Chievo,491,2109,Samuel Bastien,https://media.api-sports.io/football/players/2109.png,23,28,M,6.4,False,False,1,0,,,12,0,92%,0,3,1,1,0,1,0,0,0,0,0,,,,,,
21350,Genoa,495,30820,Eugenio Lamanna,https://media.api-sports.io/football/players/30820.png,90,23,G,7.3,False,False,0,0,2.0,4.0,9,0,40%,0,1,1,0,0,0,0,0,0,0,0,1.0,,,,,
21350,Genoa,495,47406,Ezequiel Muñoz,https://media.api-sports.io/football/players/47406.png,90,24,D,7.1,False,False,0,0,,,19,0,65%,3,11,7,0,0,2,2,0,0,0,0,,1.0,,,,
