fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %
238926,188,Arminia Bielefeld,https://media.api-sports.io/football/teams/188.png,5,7,16,4,10,6,5,4,5,35%,,,5,337,259,77%
238926,174,FC Schalke 04,https://media.api-sports.io/football/teams/174.png,8,5,18,5,13,5,13,6,4,65%,,,1,641,561,88%
238929,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,2,8,13,3,7,6,10,6,2,45%,3,,6,371,269,73%
238929,173,RB Leipzig,https://media.api-sports.io/football/teams/173.png,11,2,16,3,11,5,13,5,0,55%,2,,1,464,344,74%
238930,162,Werder Bremen,https://media.api-sports.io/football/teams/162.png,7,7,20,6,10,10,11,9,1,71%,3,,3,862,799,93%
238930,180,FC Heidenheim,https://media.api-sports.io/football/teams/180.png,4,0,6,2,5,1,6,4,0,29%,0,,3,355,275,77%
238917,745,FC Kaiserslautern,https://media.api-sports.io/football/teams/745.png,5,2,7,0,6,1,18,2,4,30%,0,,9,363,232,64%
238917,171,FC Nurnberg,https://media.api-sports.io/football/teams/171.png,11,11,32,10,16,16,20,8,3,70%,3,,3,815,684,84%
238918,4265,Verl,https://media.api-sports.io/football/teams/4265.png,8,10,20,2,12,8,8,6,0,38%,2,,2,458,350,76%
238918,191,Holstein Kiel,https://media.api-sports.io/football/teams/191.png,3,6,18,9,8,10,16,7,3,62%,2,,7,725,577,80%
238924,158,Fortuna Dusseldorf,https://media.api-sports.io/football/teams/158.png,6,9,18,3,8,10,12,7,7,59%,2,,2,493,410,83%
238924,190,Erzgebirge AUE,https://media.api-sports.io/football/teams/190.png,4,4,8,0,5,3,16,3,0,41%,1,,4,343,251,73%
238928,159,Hertha Berlin,https://media.api-sports.io/football/teams/159.png,12,14,28,2,20,8,22,9,3,63%,3,,0,750,647,86%
238928,183,Dynamo Dresden,https://media.api-sports.io/football/teams/183.png,3,6,13,4,6,7,18,5,1,37%,2,,9,440,324,74%
238927,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,5,7,14,2,9,5,5,7,3,52%,1,,4,556,469,84%
238927,163,Borussia Monchengladbach,https://media.api-sports.io/football/teams/163.png,5,1,6,0,5,1,6,6,1,48%,2,,3,509,418,82%
238932,186,FC St. Pauli,https://media.api-sports.io/football/teams/186.png,2,4,15,9,9,6,12,5,2,40%,2,,0,387,279,72%
238932,169,Eintracht Frankfurt,https://media.api-sports.io/football/teams/169.png,2,1,7,4,5,2,13,2,6,60%,4,,1,591,478,81%
250165,169,Eintracht Frankfurt,https://media.api-sports.io/football/teams/169.png,4,4,9,1,8,1,10,2,3,42%,2,,4,384,259,67%
250165,173,RB Leipzig,https://media.api-sports.io/football/teams/173.png,6,7,14,1,10,4,6,4,1,58%,2,,1,513,393,77%
250170,745,FC Kaiserslautern,https://media.api-sports.io/football/teams/745.png,4,1,6,1,5,1,7,3,7,30%,1,,2,258,160,62%
250170,158,Fortuna Dusseldorf,https://media.api-sports.io/football/teams/158.png,7,7,17,3,13,4,12,5,0,70%,5,,2,593,514,87%
250169,162,Werder Bremen,https://media.api-sports.io/football/teams/162.png,5,2,9,2,5,4,12,2,3,28%,2,,5,327,251,77%
250169,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,7,6,20,7,16,4,6,8,0,72%,3,,2,803,739,92%
313878,174,FC Schalke 04,https://media.api-sports.io/football/teams/174.png,8,4,14,2,10,4,20,5,9,54%,4,0,4,599,490,82%
313878,159,Hertha Berlin,https://media.api-sports.io/football/teams/159.png,7,4,15,4,8,7,21,8,1,46%,3,1,5,489,363,74%
250166,168,Bayer Leverkusen,https://media.api-sports.io/football/teams/168.png,4,9,17,4,12,5,11,7,5,64%,2,,2,712,627,88%
250166,172,VfB Stuttgart,https://media.api-sports.io/football/teams/172.png,3,7,12,2,7,5,15,1,2,36%,1,,3,410,316,77%
250171,4265,Verl,https://media.api-sports.io/football/teams/4265.png,1,4,6,1,3,3,10,2,,49%,2,,4,417,278,67%
