rank,team_id,team_name,team_logo,points,goals_diff,group,form,status,description,played,wins,draws,losses,goals_for,goals_against,home_played,home_wins,home_draws,home_losses,home_goals_for,home_goals_against,away_played,away_wins,away_draws,away_losses,away_goals_for,away_goals_against
1,2099,Panserraikos,https://media.api-sports.io/football/teams/2099.png,38,-16,Super League 1: Relegation Round,WLWDD,same,,33,9,11,13,37,53,4,3,1,0,8,3,3,0,1,2,1,5
2,955,Asteras Tripolis,https://media.api-sports.io/football/teams/955.png,38,-15,Super League 1: Relegation Round,WDLWL,up,,33,11,5,17,40,55,4,0,1,3,2,7,3,2,0,1,2,2
3,949,Panetolikos,https://media.api-sports.io/football/teams/949.png,36,-13,Super League 1: Relegation Round,WWWWL,up,,33,9,9,15,36,49,3,2,0,1,4,1,4,3,1,0,6,2
4,1124,OFI,https://media.api-sports.io/football/teams/1124.png,35,-14,Super League 1: Relegation Round,LDWDW,down,,33,7,14,12,36,50,4,2,1,1,7,3,3,0,3,0,3,3
5,12260,Atromitos,https://media.api-sports.io/football/teams/12260.png,34,-17,Super League 1: Relegation Round,LLLDD,down,,33,7,13,13,36,53,4,1,1,2,5,6,3,0,2,1,2,3
6,2110,Volos NFC,https://media.api-sports.io/football/teams/2110.png,33,-22,Super League 1: Relegation Round,DWLDW,same,,33,8,9,16,36,58,3,2,1,0,7,3,4,2,1,1,5,3
7,5050,Kifisia,https://media.api-sports.io/football/teams/5050.png,28,-30,Super League 1: Relegation Round,LLWLW,same,Relegation,33,6,10,17,38,68,3,0,1,2,2,4,4,2,0,2,5,8
8,950,PAS Giannina,https://media.api-sports.io/football/teams/950.png,23,-29,Super League 1: Relegation Round,DWLLL,same,Relegation,33,4,11,18,33,62,3,0,2,1,2,3,4,1,0,3,6,11
1,619,PAOK,https://media.api-sports.io/football/teams/619.png,80,53,Super League 1: Championship Round,WWWWD,up,Promotion - Champions League (Qualification),36,25,5,6,87,34,5,4,0,1,12,5,5,2,2,1,9,8
2,575,AEK Athens FC,https://media.api-sports.io/football/teams/575.png,78,45,Super League 1: Championship Round,WLLWW,down,Promotion - Champions League (Qualification),36,23,9,4,80,35,5,4,1,0,11,2,5,2,0,3,9,8
