fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_saves,passes_total,passes_accuracy,duels_total,duels_won,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,passes_key,tackles_total,tackles_blocks,tackles_interceptions,dribbles_attempts,dribbles_past,fouls_drawn,fouls_committed,shots_total,shots_on,goals_total,offsides,dribbles_success,penalty_won,penalty_commited,goals_assists
720746,Getafe,546,47258,Mauro Arambarri,https://media.api-sports.io/football/players/47258.png,90.0,18,M,7.2,False,False,0,,48.0,39,13.0,9.0,0,0,0,0,,,,,,4.0,2.0,6.0,,5.0,1.0,,,3.0,,,
720746,Getafe,546,2824,Nemanja Maksimović,https://media.api-sports.io/football/players/2824.png,90.0,20,M,7.5,False,False,0,,54.0,49,12.0,6.0,0,0,0,0,,2.0,,,1.0,1.0,,2.0,1.0,4.0,1.0,,,1.0,,,
720746,Getafe,546,143,Carles Aleñá,https://media.api-sports.io/football/players/143.png,45.0,11,M,6.3,False,False,0,,21.0,17,3.0,,0,0,0,0,,,,,1.0,,,,,,,,,,,,
720746,Getafe,546,47324,Sandro Ramírez,https://media.api-sports.io/football/players/47324.png,67.0,12,F,6.9,False,False,0,,21.0,18,5.0,4.0,0,0,0,0,,1.0,,,,,,4.0,1.0,1.0,,,1.0,,,,
720746,Getafe,546,47499,Enes Ünal,https://media.api-sports.io/football/players/47499.png,68.0,10,F,6.7,False,False,0,,16.0,13,5.0,,0,0,0,0,,,,,,,2.0,,2.0,2.0,,,,,,,
720746,Getafe,546,122956,Diego Conde,https://media.api-sports.io/football/players/122956.png,,27,G,,False,True,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
720746,Getafe,546,47248,Rubén Yáñez,https://media.api-sports.io/football/players/47248.png,,1,G,,False,True,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
720746,Getafe,546,119742,Juan Iglesias,https://media.api-sports.io/football/players/119742.png,,21,D,,False,True,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
720746,Getafe,546,47459,Chema,https://media.api-sports.io/football/players/47459.png,,6,D,,False,True,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
720746,Getafe,546,47253,Ignasi Miquel,https://media.api-sports.io/football/players/47253.png,,5,D,,False,True,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
720746,Getafe,546,46,Vitolo,https://media.api-sports.io/football/players/46.png,45.0,8,M,6.6,False,True,0,,33.0,30,12.0,7.0,0,0,0,0,,1.0,1.0,,1.0,3.0,,3.0,1.0,,,,,2.0,,,
720746,Getafe,546,47380,Marc Cucurella,https://media.api-sports.io/football/players/47380.png,22.0,15,M,6.9,False,True,0,,19.0,15,2.0,2.0,0,0,0,0,,1.0,,,,1.0,,1.0,,,,,,1.0,,,
720746,Getafe,546,47264,Hugo Duro,https://media.api-sports.io/football/players/47264.png,11.0,14,F,7,False,True,0,,5.0,2,5.0,3.0,0,0,0,0,,,,,,,,1.0,1.0,2.0,1.0,,,,,,
720746,Getafe,546,35503,José Macías,https://media.api-sports.io/football/players/35503.png,23.0,9,F,6.7,False,True,0,,1.0,,3.0,2.0,0,0,0,0,,,,,,1.0,,1.0,,,,,1.0,1.0,,,
720746,Getafe,546,2671,Jaime Mata,https://media.api-sports.io/football/players/2671.png,45.0,7,F,6.7,False,True,0,,7.0,6,4.0,,0,0,0,0,,,,,,,,,1.0,1.0,,,,,,,
720743,Cadiz,724,6492,Jeremías Ledesma,https://media.api-sports.io/football/players/6492.png,90.0,1,G,6.6,False,False,1,2.0,36.0,18,,,0,0,0,0,0.0,,,,,,,,,,,,,,,,
720743,Cadiz,724,47561,Carlos Akapo,https://media.api-sports.io/football/players/47561.png,90.0,15,D,6.9,False,False,0,,31.0,25,7.0,5.0,0,0,0,0,,1.0,2.0,,1.0,,1.0,3.0,,,,,,,,,
720743,Cadiz,724,53625,Varazdat Haroyan,https://media.api-sports.io/football/players/53625.png,81.0,5,D,6.9,False,False,0,,30.0,28,3.0,3.0,0,0,0,0,,1.0,1.0,,1.0,,,,,1.0,1.0,,,,,,
720743,Cadiz,724,47229,Fali,https://media.api-sports.io/football/players/47229.png,90.0,3,D,6.9,False,False,0,,40.0,36,3.0,3.0,0,0,0,0,,,,,3.0,,,1.0,,,,,,,,,
720743,Cadiz,724,46759,Alfonso Espino,https://media.api-sports.io/football/players/46759.png,90.0,22,D,6.9,False,False,0,,27.0,17,8.0,4.0,1,0,0,0,,,1.0,,3.0,,3.0,1.0,2.0,1.0,1.0,1.0,,,,,
720743,Cadiz,724,11471,Tomás Alarcón,https://media.api-sports.io/football/players/11471.png,90.0,12,M,7.5,False,False,0,,40.0,30,10.0,8.0,0,0,0,0,,,4.0,1.0,2.0,1.0,,,2.0,1.0,,,,1.0,,,
720743,Cadiz,724,50009,Jens Jønsson,https://media.api-sports.io/football/players/50009.png,70.0,2,M,6.6,False,False,0,,20.0,15,7.0,5.0,0,0,0,0,,,2.0,,,,1.0,,1.0,,,,,,,,
720743,Cadiz,724,46775,Salvi,https://media.api-sports.io/football/players/46775.png,90.0,7,M,6.3,True,False,0,,9.0,2,3.0,1.0,0,0,0,0,,1.0,,,,,1.0,,,1.0,,,,,,,
720743,Cadiz,724,46769,Álex Fernandez,https://media.api-sports.io/football/players/46769.png,81.0,8,M,6.3,False,False,0,,29.0,20,9.0,3.0,0,0,0,0,,1.0,1.0,,,3.0,,1.0,1.0,,,,,1.0,,,
720743,Cadiz,724,47525,Anthony Lozano,https://media.api-sports.io/football/players/47525.png,70.0,9,M,6.6,False,False,0,,7.0,3,18.0,10.0,0,0,0,0,,,1.0,,,5.0,1.0,3.0,2.0,,,,,5.0,,,
720743,Cadiz,724,50502,Álvaro Negredo,https://media.api-sports.io/football/players/50502.png,59.0,18,F,6.7,False,False,0,,10.0,4,9.0,5.0,0,0,0,0,,,,,,,,1.0,1.0,,,,1.0,,,,
720743,Cadiz,724,46755,David Gil,https://media.api-sports.io/football/players/46755.png,,13,G,,False,True,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
720743,Cadiz,724,125386,Juan Flere,https://media.api-sports.io/football/players/125386.png,,26,G,,False,True,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
720743,Cadiz,724,47100,Isaac Carcelén,https://media.api-sports.io/football/players/47100.png,20.0,20,D,6.3,False,True,0,,8.0,7,5.0,2.0,0,0,0,0,,,,,1.0,,,1.0,,1.0,,,,,,,
720743,Cadiz,724,46762,Marcos Mauro,https://media.api-sports.io/football/players/46762.png,,4,D,,False,True,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
720743,Cadiz,724,46998,Juan Cala,https://media.api-sports.io/football/players/46998.png,,16,D,,False,True,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
720743,Cadiz,724,162058,Víctor Chust,https://media.api-sports.io/football/players/162058.png,9.0,32,D,6.9,False,True,0,,9.0,8,2.0,1.0,0,0,0,0,,,1.0,,,,,,,,,,,,,,
720743,Cadiz,724,47041,Alberto Perea,https://media.api-sports.io/football/players/47041.png,31.0,10,F,6.9,False,True,0,,13.0,11,6.0,4.0,0,0,0,0,,,,,,3.0,,2.0,,,,,,2.0,,,
720743,Cadiz,724,46890,Álvaro Jiménez,https://media.api-sports.io/football/players/46890.png,9.0,11,M,6.9,False,True,0,,2.0,1,6.0,4.0,0,0,0,0,,,1.0,,,2.0,,1.0,1.0,,,,,2.0,,,
720743,Cadiz,724,66761,Milutin Osmajić,https://media.api-sports.io/football/players/66761.png,20.0,29,F,6.7,False,True,0,,4.0,3,4.0,2.0,0,0,0,0,,,,,,,,1.0,,,,,,,,,
720743,Cadiz,724,310683,Álvaro Bastida,https://media.api-sports.io/football/players/310683.png,,30,M,,False,True,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
720743,Cadiz,724,163245,Martín Calderón,https://media.api-sports.io/football/players/163245.png,,28,M,,False,True,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
720743,Cadiz,724,182757,Ivan Chapela,https://media.api-sports.io/football/players/182757.png,,27,F,,False,True,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
720743,Levante,539,47448,Aitor Fernández,https://media.api-sports.io/football/players/47448.png,90.0,13,G,6.6,False,False,1,1.0,25.0,17,,,0,0,0,0,0.0,,,,,,,,,,,,,,,,
720743,Levante,539,131538,Son,https://media.api-sports.io/football/players/131538.png,90.0,2,D,6.6,False,False,0,,56.0,42,8.0,4.0,0,0,0,0,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,,,,,1.0,,,
720743,Levante,539,47328,Óscar Duarte,https://media.api-sports.io/football/players/47328.png,90.0,6,D,6.3,False,False,0,,65.0,59,9.0,3.0,1,0,0,0,,,,,2.0,,,,2.0,,,,,,,,
