fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_saves,passes_total,passes_accuracy,duels_total,duels_won,dribbles_attempts,dribbles_success,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,shots_total,shots_on,passes_key,tackles_total,tackles_interceptions,fouls_drawn,fouls_committed,goals_assists,tackles_blocks,goals_total,dribbles_past,offsides,penalty_commited,penalty_won
1126339,Maccabi Haifa,4195,48144,Daniel Sundgren,https://media.api-sports.io/football/players/48144.png,90.0,2,D,6.9,False,False,0,,48.0,36,6.0,5.0,3.0,2.0,0,0,0,0,,,,1.0,2.0,,1.0,,,1.0,,,,,
1126339,Maccabi Haifa,4195,8450,Abdoulaye Seck,https://media.api-sports.io/football/players/8450.png,90.0,30,D,6.3,False,False,0,,47.0,44,4.0,2.0,1.0,,0,0,0,0,,,,,1.0,,1.0,,,,,1.0,,,
1126339,Maccabi Haifa,4195,111335,Sean Goldberg,https://media.api-sports.io/football/players/111335.png,72.0,3,D,6.2,False,False,0,,47.0,33,2.0,1.0,,,0,0,0,0,,,,,,1.0,,,,1.0,,,,,
1126339,Maccabi Haifa,4195,107199,Pierre Cornud,https://media.api-sports.io/football/players/107199.png,90.0,27,D,6.5,False,False,0,,28.0,22,12.0,6.0,1.0,1.0,0,0,0,0,,,,,5.0,,,,,,,3.0,,,
1126339,Maccabi Haifa,4195,338735,Anan Khalaili,https://media.api-sports.io/football/players/338735.png,90.0,25,M,6.3,False,False,0,,17.0,11,8.0,3.0,,,1,0,0,0,,,,,3.0,,,1.0,,1.0,,3.0,,,
1126339,Maccabi Haifa,4195,3314,Show,https://media.api-sports.io/football/players/3314.png,62.0,5,M,6.3,False,False,0,,27.0,22,9.0,5.0,,,1,0,0,0,,,,1.0,4.0,,1.0,1.0,,,,2.0,,,
1126339,Maccabi Haifa,4195,136155,Mahmoud Jaber,https://media.api-sports.io/football/players/136155.png,90.0,26,M,6.5,False,False,0,,28.0,24,17.0,9.0,3.0,,0,0,0,0,,,,1.0,6.0,,2.0,2.0,,,,3.0,,,
1126339,Maccabi Haifa,4195,111277,Dean David,https://media.api-sports.io/football/players/111277.png,45.0,21,M,6.2,False,False,0,,4.0,1,2.0,1.0,1.0,,0,0,0,0,,1.0,,,,,1.0,,,,,,,,
1126339,Maccabi Haifa,4195,50120,Tjaronn Chery,https://media.api-sports.io/football/players/50120.png,81.0,10,F,6.9,True,False,0,,30.0,23,7.0,2.0,,,1,0,0,0,,1.0,1.0,2.0,,,2.0,1.0,,,,2.0,,,
1126339,Maccabi Haifa,4195,8601,Frantzdy Pierrot,https://media.api-sports.io/football/players/8601.png,62.0,9,F,6.5,False,False,0,,11.0,7,11.0,3.0,,,0,0,0,0,,2.0,1.0,,,,1.0,2.0,,,,,,,
