fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %
721356,732,Zaragoza,https://media.api-sports.io/football/teams/732.png,3,6,11,2,5,6,19,5,4,60%,2,,2,394,317,80%
721356,726,Huesca,https://media.api-sports.io/football/teams/726.png,2,4,9,3,5,4,19,9,0,40%,3,,3,254,183,72%
721359,545,Eibar,https://media.api-sports.io/football/teams/545.png,4,3,9,2,7,2,15,1,4,40%,3,,1,404,309,76%
721359,723,Almeria,https://media.api-sports.io/football/teams/723.png,2,6,12,4,5,7,10,5,1,60%,4,,3,610,514,84%
721360,547,Girona,https://media.api-sports.io/football/teams/547.png,10,6,20,4,14,6,12,10,4,56%,4,,1,412,342,83%
721360,726,Huesca,https://media.api-sports.io/football/teams/726.png,4,4,10,2,10,0,13,1,0,44%,4,,9,329,255,78%
721368,9380,Amorebieta,https://media.api-sports.io/football/teams/9380.png,7,7,19,5,17,2,8,7,1,43%,2,,1,343,211,62%
721368,5262,FC Cartagena,https://media.api-sports.io/football/teams/5262.png,4,1,9,4,5,4,11,2,4,57%,2,,5,469,342,73%
721363,534,Las Palmas,https://media.api-sports.io/football/teams/534.png,5,3,10,2,3,7,10,4,2,56%,3,,1,439,359,82%
721363,719,Tenerife,https://media.api-sports.io/football/teams/719.png,2,6,10,2,3,7,28,2,2,44%,5,,3,333,249,75%
721364,535,Malaga,https://media.api-sports.io/football/teams/535.png,3,6,14,5,10,4,13,5,,48%,3,,1,367,292,80%
721364,732,Zaragoza,https://media.api-sports.io/football/teams/732.png,2,3,7,2,4,3,17,2,,52%,4,,2,405,328,81%
721367,731,Sporting Gijon,https://media.api-sports.io/football/teams/731.png,9,6,19,4,15,4,13,7,3,47%,2,0,2,401,314,78%
721367,711,Alcorcon,https://media.api-sports.io/football/teams/711.png,2,3,8,3,3,5,16,6,3,53%,4,1,8,459,362,79%
721361,9390,Ibiza,https://media.api-sports.io/football/teams/9390.png,5,8,15,2,14,1,11,5,4,60%,2,,2,482,395,82%
721361,799,Mirandes,https://media.api-sports.io/football/teams/799.png,4,1,6,1,4,2,15,1,0,40%,4,,5,336,231,69%
721362,537,Leganes,https://media.api-sports.io/football/teams/537.png,4,6,12,2,7,5,17,3,1,57%,3,,2,493,399,81%
721362,720,Valladolid,https://media.api-sports.io/football/teams/720.png,4,8,12,0,7,5,12,2,1,43%,1,,4,365,279,76%
721369,9580,Burgos,https://media.api-sports.io/football/teams/9580.png,3,7,12,2,7,5,15,4,3,50%,3,,5,318,247,78%
721369,716,Lugo,https://media.api-sports.io/football/teams/716.png,6,6,16,4,8,8,23,6,0,50%,4,,2,330,268,81%
721366,9585,Real Sociedad II,https://media.api-sports.io/football/teams/9585.png,3,4,9,2,6,3,8,1,0,48%,2,,3,434,346,80%
721366,718,Oviedo,https://media.api-sports.io/football/teams/718.png,4,3,9,2,9,0,11,7,4,52%,1,,2,479,368,77%
721365,4907,Ponferradina,https://media.api-sports.io/football/teams/4907.png,5,8,14,1,7,7,11,4,6,70%,0,0,1,615,534,87%
