rank,team_id,team_name,team_logo,points,goals_diff,group,form,status,description,played,wins,draws,losses,goals_for,goals_against,home_played,home_wins,home_draws,home_losses,home_goals_for,home_goals_against,away_played,away_wins,away_draws,away_losses,away_goals_for,away_goals_against
1,496,Juventus,https://media.api-sports.io/football/teams/496.png,90,40,Serie A,LDLDD,,Promotion - Champions League (Group Stage),38,28,6,4,70,30,19,15,4,0,39,13,19,13,2,4,31,17
2,492,Napoli,https://media.api-sports.io/football/teams/492.png,79,38,Serie A,LWWWW,,Promotion - Champions League (Group Stage),38,24,7,7,74,36,19,13,4,2,41,16,19,11,3,5,33,20
3,499,Atalanta,https://media.api-sports.io/football/teams/499.png,69,31,Serie A,WDWWW,,Promotion - Champions League (Group Stage),38,20,9,9,77,46,19,10,5,4,36,19,19,10,4,5,41,27
4,505,Inter,https://media.api-sports.io/football/teams/505.png,69,24,Serie A,WLWDD,,Promotion - Champions League (Group Stage),38,20,9,9,57,33,19,11,5,3,27,10,19,9,4,6,30,23
5,489,AC Milan,https://media.api-sports.io/football/teams/489.png,68,19,Serie A,WWWWL,,Promotion - Europa League (Group Stage),38,19,11,8,55,36,19,12,4,3,31,17,19,7,7,5,24,19
6,497,AS Roma,https://media.api-sports.io/football/teams/497.png,66,18,Serie A,WDWDW,,Promotion - Europa League (Qualification),38,18,12,8,66,48,19,12,5,2,43,26,19,6,7,6,23,22
7,503,Torino,https://media.api-sports.io/football/teams/503.png,63,15,Serie A,WLWDW,,,38,16,15,7,52,37,19,12,2,5,32,19,19,4,13,2,20,18
8,487,Lazio,https://media.api-sports.io/football/teams/487.png,59,10,Serie A,LDWLW,,Promotion - Europa League (Group Stage),38,17,8,13,56,46,19,9,5,5,36,25,19,8,3,8,20,21
9,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,53,9,Serie A,WDLDL,,,38,15,8,15,60,51,19,10,2,7,28,16,19,5,6,8,32,35
10,500,Bologna,https://media.api-sports.io/football/teams/500.png,44,-8,Serie A,WDWLW,,,38,11,11,16,48,56,19,9,4,6,28,22,19,2,7,10,20,34
11,488,Sassuolo,https://media.api-sports.io/football/teams/488.png,43,-7,Serie A,LDLDW,,,38,9,16,13,53,60,19,5,10,4,33,33,19,4,6,9,20,27
12,494,Udinese,https://media.api-sports.io/football/teams/494.png,43,-14,Serie A,WWWDL,,,38,11,10,17,39,53,19,8,5,6,22,22,19,3,5,11,17,31
13,493,Spal,https://media.api-sports.io/football/teams/493.png,42,-12,Serie A,LLLWD,,,38,11,9,18,44,56,19,5,7,7,20,26,19,6,2,11,24,30
14,523,Parma,https://media.api-sports.io/football/teams/523.png,41,-20,Serie A,LWLDD,,,38,10,11,17,41,61,19,5,7,7,18,25,19,5,4,10,23,36
15,490,Cagliari,https://media.api-sports.io/football/teams/490.png,41,-18,Serie A,LDLLL,,,38,10,11,17,36,54,19,8,6,5,23,20,19,2,5,12,13,34
16,502,Fiorentina,https://media.api-sports.io/football/teams/502.png,41,2,Serie A,DLLLL,,,38,8,17,13,47,45,19,5,9,5,25,19,19,3,8,8,22,26
17,495,Genoa,https://media.api-sports.io/football/teams/495.png,38,-18,Serie A,DDLDD,,,38,8,14,16,39,57,19,6,8,5,21,22,19,2,6,11,18,35
18,511,Empoli,https://media.api-sports.io/football/teams/511.png,38,-19,Serie A,LWWWL,,Relegation - Serie B,38,10,8,20,51,70,19,9,3,7,33,30,19,1,5,13,18,40
19,512,Frosinone,https://media.api-sports.io/football/teams/512.png,25,-40,Serie A,DLLDL,,Relegation - Serie B,38,5,10,23,29,69,19,1,6,12,14,38,19,4,4,11,15,31
20,491,Chievo,https://media.api-sports.io/football/teams/491.png,17,-50,Serie A,DDLLD,,Relegation - Serie B,38,2,14,22,25,75,19,1,7,11,14,37,19,1,7,11,11,38
