fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,Assists,Counter Attacks,Cross Attacks,Free Kicks,Goals,Goal Attempts,Substitutions,Throwins,Medical Treatment
29024,505,Inter,https://media.api-sports.io/football/teams/505.png,8,14,28.0,6,15.0,13.0,10,10,2,73%,2,0.0,4,625.0,551.0,88%,,,,,,,,,
29024,523,Parma,https://media.api-sports.io/football/teams/523.png,5,2,9.0,2,4.0,5.0,8,1,4,27%,2,0.0,7,241.0,178.0,74%,,,,,,,,,
29026,492,Napoli,https://media.api-sports.io/football/teams/492.png,4,14,22.0,4,14.0,8.0,15,10,0,56%,1,0.0,1,562.0,488.0,87%,,,,,,,,,
29026,502,Fiorentina,https://media.api-sports.io/football/teams/502.png,1,4,9.0,4,3.0,6.0,17,3,4,44%,4,0.0,3,431.0,368.0,85%,,,,,,,,,
29022,512,Frosinone,https://media.api-sports.io/football/teams/512.png,3,4,9.0,2,6.0,3.0,13,5,4,37%,3,0.0,2,368.0,306.0,83%,,,,,,,,,
29022,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,7,4,11.0,0,8.0,3.0,16,3,4,63%,1,0.0,3,639.0,575.0,90%,,,,,,,,,
29027,497,AS Roma,https://media.api-sports.io/football/teams/497.png,9,6,16.0,1,10.0,6.0,10,9,3,55%,1,0.0,4,616.0,555.0,90%,,,,,,,,,
29027,491,Chievo,https://media.api-sports.io/football/teams/491.png,5,5,13.0,3,4.0,9.0,15,2,2,45%,1,0.0,7,490.0,431.0,88%,,,,,,,,,
29029,494,Udinese,https://media.api-sports.io/football/teams/494.png,1,5,6.0,0,3.0,3.0,16,3,1,33%,2,0.0,3,271.0,200.0,74%,,,,,,,,,
29029,503,Torino,https://media.api-sports.io/football/teams/503.png,4,7,14.0,3,5.0,9.0,15,7,2,67%,2,0.0,0,521.0,449.0,86%,,,,,,,,,
29023,495,Genoa,https://media.api-sports.io/football/teams/495.png,4,5,13.0,4,8.0,5.0,14,5,0,51%,2,0.0,0,376.0,305.0,81%,,,,,,,,,
29023,500,Bologna,https://media.api-sports.io/football/teams/500.png,0,5,12.0,7,8.0,4.0,21,3,1,49%,5,1.0,3,345.0,273.0,79%,,,,,,,,,
29025,496,Juventus,https://media.api-sports.io/football/teams/496.png,4,9,18.0,5,12.0,6.0,13,10,1,42%,3,1.0,4,397.0,344.0,87%,,,,,,,,,
29025,488,Sassuolo,https://media.api-sports.io/football/teams/488.png,5,5,15.0,5,5.0,10.0,15,4,0,58%,3,0.0,3,553.0,496.0,90%,,,,,,,,,
29021,511,Empoli,https://media.api-sports.io/football/teams/511.png,3,6,12.0,3,5.0,7.0,13,4,2,54%,2,0.0,2,555.0,463.0,83%,,,,,,,,,
29021,487,Lazio,https://media.api-sports.io/football/teams/487.png,3,11,21.0,7,16.0,5.0,11,7,2,46%,3,0.0,3,463.0,365.0,79%,,,,,,,,,
29020,490,Cagliari,https://media.api-sports.io/football/teams/490.png,2,3,6.0,1,3.0,3.0,12,3,2,36%,1,0.0,5,372.0,294.0,79%,,,,,,,,,
