fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_assists,goals_saves,passes_total,passes_accuracy,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,passes_key,tackles_total,duels_total,duels_won,tackles_blocks,dribbles_past,fouls_committed,tackles_interceptions,fouls_drawn,dribbles_attempts,shots_total,shots_on,dribbles_success,goals_total,offsides,penalty_commited,penalty_won
1232055,Sassuolo,488,30518,Giacomo Satalino,https://media.api-sports.io/football/players/30518.png,90.0,12,G,6.3,False,False,1,0.0,1.0,27.0,17,0,0,0,0,0.0,,,,,,,,,,,,,,,,,
1232055,Sassuolo,488,1118,Jeremy Toljan,https://media.api-sports.io/football/players/1118.png,90.0,23,D,6.9,False,False,0,0.0,,54.0,46,0,0,0,0,,1.0,1.0,4.0,2.0,,,,,,,,,,,,,
1232055,Sassuolo,488,127802,Cas Odenthal,https://media.api-sports.io/football/players/127802.png,90.0,26,D,6.6,False,False,0,0.0,,34.0,25,0,0,0,0,,,2.0,6.0,4.0,1.0,1.0,1.0,,,,,,,,,,
1232055,Sassuolo,488,30556,Filippo Romagna,https://media.api-sports.io/football/players/30556.png,90.0,19,D,6.9,False,False,0,0.0,,53.0,47,0,0,0,0,,,1.0,8.0,5.0,,,2.0,1.0,1.0,,,,,,,,
1232055,Sassuolo,488,135526,Josh Doig,https://media.api-sports.io/football/players/135526.png,90.0,3,D,6.9,False,False,0,0.0,,50.0,46,0,0,0,0,,2.0,3.0,8.0,3.0,,,,,,1.0,,,,,,,
1232055,Sassuolo,488,18824,Pedro Obiang,https://media.api-sports.io/football/players/18824.png,72.0,14,M,7.2,True,False,0,0.0,,42.0,35,0,0,0,0,,2.0,2.0,5.0,2.0,1.0,,1.0,,,,1.0,1.0,,,,,
1232055,Sassuolo,488,291780,Daniel Boloca,https://media.api-sports.io/football/players/291780.png,90.0,11,M,7.9,False,False,0,1.0,,57.0,54,0,0,0,0,,3.0,3.0,8.0,3.0,,2.0,1.0,2.0,,1.0,1.0,1.0,,,,,
1232055,Sassuolo,488,48577,Nedim Bajrami,https://media.api-sports.io/football/players/48577.png,65.0,72,M,6.9,False,False,0,1.0,,26.0,22,0,0,0,0,,1.0,,6.0,,,1.0,2.0,1.0,,2.0,,,,,,,
1232055,Sassuolo,488,39143,Kristian Thorstvedt,https://media.api-sports.io/football/players/39143.png,73.0,42,M,6.7,False,False,0,0.0,,42.0,36,0,0,0,0,,1.0,1.0,14.0,7.0,,1.0,2.0,2.0,,3.0,1.0,,1.0,,,,
1232055,Sassuolo,488,2215,Armand Laurienté,https://media.api-sports.io/football/players/2215.png,83.0,45,M,7.7,False,False,0,0.0,,28.0,21,0,0,0,0,,1.0,,6.0,3.0,,1.0,,,2.0,3.0,3.0,2.0,1.0,1.0,,,
1232055,Sassuolo,488,91490,Samuele Mulattieri,https://media.api-sports.io/football/players/91490.png,83.0,9,F,7,False,False,0,0.0,,23.0,20,0,0,0,0,,1.0,2.0,20.0,6.0,,,1.0,,2.0,4.0,5.0,1.0,,1.0,,,
1232055,Sassuolo,488,342035,Cristian Volpato,https://media.api-sports.io/football/players/342035.png,25.0,7,M,6.5,False,True,0,0.0,,16.0,11,0,0,0,0,,,,5.0,2.0,,,,,,2.0,,,1.0,,,,
1232055,Sassuolo,488,343562,Luca Lipani,https://media.api-sports.io/football/players/343562.png,18.0,35,M,6.7,False,True,0,0.0,,11.0,8,0,0,0,0,,,,4.0,2.0,,,1.0,,,,,,,,,,
1232055,Sassuolo,488,56318,Fabrizio Caligara,https://media.api-sports.io/football/players/56318.png,17.0,29,M,7,False,True,0,0.0,,13.0,11,0,0,0,0,,,1.0,4.0,3.0,,,,3.0,,,,,,,,,
1232055,Sassuolo,488,31418,Matteo Lovato,https://media.api-sports.io/football/players/31418.png,13.0,20,D,6.3,False,True,0,0.0,,2.0,1,0,0,0,0,,,,1.0,,,,,,,,,,,,,,
1232055,Sassuolo,488,31440,Luca Moro,https://media.api-sports.io/football/players/31440.png,13.0,24,F,6.3,False,True,0,0.0,,4.0,4,0,0,0,0,,,,7.0,2.0,,,3.0,,1.0,1.0,1.0,1.0,,,,,
1232055,Sassuolo,488,30766,Alessandro Russo,https://media.api-sports.io/football/players/30766.png,,1,G,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1232055,Sassuolo,488,342055,Edoardo Pieragnolo,https://media.api-sports.io/football/players/342055.png,,15,D,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1232055,Sassuolo,488,342653,Filippo Missori,https://media.api-sports.io/football/players/342653.png,,2,D,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1232055,Sassuolo,488,342056,Kevin Miranda,https://media.api-sports.io/football/players/342056.png,,44,D,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1232055,Sassuolo,488,156478,Stefano Piccinini,https://media.api-sports.io/football/players/156478.png,,27,D,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1232055,Sassuolo,488,57899,Yeferson Paz,https://media.api-sports.io/football/players/57899.png,,17,D,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1232055,Sassuolo,488,47087,Uroš Račić,https://media.api-sports.io/football/players/47087.png,,6,M,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1232055,Sassuolo,488,341995,Justin Kumi,https://media.api-sports.io/football/players/341995.png,,55,M,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1232055,Sassuolo,488,193870,Janis Antiste,https://media.api-sports.io/football/players/193870.png,,28,F,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1232055,Sassuolo,488,330758,Flavio Russo,https://media.api-sports.io/football/players/330758.png,,91,F,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1232055,Cittadella,510,31474,Elhan Kastrati,https://media.api-sports.io/football/players/31474.png,90.0,36,G,6.9,False,False,2,0.0,4.0,31.0,26,0,0,0,0,0.0,,,,,,,,,,,,,,,,,
