fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_saves,passes_total,passes_accuracy,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,passes_key,tackles_interceptions,duels_total,duels_won,dribbles_attempts,fouls_committed,shots_total,tackles_total,dribbles_success,dribbles_past,fouls_drawn,tackles_blocks,shots_on,offsides,goals_total,goals_assists,penalty_commited,penalty_won
748125,Monaco,91,118,Gelson Martins,https://media.api-sports.io/football/players/118.png,88.0,7,M,6.7,False,False,0,,23.0,17,0,0,0,0,,1.0,1.0,16.0,4.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,
748125,Monaco,91,22254,Youssouf Fofana,https://media.api-sports.io/football/players/22254.png,90.0,22,M,6.3,False,False,0,,50.0,39,1,0,0,0,,,1.0,13.0,5.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,,1.0,,,,,
748125,Monaco,91,1271,Aurélien Tchouaméni,https://media.api-sports.io/football/players/1271.png,90.0,8,M,8.5,False,False,0,,60.0,52,1,0,0,0,,1.0,5.0,12.0,10.0,,1.0,1.0,4.0,,1.0,2.0,,1.0,,1.0,,,
748125,Monaco,91,109,Aleksandr Golovin,https://media.api-sports.io/football/players/109.png,76.0,17,M,8.3,False,False,0,,32.0,26,0,0,0,0,,3.0,,7.0,5.0,,2.0,1.0,2.0,,,1.0,,,,,1.0,,
748125,Monaco,91,2059,Wissam Ben Yedder,https://media.api-sports.io/football/players/2059.png,57.0,10,F,6.9,True,False,0,,15.0,9,0,0,0,0,,,,9.0,6.0,3.0,1.0,,,3.0,,1.0,,,,,,,
748125,Monaco,91,989,Kevin Volland,https://media.api-sports.io/football/players/989.png,76.0,31,F,6.9,False,False,0,,17.0,10,0,0,0,0,,1.0,,10.0,3.0,1.0,1.0,2.0,,1.0,2.0,1.0,,2.0,2.0,1.0,,,
748125,Monaco,91,51146,Vito Mannone,https://media.api-sports.io/football/players/51146.png,,30,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
748125,Monaco,91,40384,Radosław Majecki,https://media.api-sports.io/football/players/40384.png,,1,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
748125,Monaco,91,102,Djibril Sidibé,https://media.api-sports.io/football/players/102.png,,19,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
748125,Monaco,91,163039,Chrislain Matsima,https://media.api-sports.io/football/players/163039.png,,34,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
748125,Monaco,91,45826,Strahinja Pavlović,https://media.api-sports.io/football/players/45826.png,,21,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
748125,Monaco,91,107,Sofiane Diop,https://media.api-sports.io/football/players/107.png,33.0,37,M,7.2,False,True,0,,15.0,12,0,0,0,0,,1.0,2.0,4.0,4.0,,,,,,,3.0,,,1.0,,1.0,,
748125,Monaco,91,162991,Eliot Matazo,https://media.api-sports.io/football/players/162991.png,,36,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
748125,Monaco,91,325594,Félix Lemaréchal,https://media.api-sports.io/football/players/325594.png,,41,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
748125,Monaco,91,108,Cesc Fàbregas,https://media.api-sports.io/football/players/108.png,14.0,4,M,6.3,False,True,0,,11.0,9,0,0,0,0,,,,6.0,1.0,,2.0,,1.0,,3.0,,,,,,,,
748125,Monaco,91,158121,Ismail Jakobs,https://media.api-sports.io/football/players/158121.png,14.0,14,F,6.3,False,True,0,,7.0,5,0,0,0,0,,1.0,,3.0,3.0,,,1.0,,,,,,1.0,,,,,
748125,Monaco,91,37380,Anthony Musaba,https://media.api-sports.io/football/players/37380.png,2.0,25,F,,False,True,0,,,,0,0,0,0,,,,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,,
748125,Monaco,91,123,Pietro Pellegri,https://media.api-sports.io/football/players/123.png,,29,F,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
748123,PSV Eindhoven,197,36828,Joël Drommel,https://media.api-sports.io/football/players/36828.png,90.0,16,G,6.9,False,False,0,,41.0,20,0,0,0,0,0.0,,,1.0,,,,,,,,,,,,,,,
748123,PSV Eindhoven,197,25915,Phillipp Mwene,https://media.api-sports.io/football/players/25915.png,70.0,29,D,6.7,False,False,0,,48.0,39,0,0,0,0,,2.0,2.0,8.0,2.0,,,,1.0,,2.0,1.0,,,,,,,
