feature,importance
away_rest_ratio,0.044158954784989504
time_of_day,0.03679176628736414
away_losses,0.036057997334449664
home_pass_accuracy_rolling_5,0.03561412043221444
home_wins,0.03533666707986837
home_defensive_efficiency_rolling_5,0.03149709119344813
day_of_week,0.026849353086903727
day_of_month,0.026572120398074984
home_shot_accuracy_rolling_5,0.026278837574863337
home_played,0.026155384337488333
home_rank,0.02517069494452914
home_days_since_last_match,0.024709122184728278
home_clearance_efficiency_rolling_5,0.024598300890504354
away_days_since_last_match,0.024597086860774116
away_goals_diff,0.023915202540843
home_goals_for,0.023843845964729837
ft_ht_swing_rolling_5,0.023810363685452376
away_match_density,0.023576378982233102
home_goals_against,0.023571061228122126
home_rest_ratio,0.023369142700935132
home_draws,0.023280229616262714
is_weekend,0.023111166569453532
home_form_strength,0.02235322952061897
away_draws,0.022237802446378362
away_points,0.02217807383307174
away_wins,0.021949107448427103
is_night_match,0.02191913144601659
is_holiday,0.021837411185844
home_points,0.02178055626009766
away_rank,0.021751844829478364
month,0.02157871973782868
away_shot_quality_rolling_5,0.02153963693089204
home_losses,0.021472569374757854
away_form_strength,0.02133417386221906
home_goals_diff,0.021233355737877872
away_goals_for,0.021233129096838867
away_goals_against,0.021097718620885414
home_match_density,0.020898999548365986
away_played,0.02039756326803771
season_quarter,0.02034208817413143
