fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,Substitutions
38173,864,Cosenza,https://media.api-sports.io/football/teams/864.png,3,2,5.0,,,,12,7,2,51%,1,0.0,,,,,
38173,868,Livorno,https://media.api-sports.io/football/teams/868.png,3,5,8.0,,,,17,2,1,49%,3,0.0,,,,,
38176,870,Padova,https://media.api-sports.io/football/teams/870.png,2,1,3.0,,,,10,4,0,46%,2,0.0,6.0,,,,
38176,520,Cremonese,https://media.api-sports.io/football/teams/520.png,7,4,11.0,,,,9,13,1,54%,1,0.0,1.0,,,,
38188,504,Verona,https://media.api-sports.io/football/teams/504.png,6,1,7.0,,,,18,4,2,58%,1,0.0,3.0,,,,
38188,515,Spezia,https://media.api-sports.io/football/teams/515.png,4,2,6.0,,,,20,1,1,42%,3,0.0,3.0,,,,
38181,510,Cittadella,https://media.api-sports.io/football/teams/510.png,3,5,8.0,,,,24,6,1,57%,2,0.0,2.0,,,,
38181,506,Benevento,https://media.api-sports.io/football/teams/506.png,3,1,4.0,,,,15,6,0,43%,2,0.0,3.0,,,,
38187,514,Salernitana,https://media.api-sports.io/football/teams/514.png,4,8,12.0,,,,17,4,2,42%,2,0.0,3.0,,,,
38187,507,Ascoli,https://media.api-sports.io/football/teams/507.png,4,5,9.0,,,,17,3,0,58%,3,0.0,3.0,,,,
38180,518,Brescia,https://media.api-sports.io/football/teams/518.png,5,4,9.0,,,,19,8,3,40%,3,0.0,4.0,,,,
38180,522,Palermo,https://media.api-sports.io/football/teams/522.png,5,2,7.0,,,,11,2,1,60%,1,0.0,3.0,,,,
38185,524,Perugia,https://media.api-sports.io/football/teams/524.png,1,4,5.0,,,,13,3,3,66%,1,0.0,1.0,,,,
38185,519,Carpi,https://media.api-sports.io/football/teams/519.png,2,7,9.0,,,,15,6,4,34%,1,0.0,1.0,,,,
38186,525,Pescara,https://media.api-sports.io/football/teams/525.png,4,4,8.0,,,,16,6,5,40%,1,0.0,4.0,,,,
38186,501,Crotone,https://media.api-sports.io/football/teams/501.png,5,7,12.0,,,,14,6,0,60%,3,0.0,2.0,,,,
38184,868,Livorno,https://media.api-sports.io/football/teams/868.png,0,7,7.0,,,,13,8,4,52%,2,0.0,2.0,,,,
38184,867,Lecce,https://media.api-sports.io/football/teams/867.png,5,3,8.0,,,,16,6,0,48%,2,0.0,0.0,,,,
38182,520,Cremonese,https://media.api-sports.io/football/teams/520.png,3,2,5.0,,,,14,3,3,47%,1,0.0,3.0,,,,
38182,864,Cosenza,https://media.api-sports.io/football/teams/864.png,3,4,7.0,,,,13,5,0,53%,1,0.0,1.0,,,,
38183,521,Foggia,https://media.api-sports.io/football/teams/521.png,8,6,14.0,,,,26,4,4,65%,3,0.0,2.0,,,,
38183,870,Padova,https://media.api-sports.io/football/teams/870.png,3,1,4.0,,,,21,2,4,35%,3,0.0,7.0,,,,
38192,501,Crotone,https://media.api-sports.io/football/teams/501.png,6,5,11.0,,,,10,6,1,53%,1,1.0,2.0,,,,
38192,518,Brescia,https://media.api-sports.io/football/teams/518.png,4,11,15.0,,,,21,3,3,47%,2,0.0,4.0,,,,
38195,514,Salernitana,https://media.api-sports.io/football/teams/514.png,1,6,7.0,,,,21,5,3,35%,4,0.0,5.0,,,,
38195,504,Verona,https://media.api-sports.io/football/teams/504.png,5,4,9.0,,,,16,5,2,65%,3,0.0,0.0,,,,
38196,515,Spezia,https://media.api-sports.io/football/teams/515.png,6,8,14.0,,,,16,8,1,78%,1,0.0,0.0,,,,
38196,519,Carpi,https://media.api-sports.io/football/teams/519.png,1,3,4.0,,,,21,8,0,22%,3,0.0,2.0,,,,
38193,867,Lecce,https://media.api-sports.io/football/teams/867.png,5,0,5.0,,,,10,1,4,40%,3,0.0,6.0,,,,
38193,510,Cittadella,https://media.api-sports.io/football/teams/510.png,7,10,17.0,,,,16,7,3,60%,2,0.0,4.0,,,,
38197,517,Venezia,https://media.api-sports.io/football/teams/517.png,3,2,5.0,,,,21,7,5,52%,3,0.0,0.0,,,,
38197,868,Livorno,https://media.api-sports.io/football/teams/868.png,2,3,5.0,,,,18,8,2,48%,2,0.0,2.0,,,,
38189,507,Ascoli,https://media.api-sports.io/football/teams/507.png,4,2,6.0,,,,14,3,3,52%,3,0.0,2.0,,,,
38189,520,Cremonese,https://media.api-sports.io/football/teams/520.png,2,4,6.0,,,,15,6,2,48%,1,0.0,4.0,,,,
38191,864,Cosenza,https://media.api-sports.io/football/teams/864.png,2,3,5.0,,,,16,5,4,46%,2,0.0,1.0,,,,
38191,524,Perugia,https://media.api-sports.io/football/teams/524.png,2,3,5.0,,,,17,2,2,54%,1,0.0,1.0,,,,
38190,506,Benevento,https://media.api-sports.io/football/teams/506.png,4,7,11.0,,,,16,4,5,54%,1,0.0,1.0,,,,
38190,521,Foggia,https://media.api-sports.io/football/teams/521.png,3,0,3.0,,,,12,2,3,46%,4,0.0,3.0,,,,
38194,870,Padova,https://media.api-sports.io/football/teams/870.png,7,5,12.0,,,,15,7,,44%,3,0.0,3.0,,,,
38194,525,Pescara,https://media.api-sports.io/football/teams/525.png,5,2,7.0,,,,15,2,,56%,2,0.0,5.0,,,,
38206,504,Verona,https://media.api-sports.io/football/teams/504.png,5,13,18.0,,,,10,14,3,60%,3,0.0,4.0,,,,
38206,867,Lecce,https://media.api-sports.io/football/teams/867.png,6,1,7.0,,,,14,4,1,40%,4,0.0,5.0,,,,
38199,519,Carpi,https://media.api-sports.io/football/teams/519.png,5,2,7.0,,,,22,0,5,44%,1,0.0,4.0,,,,
38199,864,Cosenza,https://media.api-sports.io/football/teams/864.png,5,8,13.0,,,,19,9,1,56%,2,0.0,4.0,,,,
38200,520,Cremonese,https://media.api-sports.io/football/teams/520.png,2,5,7.0,,,,14,9,0,57%,0,0.0,2.0,,,,
38200,514,Salernitana,https://media.api-sports.io/football/teams/514.png,2,1,3.0,,,,15,2,4,43%,3,0.0,2.0,,,,
38201,521,Foggia,https://media.api-sports.io/football/teams/521.png,6,4,10.0,,,,19,0,0,52%,3,0.0,2.0,,,,
38201,507,Ascoli,https://media.api-sports.io/football/teams/507.png,4,9,13.0,,,,20,6,6,48%,2,0.0,2.0,,,,
38205,525,Pescara,https://media.api-sports.io/football/teams/525.png,6,4,10.0,,,,16,5,,38%,3,0.0,1.0,,,,
38205,506,Benevento,https://media.api-sports.io/football/teams/506.png,2,4,6.0,,,,20,2,,62%,3,0.0,3.0,,,,
38204,524,Perugia,https://media.api-sports.io/football/teams/524.png,4,8,12.0,,,,23,3,1,46%,3,0.0,2.0,,,,
38204,517,Venezia,https://media.api-sports.io/football/teams/517.png,2,4,6.0,,,,22,7,3,54%,3,1.0,3.0,,,,
38198,518,Brescia,https://media.api-sports.io/football/teams/518.png,6,4,10.0,,,,18,8,7,56%,2,0.0,0.0,,,,
38198,870,Padova,https://media.api-sports.io/football/teams/870.png,1,6,7.0,,,,11,6,0,44%,1,0.0,2.0,,,,
38202,868,Livorno,https://media.api-sports.io/football/teams/868.png,6,4,10.0,,,,16,0,1,56%,2,1.0,3.0,,,,
