fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,shots_total,shots_on,goals_conceded,goals_saves,passes_total,passes_key,passes_accuracy,tackles_blocks,tackles_interceptions,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,tackles_total,dribbles_past,goals_total,goals_assists,penalty_commited,penalty_won,offsides
232528,Parma,523,31008,Luigi Sepe,https://media.api-sports.io/football/players/31008.png,90,1,G,6.9,False,False,0,0,1.0,3.0,20,0,71%,0.0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,
232528,Parma,523,30400,Vincent Laurini,https://media.api-sports.io/football/players/30400.png,90,16,D,6.7,False,False,0,0,,,29,1,82%,0.0,0,1,1,3,0,0,0,0,0,,2.0,,,,,,
232528,Parma,523,31014,Simone Iacoponi,https://media.api-sports.io/football/players/31014.png,90,2,D,6.8,False,False,0,0,,,23,0,74%,1.0,1,1,0,1,0,0,0,0,0,,1.0,,,,,,
232528,Parma,523,31015,Bruno Alves,https://media.api-sports.io/football/players/31015.png,90,22,D,6.7,True,False,1,0,,,32,0,80%,0.0,0,1,1,0,1,0,0,0,0,,,,,,,,
232528,Parma,523,31011,Riccardo Gagliolo,https://media.api-sports.io/football/players/31011.png,90,28,D,6.7,False,False,1,0,,,34,0,85%,1.0,2,0,0,3,2,0,0,0,0,,4.0,4.0,,,,,
232528,Parma,523,1208,Hernani,https://media.api-sports.io/football/players/1208.png,90,10,M,6.8,False,False,2,1,,,32,0,78%,1.0,0,0,0,0,2,1,0,0,0,,,1.0,,,,,
232528,Parma,523,31489,Gastón Brugman,https://media.api-sports.io/football/players/31489.png,77,15,M,6.9,False,False,0,0,,,24,1,80%,0.0,3,2,2,1,0,0,0,0,0,,,2.0,,,,,
232528,Parma,523,31017,Antonino Barillà,https://media.api-sports.io/football/players/31017.png,85,17,M,6.2,False,False,1,0,,,16,0,84%,0.0,1,2,1,1,1,0,0,0,0,,,4.0,,,,,
232528,Parma,523,30435,Dejan Kulusevski,https://media.api-sports.io/football/players/30435.png,57,44,F,6.5,False,False,0,0,,,13,1,72%,0.0,0,2,1,0,3,1,0,0,0,,,1.0,,,,,
232528,Parma,523,31031,Roberto Inglese,https://media.api-sports.io/football/players/31031.png,90,9,F,6.5,False,False,2,1,,,11,0,84%,0.0,1,0,0,2,3,0,0,0,0,,,2.0,,,,,
232528,Parma,523,31032,Gervinho,https://media.api-sports.io/football/players/31032.png,90,27,F,6.2,False,False,0,0,,,9,0,69%,0.0,1,7,3,2,0,0,0,0,0,,,1.0,,,,,
232528,Parma,523,31021,Alberto Grassi,https://media.api-sports.io/football/players/31021.png,13,8,M,6.5,False,True,1,0,,,7,0,100%,0.0,1,0,0,0,1,0,0,0,0,,,,,,,,
232528,Parma,523,31034,Luca Siligardi,https://media.api-sports.io/football/players/31034.png,33,26,F,6.6,False,True,0,0,,,8,0,66%,0.0,0,0,0,1,0,0,0,0,0,,,,,,,,
232528,Parma,523,1278,Yann Karamoh,https://media.api-sports.io/football/players/1278.png,12,7,F,6.6,False,True,0,0,,,1,0,50%,0.0,0,0,0,0,0,0,0,0,0,,,,,,,,
232528,Juventus,496,851,Wojciech Szczęsny,https://media.api-sports.io/football/players/851.png,90,1,G,7.5,False,False,0,0,0.0,2.0,14,0,73%,0.0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,
232528,Juventus,496,858,Mattia De Sciglio,https://media.api-sports.io/football/players/858.png,90,2,D,7.7,False,False,0,0,,,45,0,86%,0.0,0,3,3,0,0,0,0,0,0,,2.0,,,,,,
232528,Juventus,496,853,Leonardo Bonucci,https://media.api-sports.io/football/players/853.png,90,19,D,7.0,False,False,1,0,,,46,0,83%,0.0,2,0,0,2,0,0,0,0,0,,,,,,,,
232528,Juventus,496,856,Giorgio Chiellini,https://media.api-sports.io/football/players/856.png,90,3,D,8.1,True,False,1,1,,,45,0,90%,2.0,1,1,1,0,2,0,0,0,0,,,,1.0,,,,
232528,Juventus,496,860,Alex Sandro,https://media.api-sports.io/football/players/860.png,90,12,D,7.6,False,False,1,0,,,45,2,90%,0.0,0,1,0,3,2,0,0,0,0,,2.0,,,1.0,,,
232528,Juventus,496,868,Sami Khedira,https://media.api-sports.io/football/players/868.png,63,6,M,6.5,False,False,0,0,,,28,2,93%,1.0,0,0,0,0,2,1,0,0,0,,,2.0,,,,,
232528,Juventus,496,872,Miralem Pjanić,https://media.api-sports.io/football/players/872.png,90,5,M,8.2,False,False,1,1,,,84,2,91%,2.0,3,2,2,1,1,1,0,0,0,,2.0,3.0,,,,,
232528,Juventus,496,869,Blaise Matuidi,https://media.api-sports.io/football/players/869.png,90,14,M,6.7,False,False,0,0,,,20,0,83%,0.0,2,0,0,1,1,0,0,0,0,,1.0,,,,,,
232528,Juventus,496,865,Douglas Costa,https://media.api-sports.io/football/players/865.png,71,11,F,7.5,False,False,2,0,,,42,2,93%,0.0,0,8,5,3,1,0,0,0,0,,1.0,,,,,,
232528,Juventus,496,2297,Gonzalo Higuaín,https://media.api-sports.io/football/players/2297.png,83,21,F,6.7,False,False,1,0,,,24,3,88%,0.0,0,4,2,0,1,0,0,0,0,,,3.0,,,,,
232528,Juventus,496,874,Cristiano Ronaldo,https://media.api-sports.io/football/players/874.png,90,7,F,6.5,False,False,7,2,,,38,0,88%,0.0,0,1,1,1,1,0,0,0,0,,,1.0,,,,,
