fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_saves,passes_total,passes_accuracy,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,goals_assists,passes_key,tackles_total,tackles_interceptions,duels_total,duels_won,dribbles_past,fouls_drawn,penalty_won,tackles_blocks,fouls_committed,dribbles_attempts,dribbles_success,shots_total,shots_on,goals_total,penalty_commited,offsides
881780,AC Milan,489,22221,Mike Maignan,https://media.api-sports.io/football/players/22221.png,90.0,16,G,6.5,False,False,2,2.0,22.0,19,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
881780,AC Milan,489,1627,Davide Calabria,https://media.api-sports.io/football/players/1627.png,90.0,2,D,7.9,True,False,0,,76.0,60,0,0,0,0,,1.0,2.0,6.0,1.0,11.0,9.0,1.0,3.0,1.0,,,,,,,,,
881780,AC Milan,489,162188,Pierre Kalulu,https://media.api-sports.io/football/players/162188.png,90.0,20,D,6.9,False,False,0,,67.0,62,0,0,0,0,,,,2.0,2.0,5.0,2.0,,,,1.0,2.0,,,,,,,
881780,AC Milan,489,19209,Fikayo Tomori,https://media.api-sports.io/football/players/19209.png,90.0,23,D,6.9,False,False,0,,68.0,60,0,0,0,0,,,1.0,1.0,1.0,7.0,5.0,,1.0,,,,1.0,1.0,,,,,
881780,AC Milan,489,47300,Theo Hernández,https://media.api-sports.io/football/players/47300.png,90.0,19,D,7.7,False,False,0,,48.0,44,0,0,1,0,,,,4.0,,8.0,5.0,,1.0,,,2.0,,,2.0,1.0,1.0,,
881780,AC Milan,489,3173,Ismaël Bennacer,https://media.api-sports.io/football/players/3173.png,90.0,4,M,7.2,False,False,0,,61.0,56,0,0,0,0,,,1.0,2.0,1.0,8.0,6.0,,2.0,,,1.0,2.0,2.0,1.0,,,,
881780,AC Milan,489,31054,Rade Krunić,https://media.api-sports.io/football/players/31054.png,84.0,33,M,6.6,False,False,0,,38.0,32,1,0,0,0,,,,1.0,2.0,8.0,4.0,1.0,,,,2.0,3.0,3.0,,,,,
881780,AC Milan,489,56396,Junior Messias,https://media.api-sports.io/football/players/56396.png,71.0,30,M,6.3,False,False,0,,23.0,20,0,0,0,0,,,1.0,1.0,1.0,11.0,4.0,,1.0,,,1.0,1.0,,,,,,
881780,AC Milan,489,744,Brahim Díaz,https://media.api-sports.io/football/players/744.png,71.0,10,M,8,False,False,0,,30.0,24,0,0,0,0,,1.0,1.0,2.0,,9.0,4.0,,1.0,,,2.0,2.0,1.0,2.0,2.0,1.0,,
881780,AC Milan,489,22236,Rafael Leão,https://media.api-sports.io/football/players/22236.png,84.0,17,M,6.6,False,False,0,,25.0,19,0,0,0,0,,,,,,2.0,2.0,,,,,,1.0,1.0,2.0,,,,
881780,AC Milan,489,1831,Ante Rebić,https://media.api-sports.io/football/players/1831.png,72.0,12,F,8.2,False,False,0,,25.0,19,0,0,0,0,,,1.0,1.0,,8.0,2.0,,1.0,,,3.0,1.0,,3.0,2.0,2.0,,
881780,AC Milan,489,765,Antonio Mirante,https://media.api-sports.io/football/players/765.png,,83,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
881780,AC Milan,489,21081,Ciprian Tătărușanu,https://media.api-sports.io/football/players/21081.png,,1,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
881780,AC Milan,489,56473,Matteo Gabbia,https://media.api-sports.io/football/players/56473.png,,46,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
881780,AC Milan,489,105,Fodé Ballo-Touré,https://media.api-sports.io/football/players/105.png,,5,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
881780,AC Milan,489,2045,Simon Kjær,https://media.api-sports.io/football/players/2045.png,,24,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
881780,AC Milan,489,769,Alessandro Florenzi,https://media.api-sports.io/football/players/769.png,,25,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
881780,AC Milan,489,1265,Yacine Adli,https://media.api-sports.io/football/players/1265.png,,7,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
881780,AC Milan,489,1417,Alexis Saelemaekers,https://media.api-sports.io/football/players/1417.png,19.0,56,M,6.9,False,True,0,,6.0,3,0,0,0,0,,,,2.0,,5.0,2.0,,,,,1.0,1.0,,2.0,,,,
881780,AC Milan,489,31273,Tommaso Pobega,https://media.api-sports.io/football/players/31273.png,13.0,32,M,6.3,False,True,0,,1.0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,
881780,AC Milan,489,1635,Tiemoué Bakayoko,https://media.api-sports.io/football/players/1635.png,,14,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
881780,AC Milan,489,147859,Charles De Ketelaere,https://media.api-sports.io/football/players/147859.png,19.0,90,M,6.9,False,True,0,,10.0,9,0,0,0,0,,,1.0,,,7.0,4.0,1.0,2.0,,,,2.0,2.0,,,,,
881780,AC Milan,489,305,Divock Origi,https://media.api-sports.io/football/players/305.png,13.0,27,F,6.3,False,True,0,,1.0,,0,0,0,0,,,,1.0,,5.0,2.0,,1.0,,,2.0,,,,,,,
881780,AC Milan,489,2295,Olivier Giroud,https://media.api-sports.io/football/players/2295.png,18.0,9,F,6.3,False,True,0,,1.0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,
