fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_captain,games_substitute,shots_total,shots_on,goals_conceded,goals_saves,passes_total,passes_accuracy,tackles_interceptions,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,goals_assists,goals_total,tackles_blocks,tackles_total,penalty_won,penalty_commited,games_rating,passes_key,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past
78616,Sturm Graz,637,7574,Jörg Siebenhandl,https://media.api-sports.io/football/players/7574.png,91,27,G,False,False,0,0,3.0,5.0,36,81%,0,1,0,0,0,0,0,0.0,,,,,,,,,,,,,
78616,Sturm Graz,637,7576,Fabian Koch,https://media.api-sports.io/football/players/7576.png,91,26,D,False,False,1,0,,,43,81%,1,1,1,1,0,0,0,,,,,,,,,,,,,,
78616,Sturm Graz,637,7580,Lukas Spendlhofer,https://media.api-sports.io/football/players/7580.png,91,23,D,False,False,0,0,,,61,92%,3,1,1,0,0,0,0,,,,,,,,,,,,,,
78616,Sturm Graz,637,7577,Dario Maresic,https://media.api-sports.io/football/players/7577.png,91,35,D,False,False,0,0,,,46,85%,0,3,1,0,0,0,0,,,,,,,,,,,,,,
78616,Sturm Graz,637,41463,Filipe Ferreira,https://media.api-sports.io/football/players/41463.png,91,20,D,False,False,1,0,,,28,90%,1,0,2,1,0,0,0,,,,,,,,,,,,,,
78616,Sturm Graz,637,7591,Sandi Lovric,https://media.api-sports.io/football/players/7591.png,91,8,M,False,False,1,0,,,34,87%,1,0,3,1,0,0,0,,,,,,,,,,,,,,
78616,Sturm Graz,637,7588,Markus Lackner,https://media.api-sports.io/football/players/7588.png,59,6,M,False,False,0,0,,,23,92%,1,0,0,0,0,0,0,,,,,,,,,,,,,,
78616,Sturm Graz,637,7583,Stefan Hierländer,https://media.api-sports.io/football/players/7583.png,91,25,M,False,False,2,1,,,19,61%,0,1,3,0,0,0,0,,,,,,,,,,,,,,
78616,Sturm Graz,637,1430,Peter Zulj,https://media.api-sports.io/football/players/1430.png,91,10,M,False,False,1,1,,,31,70%,0,1,2,0,0,0,0,,,,,,,,,,,,,,
78616,Sturm Graz,637,7593,Emeka Eze,https://media.api-sports.io/football/players/7593.png,66,37,F,False,False,1,0,,,6,85%,0,2,2,0,0,0,0,,,,,,,,,,,,,,
78616,Sturm Graz,637,7595,Philipp Hosiner,https://media.api-sports.io/football/players/7595.png,45,16,F,False,False,1,0,,,9,75%,0,0,1,0,0,0,0,,,,,,,,,,,,,,
78616,Sturm Graz,637,7584,Philipp Huspek,https://media.api-sports.io/football/players/7584.png,25,18,M,False,False,0,0,,,10,90%,0,0,0,0,0,0,0,,,,,,,,,,,,,,
78616,Sturm Graz,637,7592,Raphael Obermair,https://media.api-sports.io/football/players/7592.png,32,33,M,False,False,1,0,,,9,100%,0,0,0,0,0,0,0,,,,,,,,,,,,,,
78616,Sturm Graz,637,7597,Markus Pink,https://media.api-sports.io/football/players/7597.png,46,14,F,False,False,1,1,,,3,60%,0,0,0,0,0,0,0,,,,,,,,,,,,,,
78616,Ajax,194,526,André Onana,https://media.api-sports.io/football/players/526.png,91,24,G,False,False,0,0,1.0,3.0,14,73%,0,0,0,0,0,0,0,0.0,,,,,,,,,,,,,
78616,Ajax,194,545,Noussair Mazraoui,https://media.api-sports.io/football/players/545.png,91,12,D,False,False,1,0,,,45,90%,2,6,2,0,0,0,0,,1.0,,,,,,,,,,,,
78616,Ajax,194,532,Matthijs De Ligt,https://media.api-sports.io/football/players/532.png,91,4,D,False,False,0,0,,,24,92%,0,1,0,0,0,0,0,,,,,,,,,,,,,,
78616,Ajax,194,538,Frenkie de Jong,https://media.api-sports.io/football/players/538.png,91,21,M,False,False,0,0,,,39,90%,1,1,0,0,0,0,0,,,,,,,,,,,,,,
78616,Ajax,194,529,Nicolás Tagliafico,https://media.api-sports.io/football/players/529.png,55,31,D,False,False,0,0,,,30,90%,2,0,1,1,0,0,0,,,,,,,,,,,,,,
78616,Ajax,194,546,Lasse Schöne,https://media.api-sports.io/football/players/546.png,91,20,M,False,False,1,0,,,57,96%,1,2,0,0,0,0,0,,,,,,,,,,,,,,
78616,Ajax,194,540,Carel Eiting,https://media.api-sports.io/football/players/540.png,75,15,M,False,False,1,0,,,31,86%,0,1,1,0,0,0,0,,,,,,,,,,,,,,
78616,Ajax,194,554,Dušan Tadić,https://media.api-sports.io/football/players/554.png,67,11,M,False,False,2,1,,,19,79%,0,2,1,0,0,0,0,,,1.0,,,,,,,,,,,
78616,Ajax,194,548,Hakim Ziyech,https://media.api-sports.io/football/players/548.png,91,10,M,False,False,2,0,,,54,79%,1,1,0,0,0,0,0,,,,,,,,,,,,,,
78616,Ajax,194,552,David Neres,https://media.api-sports.io/football/players/552.png,91,7,F,False,False,1,1,,,27,79%,1,0,4,0,0,0,0,,1.0,,,,,,,,,,,,
78616,Ajax,194,551,Klaas-Jan Huntelaar,https://media.api-sports.io/football/players/551.png,91,9,F,False,False,6,5,,,27,84%,0,1,0,0,0,0,0,,,2.0,,,,,,,,,,,
78616,Ajax,194,531,Daley Blind,https://media.api-sports.io/football/players/531.png,36,17,D,False,False,0,0,,,10,90%,0,0,0,0,0,0,0,,,,,,,,,,,,,,
78616,Ajax,194,2048,Maximilian Wöber,https://media.api-sports.io/football/players/2048.png,16,5,D,False,False,0,0,,,8,88%,0,0,1,0,0,0,0,,1.0,,,,,,,,,,,,
