fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,shots_total,shots_on,goals_conceded,goals_saves,passes_total,passes_key,passes_accuracy,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,tackles_total,dribbles_past,goals_total,goals_assists,offsides,penalty_commited,penalty_won
103,Arsenal,42,1462,Lucas Torreira,https://media.api-sports.io/football/players/1462.png,20,11,M,7.7,False,False,0,0,0.0,,26,1.0,100%,0,1,6.0,6.0,1.0,1.0,2,0,0,0,0,0,,3.0,,,1.0,,,
103,Arsenal,42,1469,Danny Welbeck,https://media.api-sports.io/football/players/1469.png,6,23,F,6.5,False,False,0,0,0.0,,4,0.0,100%,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,,,,,
104,Watford,38,18791,Ben Foster,https://media.api-sports.io/football/players/18791.png,90,26,G,6.2,False,False,0,0,1.0,2.0,6,0.0,20%,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,,,,,,,
104,Watford,38,18796,Daryl Janmaat,https://media.api-sports.io/football/players/18796.png,90,2,D,7.6,False,False,0,0,0.0,,21,3.0,75%,0,2,8.0,5.0,2.0,2.0,0,1,0,0,0,0,,1.0,1.0,,,,,
104,Watford,38,18793,Craig Cathcart,https://media.api-sports.io/football/players/18793.png,90,15,D,7.8,False,False,1,1,0.0,,10,0.0,50%,1,3,9.0,6.0,0.0,0.0,0,0,0,0,0,0,,2.0,,1.0,,,,
104,Watford,38,18797,Christian Kabasele,https://media.api-sports.io/football/players/18797.png,90,27,D,7.1,False,False,0,0,0.0,,10,0.0,66%,1,4,14.0,8.0,0.0,0.0,2,2,0,0,0,0,,,2.0,,,,,
104,Watford,38,18795,José Holebas,https://media.api-sports.io/football/players/18795.png,90,25,D,7.7,False,False,1,0,0.0,,22,2.0,75%,0,2,6.0,3.0,2.0,1.0,0,1,0,0,0,0,,2.0,1.0,,2.0,,,
104,Watford,38,18805,Abdoulaye Doucouré,https://media.api-sports.io/football/players/18805.png,90,16,M,6.3,False,False,0,0,0.0,,27,0.0,75%,0,0,9.0,4.0,1.0,1.0,0,1,0,0,0,0,,2.0,2.0,,,,,
104,Watford,38,18802,Étienne Capoue,https://media.api-sports.io/football/players/18802.png,90,29,M,7.1,False,False,0,0,0.0,,20,0.0,69%,0,5,12.0,7.0,0.0,0.0,0,1,1,0,0,0,,5.0,1.0,,,,,
104,Watford,38,18806,Will Hughes,https://media.api-sports.io/football/players/18806.png,86,19,M,7.1,False,False,0,0,0.0,,20,1.0,76%,0,3,9.0,5.0,0.0,0.0,3,1,0,0,0,0,,2.0,,,,,,
104,Watford,38,2475,Roberto Pereyra,https://media.api-sports.io/football/players/2475.png,89,37,M,6.1,False,False,1,0,0.0,,17,0.0,70%,0,1,10.0,3.0,8.0,3.0,0,0,0,0,0,0,,,1.0,,,1.0,,
104,Watford,38,18810,Andre Gray,https://media.api-sports.io/football/players/18810.png,70,18,F,6.6,False,False,1,0,0.0,,8,0.0,66%,0,0,7.0,3.0,0.0,0.0,2,0,0,0,0,0,,,,,,1.0,,
104,Watford,38,18808,Troy Deeney,https://media.api-sports.io/football/players/18808.png,90,9,F,7.4,True,False,3,2,0.0,,17,0.0,58%,0,1,24.0,12.0,2.0,1.0,1,0,0,0,0,0,,1.0,2.0,1.0,,,,
104,Watford,38,18798,Adrian Mariappa,https://media.api-sports.io/football/players/18798.png,1,6,D,–,False,True,0,0,0.0,,0,0.0,0%,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,,,,,
104,Watford,38,18803,Nathaniel Chalobah,https://media.api-sports.io/football/players/18803.png,4,14,M,6.5,False,True,0,0,0.0,,3,0.0,100%,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,,,,,
