feature,importance
away_gd_5,0.13215459787601108
ft_ht_swing_rolling_5,0.1234142635297536
ht_lead_difference_rolling_5,0.10729304385590044
away_defensive_efficiency_rolling_5,0.05929018028191065
away_xg_performance_rolling_5,0.05543115463087268
home_gd_5,0.053268386913903176
home_defensive_efficiency_rolling_5,0.04926304077308915
home_xg_performance_rolling_5,0.04660225466064852
away_gf_5,0.03466210734799157
home_clean_sheet_rolling_5,0.030807836940548373
away_ga_5,0.02943210937362158
away_clean_sheet_rolling_5,0.027744134901910727
home_gf_5,0.02672953538228285
home_ga_5,0.023961963034670183
away_shot_efficiency_rolling_5,0.0180845672022015
home_shot_efficiency_rolling_5,0.016235458323034017
home_xg_efficiency_rolling_5,0.01287038879969728
away_xg_efficiency_rolling_5,0.010345491402985086
home_comeback_win_rolling_5,0.009835400350827164
away_comeback_win_rolling_5,0.009269411575061148
home_lost_lead_rolling_5,0.008723732097878191
away_save_percentage_rolling_5,0.007890918674607816
away_lost_lead_rolling_5,0.007791904940211228
home_corner_efficiency_rolling_5,0.006873844153523268
away_rank,0.006084042940520736
home_rank,0.004441457769664727
possession_difference_rolling_5,0.004118891624217176
away_consistency,0.003893971359091771
home_press_resistance_rolling_5,0.00384005570989194
home_save_percentage_rolling_5,0.0034274240442283108
away_shot_accuracy_rolling_5,0.0030677593443717253
home_consistency,0.003021045715773378
home_possession_efficiency_rolling_5,0.002987862950927661
away_corner_efficiency_rolling_5,0.0029089136197431734
h2h_goal_diff,0.002846860859528604
home_shot_accuracy_rolling_5,0.0028444419380074877
home_shot_quality_rolling_5,0.0028223387606981574
home_points,0.0027078783103986707
away_pass_accuracy_rolling_5,0.002587624760043139
away_possession_efficiency_rolling_5,0.0025442462583168744
away_form_strength,0.002502367532192515
away_points,0.0023655672908217042
h2h_streak,0.0021747983346033974
home_wins,0.002107907945509665
away_match_density,0.0017047698823283938
home_ppg_5,0.0016924669477386969
home_box_ratio_rolling_5,0.0015900616358787492
away_pressing_intensity_rolling_5,0.0014644665135738174
away_longrange_threat_rolling_5,0.001418086780582658
home_played,0.0013647231518420647
home_match_density,0.0013033550355948994
away_losses,0.001291406603237185
away_press_resistance_rolling_5,0.0012895376146597162
home_losses,0.0012195340720152783
xg_difference_rolling_5,0.0012061581895716203
home_draws,0.0011475118136550046
home_rest_ratio,0.0011452068225637482
away_offside_per_attempt_rolling_5,0.001128049086517951
away_clearance_efficiency_rolling_5,0.0010562454353607545
away_draws,0.001053239525756639
rest_difference_rolling_5,0.0010478125449045101
home_offside_per_attempt_rolling_5,0.001009798187081858
discipline_difference_rolling_5,0.0008831231917140265
home_pressing_intensity_rolling_5,0.0007589802005518775
h2h_loss_streak,0.0007464883491034013
away_days_rest,0.0007322575432618691
home_clearance_efficiency_rolling_5,0.0007149701008651731
home_days_rest,0.0006620132414864903
away_defensive_pressure_rolling_5,0.0006593379278863332
away_momentum,0.0004392155105749142
