fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_assists,goals_saves,passes_total,passes_accuracy,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,tackles_total,tackles_interceptions,duels_total,duels_won,fouls_committed,penalty_commited,fouls_drawn,penalty_won,passes_key,dribbles_attempts,dribbles_success,tackles_blocks,dribbles_past,shots_total,shots_on,goals_total,offsides
1250509,PAOK,619,91215,Antonis Tsiftsis,https://media.api-sports.io/football/players/91215.png,90.0,99,G,6.6,False,False,2,0.0,3.0,27.0,20,0,0,0,0,0.0,,,,,,,,,,,,,,,,,
1250509,PAOK,619,2378,Vieirinha,https://media.api-sports.io/football/players/2378.png,45.0,20,D,6.5,True,False,0,0.0,,26.0,20,0,0,0,0,,2.0,2.0,5.0,3.0,2.0,1.0,,,,,,,,,,,
1250509,PAOK,619,2164,Tomasz Kędziora,https://media.api-sports.io/football/players/2164.png,90.0,16,D,7.2,False,False,0,0.0,,67.0,55,0,0,0,0,,,2.0,4.0,3.0,1.0,,1.0,1.0,,,,,,,,,
1250509,PAOK,619,39111,Ivan Näsberg,https://media.api-sports.io/football/players/39111.png,90.0,3,D,6.9,False,False,0,0.0,,60.0,56,0,0,0,0,,2.0,1.0,6.0,4.0,1.0,,,,,,,,,,,,
1250509,PAOK,619,41149,Rafa Soares,https://media.api-sports.io/football/players/41149.png,90.0,55,D,6.6,False,False,0,0.0,,43.0,36,0,0,0,0,,,1.0,3.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,
1250509,PAOK,619,579,Andrija Živković,https://media.api-sports.io/football/players/579.png,90.0,14,M,7.9,False,False,0,0.0,,37.0,31,0,0,0,0,,,,7.0,3.0,2.0,,1.0,,4.0,2.0,2.0,1.0,1.0,,,,
1250509,PAOK,619,1217,Magomed Ozdoev,https://media.api-sports.io/football/players/1217.png,71.0,27,M,7.7,False,False,0,0.0,,34.0,32,1,0,0,0,,1.0,3.0,6.0,2.0,2.0,,1.0,,2.0,,,1.0,,1.0,1.0,1.0,
1250509,PAOK,619,1729,Stefan Schwab,https://media.api-sports.io/football/players/1729.png,89.0,22,M,8.2,False,False,0,0.0,,69.0,62,0,0,2,0,,2.0,2.0,7.0,3.0,1.0,,,,1.0,2.0,,,,2.0,2.0,2.0,
1250509,PAOK,619,1727,Thomas Murg,https://media.api-sports.io/football/players/1727.png,76.0,10,M,6.6,False,False,0,0.0,,27.0,25,0,0,0,0,,,,4.0,,1.0,,,,,,,,,3.0,2.0,,
1250509,PAOK,619,843,Fedor Chalov,https://media.api-sports.io/football/players/843.png,71.0,9,F,6.7,False,False,0,0.0,,14.0,12,0,0,0,0,,,,8.0,3.0,1.0,,2.0,1.0,3.0,2.0,,,,3.0,1.0,,
1250509,PAOK,619,162410,Giannis Konstantelias,https://media.api-sports.io/football/players/162410.png,90.0,7,F,7.3,False,False,0,0.0,,53.0,48,0,0,0,0,,3.0,1.0,8.0,6.0,,,1.0,,,3.0,2.0,,1.0,1.0,1.0,,
1250509,PAOK,619,46737,Joan Sastre,https://media.api-sports.io/football/players/46737.png,45.0,23,D,6.7,False,True,0,0.0,,18.0,15,0,0,0,0,,2.0,,2.0,2.0,,,,,1.0,,,,,1.0,,,
1250509,PAOK,619,1604,Mady Camara,https://media.api-sports.io/football/players/1604.png,19.0,2,M,6.6,False,True,0,0.0,,9.0,9,0,0,0,0,,1.0,,2.0,1.0,,,,,,,,,,1.0,,,
1250509,PAOK,619,8918,Tarik Tissoudali,https://media.api-sports.io/football/players/8918.png,19.0,34,F,6.2,False,True,0,0.0,,3.0,3,0,0,0,0,,,,8.0,1.0,,,1.0,,1.0,2.0,,,,,,,
1250509,PAOK,619,30571,Kiril Despodov,https://media.api-sports.io/football/players/30571.png,14.0,77,F,6.6,False,True,0,0.0,,4.0,3,0,0,0,0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
1250509,PAOK,619,26862,Konstantinos Thymianis,https://media.api-sports.io/football/players/26862.png,1.0,25,D,,False,True,0,0.0,,3.0,3,0,0,0,0,,,,2.0,1.0,,,1.0,,,,,,1.0,,,,
1250509,PAOK,619,162228,Christos Talichmanidis,https://media.api-sports.io/football/players/162228.png,,64,G,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1250509,PAOK,619,162409,Konstantinos Koulierakis,https://media.api-sports.io/football/players/162409.png,,4,D,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1250509,PAOK,619,46670,Brandon Thomas,https://media.api-sports.io/football/players/46670.png,,71,F,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1250509,PAOK,619,163054,Shola Shoretire,https://media.api-sports.io/football/players/163054.png,,47,F,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1250509,Panserraikos,2099,24665,Luka Gugeshashvili,https://media.api-sports.io/football/players/24665.png,90.0,23,G,7,False,False,3,0.0,4.0,30.0,13,0,0,0,0,0.0,,,1.0,1.0,,,,,,,,,,,,,
1250509,Panserraikos,2099,26891,Panagiotis Deligiannidis,https://media.api-sports.io/football/players/26891.png,90.0,64,D,7.2,False,False,0,0.0,,25.0,22,0,0,0,0,,1.0,3.0,7.0,6.0,,,2.0,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,
