fixture_id,bet_name,bet_value,bet_odd
1388311,Goals Over/Under,Under 2.5,2.50
1388311,Goals Over/Under,Over 3.5,2.30
1388311,Goals Over/Under,Under 3.5,1.62
1388311,Goals Over/Under,Over 0.5,1.02
1388311,Goals Over/Under,Under 0.5,17.00
1388311,Goals Over/Under,Over 8.5,51.00
1388311,Goals Over/Under,Under 8.5,1.00
1388311,Goals Over/Under,Over 4.5,4.00
1388311,Goals Over/Under,Under 4.5,1.25
1388311,Goals Over/Under,Over 7.5,29.00
1388311,Goals Over/Under,Under 7.5,1.01
1388311,Goals Over/Under,Over 5.5,7.00
1388311,Goals Over/Under,Under 5.5,1.10
1388311,Goals Over/Under,Over 6.5,15.00
1388311,Goals Over/Under,Under 6.5,1.03
1388311,HT/FT Double,Home/Draw,13.00
1388311,HT/FT Double,Home/Away,34.00
1388311,HT/FT Double,Draw/Away,11.00
1388311,HT/FT Double,Draw/Draw,7.00
1388311,HT/FT Double,Home/Home,2.50
1388311,HT/FT Double,Draw/Home,4.75
1388311,HT/FT Double,Away/Home,19.00
1388311,HT/FT Double,Away/Draw,15.00
1388311,HT/FT Double,Away/Away,8.00
1388311,Double Chance,Home/Draw,1.17
1388311,Double Chance,Home/Away,1.22
1388311,Double Chance,Draw/Away,2.25
1388311,First Half Winner,Home,2.10
1388311,First Half Winner,Draw,2.50
1388311,First Half Winner,Away,4.75
1388313,Match Winner,Home,2.62
1388313,Match Winner,Draw,3.40
1388313,Match Winner,Away,2.60
1388313,Second Half Winner,Home,2.75
1388313,Second Half Winner,Draw,2.50
1388313,Second Half Winner,Away,2.75
1388313,Goals Over/Under,Over 1.5,1.22
1388313,Goals Over/Under,Under 1.5,4.33
1388313,Goals Over/Under,Over 2.5,1.73
1388313,Goals Over/Under,Under 2.5,2.10
1388313,Goals Over/Under,Over 3.5,2.75
1388313,Goals Over/Under,Under 3.5,1.44
1388313,Goals Over/Under,Over 0.5,1.04
1388313,Goals Over/Under,Under 0.5,13.00
1388313,Goals Over/Under,Over 4.5,5.00
1388313,Goals Over/Under,Under 4.5,1.17
1388313,Goals Over/Under,Over 7.5,41.00
1388313,Goals Over/Under,Under 7.5,1.00
1388313,Goals Over/Under,Over 5.5,10.00
1388313,Goals Over/Under,Under 5.5,1.06
1388313,Goals Over/Under,Over 6.5,21.00
1388313,Goals Over/Under,Under 6.5,1.01
1388313,HT/FT Double,Home/Draw,13.00
1388313,HT/FT Double,Home/Away,23.00
1388313,HT/FT Double,Draw/Away,6.50
1388313,HT/FT Double,Draw/Draw,5.50
1388313,HT/FT Double,Home/Home,4.33
1388313,HT/FT Double,Draw/Home,6.50
1388313,HT/FT Double,Away/Home,26.00
1388313,HT/FT Double,Away/Draw,13.00
1388313,HT/FT Double,Away/Away,4.00
1388313,Double Chance,Home/Draw,1.50
1388313,Double Chance,Home/Away,1.30
1388313,Double Chance,Draw/Away,1.44
1388313,First Half Winner,Home,3.10
1388313,First Half Winner,Draw,2.30
1388313,First Half Winner,Away,3.10
1388316,Match Winner,Home,3.75
1388316,Match Winner,Draw,3.80
1388316,Match Winner,Away,1.91
1388316,Second Half Winner,Home,3.40
1388316,Second Half Winner,Draw,2.62
1388316,Second Half Winner,Away,2.25
1388316,Goals Over/Under,Over 1.5,1.20
1388316,Goals Over/Under,Under 1.5,4.50
1388316,Goals Over/Under,Over 2.5,1.67
1388316,Goals Over/Under,Under 2.5,2.20
1388316,Goals Over/Under,Over 3.5,2.62
1388316,Goals Over/Under,Under 3.5,1.50
1388316,Goals Over/Under,Over 0.5,1.03
1388316,Goals Over/Under,Under 0.5,15.00
1388316,Goals Over/Under,Over 4.5,4.50
1388316,Goals Over/Under,Under 4.5,1.20
1388316,Goals Over/Under,Over 7.5,34.00
1388316,Goals Over/Under,Under 7.5,1.00
1388316,Goals Over/Under,Over 5.5,9.00
1388316,Goals Over/Under,Under 5.5,1.07
1388316,Goals Over/Under,Over 6.5,19.00
1388316,Goals Over/Under,Under 6.5,1.02
1388316,HT/FT Double,Home/Draw,15.00
1388316,HT/FT Double,Home/Away,21.00
1388316,HT/FT Double,Draw/Away,5.00
1388316,HT/FT Double,Draw/Draw,6.00
1388316,HT/FT Double,Home/Home,6.00
1388316,HT/FT Double,Draw/Home,8.50
1388316,HT/FT Double,Away/Home,29.00
1388316,HT/FT Double,Away/Draw,13.00
1388316,HT/FT Double,Away/Away,3.00
1388316,Double Chance,Home/Draw,1.83
1388316,Double Chance,Home/Away,1.25
1388316,Double Chance,Draw/Away,1.25
1388316,First Half Winner,Home,4.00
1388316,First Half Winner,Draw,2.38
1388316,First Half Winner,Away,2.40
1388315,Match Winner,Home,4.20
1388315,Match Winner,Draw,3.60
1388315,Match Winner,Away,1.90
1388315,Second Half Winner,Home,3.75
1388315,Second Half Winner,Draw,2.50
1388315,Second Half Winner,Away,2.20
1388315,Goals Over/Under,Over 1.5,1.25
1388315,Goals Over/Under,Under 1.5,4.00
1388315,Goals Over/Under,Over 2.5,1.80
1388315,Goals Over/Under,Under 2.5,2.00
1388315,Goals Over/Under,Over 3.5,3.00
1388315,Goals Over/Under,Under 3.5,1.40
1388315,Goals Over/Under,Over 0.5,1.04
1388315,Goals Over/Under,Under 0.5,12.00
1388315,Goals Over/Under,Over 4.5,5.50
1388315,Goals Over/Under,Under 4.5,1.14
1388315,Goals Over/Under,Over 7.5,51.00
1388315,Goals Over/Under,Under 7.5,1.00
1388315,Goals Over/Under,Over 5.5,11.00
1388315,Goals Over/Under,Under 5.5,1.05
1388315,Goals Over/Under,Over 6.5,23.00
1388315,Goals Over/Under,Under 6.5,1.01
1388315,HT/FT Double,Home/Draw,15.00
1388315,HT/FT Double,Home/Away,21.00
1388315,HT/FT Double,Draw/Away,5.00
1388315,HT/FT Double,Draw/Draw,6.00
1388315,HT/FT Double,Home/Home,6.50
1388315,HT/FT Double,Draw/Home,8.50
1388315,HT/FT Double,Away/Home,34.00
1388315,HT/FT Double,Away/Draw,13.00
1388315,HT/FT Double,Away/Away,3.00
1388315,Double Chance,Home/Draw,1.91
1388315,Double Chance,Home/Away,1.28
1388315,Double Chance,Draw/Away,1.22
1388315,First Half Winner,Home,4.33
1388315,First Half Winner,Draw,2.30
1388315,First Half Winner,Away,2.50
1388314,Match Winner,Home,1.91
1388314,Match Winner,Draw,3.60
1388314,Match Winner,Away,3.75
1388314,Second Half Winner,Home,2.25
1388314,Second Half Winner,Draw,2.50
1388314,Second Half Winner,Away,3.60
1388314,Goals Over/Under,Over 1.5,1.25
1388314,Goals Over/Under,Under 1.5,4.00
1388314,Goals Over/Under,Over 2.5,1.80
1388314,Goals Over/Under,Under 2.5,2.00
1388314,Goals Over/Under,Over 3.5,3.00
1388314,Goals Over/Under,Under 3.5,1.40
1388314,Goals Over/Under,Over 0.5,1.05
1388314,Goals Over/Under,Under 0.5,11.00
1388314,Goals Over/Under,Over 4.5,5.50
1388314,Goals Over/Under,Under 4.5,1.14
1388314,Goals Over/Under,Over 7.5,51.00
1388314,Goals Over/Under,Under 7.5,1.00
1388314,Goals Over/Under,Over 5.5,11.00
1388314,Goals Over/Under,Under 5.5,1.05
1388314,Goals Over/Under,Over 6.5,23.00
1388314,Goals Over/Under,Under 6.5,1.01
1388314,HT/FT Double,Home/Draw,13.00
1388314,HT/FT Double,Home/Away,29.00
1388314,HT/FT Double,Draw/Away,8.50
1388314,HT/FT Double,Draw/Draw,5.50
1388314,HT/FT Double,Home/Home,3.10
1388314,HT/FT Double,Draw/Home,5.00
1388314,HT/FT Double,Away/Home,21.00
1388314,HT/FT Double,Away/Draw,15.00
1388314,HT/FT Double,Away/Away,6.00
1388314,Double Chance,Home/Draw,1.25
1388314,Double Chance,Home/Away,1.28
1388314,Double Chance,Draw/Away,1.83
1388314,First Half Winner,Home,2.50
1388314,First Half Winner,Draw,2.25
1388314,First Half Winner,Away,4.33
1388310,Match Winner,Home,1.83
1388310,Match Winner,Draw,3.90
1388310,Match Winner,Away,3.90
1388310,Second Half Winner,Home,2.10
1388310,Second Half Winner,Draw,2.75
1388310,Second Half Winner,Away,3.60
1388310,Goals Over/Under,Over 1.5,1.17
1388310,Goals Over/Under,Under 1.5,5.00
1388310,Goals Over/Under,Over 2.5,1.57
1388310,Goals Over/Under,Under 2.5,2.38
1388310,Goals Over/Under,Over 3.5,2.30
1388310,Goals Over/Under,Under 3.5,1.62
