rank,team_id,team_name,team_logo,points,goals_diff,group,form,status,description,played,wins,draws,losses,goals_for,goals_against,home_played,home_wins,home_draws,home_losses,home_goals_for,home_goals_against,away_played,away_wins,away_draws,away_losses,away_goals_for,away_goals_against
1,496,Juventus,https://media.api-sports.io/football/teams/496.png,95,62,Serie A,WDWWL,same,,38,30,5,3,86,24,19,16,1,2,45,8,19,14,4,1,41,16
2,492,Napoli,https://media.api-sports.io/football/teams/492.png,91,48,Serie A,WWDLW,same,,38,28,7,3,77,29,19,14,3,2,43,18,19,14,4,1,34,11
3,497,AS Roma,https://media.api-sports.io/football/teams/497.png,77,33,Serie A,WDWWW,same,,38,23,8,7,61,28,19,11,2,6,31,19,19,12,6,1,30,9
4,505,Inter,https://media.api-sports.io/football/teams/505.png,72,36,Serie A,WLWLW,same,,38,20,12,6,66,30,19,11,5,3,37,16,19,9,7,3,29,14
5,487,Lazio,https://media.api-sports.io/football/teams/487.png,72,40,Serie A,LDDWW,same,,38,21,9,8,89,49,19,9,5,5,45,21,19,12,4,3,44,28
6,489,AC Milan,https://media.api-sports.io/football/teams/489.png,64,14,Serie A,WDWWL,same,,38,18,10,10,56,42,19,10,5,4,25,16,19,8,5,6,31,26
7,499,Atalanta,https://media.api-sports.io/football/teams/499.png,60,18,Serie A,LDDWW,same,,38,16,12,10,57,39,19,9,6,4,30,18,19,7,6,6,27,21
8,502,Fiorentina,https://media.api-sports.io/football/teams/502.png,57,8,Serie A,LLWWL,same,,38,16,9,13,54,46,19,8,5,6,27,22,19,8,4,7,27,24
9,503,Torino,https://media.api-sports.io/football/teams/503.png,54,8,Serie A,WWDLL,same,,38,13,15,10,54,46,19,8,6,5,29,18,19,5,9,5,25,28
10,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,54,-4,Serie A,LLLWL,same,,38,16,6,16,56,60,19,12,3,4,36,20,19,4,3,12,20,40
11,488,Sassuolo,https://media.api-sports.io/football/teams/488.png,43,-30,Serie A,LWWLW,same,,38,11,10,17,29,59,19,4,7,8,11,22,19,7,3,9,18,37
12,495,Genoa,https://media.api-sports.io/football/teams/495.png,41,-10,Serie A,LLLLW,same,,38,11,8,19,33,43,19,6,3,10,23,27,19,5,5,9,10,16
13,491,Chievo,https://media.api-sports.io/football/teams/491.png,40,-23,Serie A,WWWLL,same,,38,10,10,18,36,59,19,7,6,6,22,24,19,3,4,12,14,35
14,494,Udinese,https://media.api-sports.io/football/teams/494.png,40,-15,Serie A,WWLDL,same,,38,12,4,22,48,63,19,6,2,11,24,30,19,6,2,11,24,33
15,500,Bologna,https://media.api-sports.io/football/teams/500.png,39,-12,Serie A,LLLLD,same,,38,11,6,21,40,52,19,6,4,9,25,26,19,5,2,12,15,26
16,490,Cagliari,https://media.api-sports.io/football/teams/490.png,39,-28,Serie A,WWLLD,same,,38,11,6,21,33,61,19,6,3,10,18,30,19,5,3,11,15,31
17,493,Spal,https://media.api-sports.io/football/teams/493.png,38,-20,Serie A,WLWWL,same,,38,8,14,16,39,59,19,5,8,6,22,29,19,3,6,10,17,30
18,501,Crotone,https://media.api-sports.io/football/teams/501.png,35,-26,Serie A,LDLWW,same,,38,9,8,21,40,66,19,6,6,7,23,25,19,3,2,14,17,41
19,504,Verona,https://media.api-sports.io/football/teams/504.png,25,-48,Serie A,LLLLL,same,,38,7,4,27,30,78,19,5,1,13,14,35,19,2,3,14,16,43
20,506,Benevento,https://media.api-sports.io/football/teams/506.png,21,-51,Serie A,LWLDW,same,,38,6,3,29,33,84,19,5,2,12,23,40,19,1,1,17,10,44
