fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,shots_total,shots_on,goals_conceded,goals_saves,passes_total,passes_key,passes_accuracy,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,tackles_total,dribbles_past,offsides,goals_total,goals_assists,penalty_won,penalty_commited
571475,Nantes,83,93671,Pedro Chirivella,https://media.api-sports.io/football/players/93671.png,90.0,5,M,6.7,False,False,1.0,0.0,0,,74.0,0.0,90%,0.0,1.0,11.0,3.0,0.0,0.0,1.0,4.0,1,0,0,0,,2.0,2.0,,,,,
571475,Nantes,83,2781,Moses Simon,https://media.api-sports.io/football/players/2781.png,90.0,27,M,7.0,False,False,1.0,1.0,0,,35.0,1.0,81%,0.0,1.0,6.0,3.0,4.0,3.0,0.0,0.0,0,0,0,0,,,1.0,,,,,
571475,Nantes,83,3344,Kalifa Coulibaly,https://media.api-sports.io/football/players/3344.png,67.0,7,F,6.3,False,False,0.0,0.0,0,,7.0,0.0,77%,0.0,0.0,8.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0,,,,2.0,,,,
571475,Nantes,83,21101,Samuel Moutoussamy,https://media.api-sports.io/football/players/21101.png,83.0,18,F,6.6,False,False,2.0,0.0,0,,26.0,0.0,96%,0.0,0.0,6.0,1.0,0.0,0.0,1.0,2.0,0,0,0,0,,,1.0,,,,,
571475,Nantes,83,1407,Dennis Appiah,https://media.api-sports.io/football/players/1407.png,8.0,12,D,6.5,False,False,0.0,0.0,0,,4.0,0.0,57%,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,
571475,Nantes,83,21497,Ludovic Blas,https://media.api-sports.io/football/players/21497.png,1.0,10,M,–,False,False,0.0,0.0,0,,3.0,0.0,75%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,
571475,Nantes,83,21498,Marcus Coco,https://media.api-sports.io/football/players/21498.png,13.0,11,F,6.4,False,False,0.0,0.0,0,,2.0,0.0,66%,0.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0,,,1.0,,,,,
571475,Nantes,83,24157,Bridge Ndilu,https://media.api-sports.io/football/players/24157.png,23.0,22,F,6.4,False,False,0.0,0.0,0,,2.0,0.0,33%,0.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,1,0,0,0,,,,1.0,,,,
571474,Dijon,89,2985,Alfred Gomis,https://media.api-sports.io/football/players/2985.png,90.0,16,G,7.0,False,False,0.0,0.0,1,3.0,21.0,0.0,87%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,,,,,,,
571474,Dijon,89,167650,Ahmad Toure Ngouyamsa,https://media.api-sports.io/football/players/167650.png,90.0,19,D,7.0,False,False,0.0,0.0,0,,39.0,0.0,88%,1.0,0.0,12.0,6.0,1.0,1.0,1.0,3.0,0,0,0,0,,2.0,,,,,,
