fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_assists,goals_saves,passes_total,passes_accuracy,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,tackles_total,duels_total,duels_won,dribbles_attempts,fouls_drawn,passes_key,tackles_blocks,dribbles_past,fouls_committed,penalty_commited,shots_total,shots_on,goals_total,tackles_interceptions,dribbles_success,offsides,penalty_won
1223975,Bayer Leverkusen,168,1464,Granit Xhaka,https://media.api-sports.io/football/players/1464.png,90.0,34,M,8.5,False,False,0,0.0,,104.0,98,0,0,0,0,,,4.0,2.0,1.0,1.0,5.0,,,,,2.0,1.0,1.0,1.0,,,
1223975,Bayer Leverkusen,168,24903,Robert Andrich,https://media.api-sports.io/football/players/24903.png,82.0,8,M,7,False,False,0,0.0,,55.0,46,0,0,0,0,,2.0,11.0,7.0,,2.0,1.0,,,3.0,,,,,,,,
1223975,Bayer Leverkusen,168,563,Alejandro Grimaldo,https://media.api-sports.io/football/players/563.png,90.0,20,M,7.2,False,False,0,0.0,,40.0,35,0,0,0,0,,,5.0,2.0,1.0,1.0,4.0,1.0,,,,3.0,1.0,,,,,
1223975,Bayer Leverkusen,168,25635,Jonas Hofmann,https://media.api-sports.io/football/players/25635.png,65.0,7,F,6.9,False,False,0,0.0,,35.0,29,0,0,0,0,,,2.0,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,
1223975,Bayer Leverkusen,168,203224,Florian Wirtz,https://media.api-sports.io/football/players/203224.png,90.0,10,F,8.7,False,False,0,0.0,,63.0,47,0,0,0,1,,4.0,9.0,5.0,3.0,1.0,3.0,,1.0,,,3.0,3.0,2.0,,,,
1223975,Bayer Leverkusen,168,39071,Victor Okoh Boniface,https://media.api-sports.io/football/players/39071.png,82.0,22,F,6.9,False,False,0,0.0,,10.0,6,0,0,0,0,,,13.0,4.0,3.0,,2.0,,,1.0,,3.0,,,,2.0,,
1223975,Bayer Leverkusen,168,663,Martin Terrier,https://media.api-sports.io/football/players/663.png,25.0,11,F,6.6,False,True,0,0.0,,12.0,11,0,0,0,0,,,2.0,,,,,,,,,1.0,1.0,,,,,
1223975,Bayer Leverkusen,168,47516,Aleix García,https://media.api-sports.io/football/players/47516.png,8.0,24,M,6.7,False,True,0,0.0,,26.0,24,0,0,0,0,,,,,,,,,,,,,,,,,,
1223975,Bayer Leverkusen,168,129682,Amine Adli,https://media.api-sports.io/football/players/129682.png,8.0,21,F,7.5,False,True,0,0.0,,7.0,6,0,0,0,0,,1.0,5.0,4.0,1.0,2.0,,,,,,,,,,,,1.0
1223975,Bayer Leverkusen,168,138804,Matej Kovar,https://media.api-sports.io/football/players/138804.png,,17,G,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
