fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,passes_total,passes_accuracy,duels_total,fouls_committed,cards_yellow,cards_red,penalty_commited,penalty_scored,penalty_missed,penalty_saved,shots_total,shots_on,passes_key,tackles_total,tackles_interceptions,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,dribbles_past,goals_total,penalty_won,goals_assists,goals_saves,tackles_blocks,offsides
871820,Ajaccio,98,20960,Mohamed Youssouf,https://media.api-sports.io/football/players/20960.png,90.0,20,D,5.6,False,False,0,29.0,22,5.0,,0,0,,0,0,,,,,1.0,4.0,1.0,1.0,,,1.0,,,,,,
871820,Ajaccio,98,21761,Oumar Gonzalez,https://media.api-sports.io/football/players/21761.png,90.0,25,D,5.9,False,False,0,46.0,41,7.0,2.0,0,0,,0,0,,,,,1.0,3.0,2.0,,,,1.0,,,,,,
871820,Ajaccio,98,21575,Clement Vidal,https://media.api-sports.io/football/players/21575.png,90.0,15,D,5.7,False,False,0,40.0,31,10.0,1.0,1,0,,0,0,,1.0,,,1.0,1.0,5.0,,,1.0,3.0,,,,,,
871820,Ajaccio,98,21695,Mickaël Alphonse,https://media.api-sports.io/football/players/21695.png,63.0,2,D,5.3,False,False,0,18.0,15,7.0,1.0,0,1,,0,0,,,,,2.0,1.0,4.0,,,1.0,1.0,,,,,,
871820,Ajaccio,98,135272,Kevin Spadanuda,https://media.api-sports.io/football/players/135272.png,65.0,27,M,6.2,False,False,0,12.0,8,10.0,,0,0,,0,0,,,,,2.0,,5.0,2.0,1.0,1.0,1.0,,,,,,
871820,Ajaccio,98,20858,Mickaël Barreto,https://media.api-sports.io/football/players/20858.png,81.0,4,M,6.2,False,False,0,53.0,45,7.0,,0,0,,0,0,,1.0,,,1.0,1.0,3.0,4.0,1.0,1.0,1.0,,,,,,
871820,Ajaccio,98,20951,Mathieu Coutadeur,https://media.api-sports.io/football/players/20951.png,90.0,6,M,6,True,False,0,57.0,48,6.0,,0,0,,0,0,,,,,1.0,1.0,2.0,,,1.0,4.0,,,,,,
871820,Ajaccio,98,356191,Ivane Chegra,https://media.api-sports.io/football/players/356191.png,45.0,38,M,6.3,False,False,0,11.0,5,11.0,,0,0,,0,0,,,,,2.0,,7.0,2.0,1.0,3.0,2.0,,,,,,1.0
871820,Ajaccio,98,20961,Mounaim El Idrissy,https://media.api-sports.io/football/players/20961.png,89.0,7,F,6.7,False,False,0,18.0,14,16.0,3.0,0,0,,0,0,,,,,1.0,,8.0,1.0,1.0,2.0,1.0,,,,,,
871820,Ajaccio,98,384808,Moussa Soumano,https://media.api-sports.io/football/players/384808.png,45.0,34,F,6.2,False,False,0,7.0,6,4.0,,0,0,,0,0,,,,,,,1.0,1.0,,,,,,,,,1.0
871820,Ajaccio,98,20955,Riad Nouri,https://media.api-sports.io/football/players/20955.png,45.0,5,M,6.2,False,True,0,20.0,12,7.0,,0,0,,0,0,,,,,1.0,,3.0,,,2.0,2.0,,,,,,
871820,Ajaccio,98,354845,Ben Touré,https://media.api-sports.io/football/players/354845.png,45.0,33,F,6.3,False,True,0,8.0,7,8.0,1.0,0,0,,0,0,,,,,2.0,,3.0,,,1.0,2.0,,,,,,
871820,Ajaccio,98,370042,Tony Strata,https://media.api-sports.io/football/players/370042.png,25.0,31,D,6.7,False,True,0,9.0,9,1.0,,0,0,,0,0,,,,,1.0,1.0,1.0,,,,,,,,,,
871820,Ajaccio,98,345489,Mehdi Puch-Herrantz,https://media.api-sports.io/football/players/345489.png,9.0,37,M,6.7,False,True,0,6.0,5,,,0,0,,0,0,,,,,,1.0,,,,,,,,,,,
871820,Ajaccio,98,353825,Anthony Khelifa,https://media.api-sports.io/football/players/353825.png,1.0,35,D,,False,True,0,,,,,0,0,,0,0,,,,,,,,,,,,,,,,,
