fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_saves,passes_total,passes_accuracy,tackles_interceptions,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,shots_total,duels_total,duels_won,dribbles_past,tackles_total,fouls_drawn,passes_key,dribbles_attempts,dribbles_success,fouls_committed,penalty_commited,tackles_blocks,offsides,shots_on,goals_total,penalty_won,goals_assists
839880,AC Milan,489,2295,Olivier Giroud,https://media.api-sports.io/football/players/2295.png,90.0,9,F,7.2,False,False,0,,12.0,10,,0,0,0,0,,2.0,12.0,7.0,,,2.0,3.0,2.0,1.0,1.0,,,,,,,
839880,AC Milan,489,765,Antonio Mirante,https://media.api-sports.io/football/players/765.png,,83,G,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
839880,AC Milan,489,21081,Ciprian Tătărușanu,https://media.api-sports.io/football/players/21081.png,,1,G,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
839880,AC Milan,489,56473,Matteo Gabbia,https://media.api-sports.io/football/players/56473.png,17.0,46,D,6.3,False,True,0,,14.0,11,2.0,0,0,0,0,,,4.0,2.0,,,,,,,1.0,,,,,,,
839880,AC Milan,489,105,Fodé Ballo-Touré,https://media.api-sports.io/football/players/105.png,,5,D,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
839880,AC Milan,489,1641,Samu Castillejo,https://media.api-sports.io/football/players/1641.png,,7,M,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
839880,AC Milan,489,1635,Tiemoué Bakayoko,https://media.api-sports.io/football/players/1635.png,,41,M,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
839880,AC Milan,489,744,Brahim Díaz,https://media.api-sports.io/football/players/744.png,45.0,10,M,6.6,False,True,0,,24.0,21,1.0,0,0,0,0,,,7.0,4.0,,1.0,2.0,2.0,2.0,1.0,1.0,,,,,,,
839880,AC Milan,489,31054,Rade Krunić,https://media.api-sports.io/football/players/31054.png,17.0,33,M,6.9,False,True,0,,4.0,3,1.0,0,0,0,0,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,
839880,AC Milan,489,56396,Junior Messias,https://media.api-sports.io/football/players/56396.png,45.0,30,F,6.9,False,True,0,,10.0,7,1.0,0,0,0,0,,3.0,4.0,1.0,1.0,,,,,,,,,,1.0,,,
839880,AC Milan,489,1831,Ante Rebić,https://media.api-sports.io/football/players/1831.png,,12,F,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
839880,AC Milan,489,162045,Marko Lazetić,https://media.api-sports.io/football/players/162045.png,11.0,22,F,6.3,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
839882,Juventus,496,849,Mattia Perin,https://media.api-sports.io/football/players/849.png,90.0,36,G,8.3,False,False,0,5.0,38.0,23,,0,0,0,0,0.0,,1.0,1.0,,,1.0,,,,,,,,,,,
839882,Juventus,496,858,Mattia De Sciglio,https://media.api-sports.io/football/players/858.png,79.0,2,D,6.9,False,False,0,,25.0,18,1.0,1,0,0,0,,,8.0,5.0,1.0,2.0,,,1.0,,1.0,,,,,,,
839882,Juventus,496,853,Leonardo Bonucci,https://media.api-sports.io/football/players/853.png,90.0,19,D,7,True,False,0,,32.0,28,,0,0,0,0,,2.0,8.0,2.0,,,1.0,,,,2.0,,,,,,,
839882,Juventus,496,532,Matthijs de Ligt,https://media.api-sports.io/football/players/532.png,90.0,4,D,6.9,False,False,0,,27.0,23,1.0,0,0,0,0,,1.0,8.0,2.0,,,,,,,2.0,,,,,,,
839882,Juventus,496,860,Alex Sandro,https://media.api-sports.io/football/players/860.png,90.0,12,D,7.9,False,False,0,,24.0,17,4.0,0,0,0,0,,,15.0,8.0,1.0,5.0,,,1.0,1.0,1.0,,2.0,,,,,
839882,Juventus,496,873,Federico Bernardeschi,https://media.api-sports.io/football/players/873.png,82.0,20,M,7.3,False,False,0,,13.0,11,2.0,0,0,0,0,,1.0,8.0,3.0,,1.0,1.0,1.0,5.0,1.0,,,,,1.0,1.0,,
839882,Juventus,496,2810,Denis Zakaria,https://media.api-sports.io/football/players/2810.png,90.0,28,M,7.2,False,False,0,,20.0,12,2.0,0,0,0,0,,1.0,9.0,5.0,,3.0,2.0,,,,3.0,,1.0,,,,,
