fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_assists,goals_saves,passes_total,passes_accuracy,duels_total,duels_won,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,tackles_total,dribbles_attempts,dribbles_success,dribbles_past,fouls_committed,tackles_interceptions,fouls_drawn,passes_key,tackles_blocks,offsides,shots_total,shots_on,goals_total,penalty_commited,penalty_won
1208494,Athletic Club,531,312468,Alex Padilla,https://media.api-sports.io/football/players/312468.png,90.0,26,G,6.7,False,False,1,0.0,1.0,36.0,19,1.0,1.0,0,0,0,0,0.0,,,,,,,,,,,,,,,
1208494,Athletic Club,531,47299,Andoni Gorosabel,https://media.api-sports.io/football/players/47299.png,81.0,2,D,6.2,False,False,0,0.0,,20.0,16,6.0,2.0,1,0,0,0,,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,
1208494,Athletic Club,531,47271,Yeray Álvarez,https://media.api-sports.io/football/players/47271.png,90.0,5,D,6.9,False,False,0,0.0,,59.0,52,10.0,5.0,0,0,0,0,,1.0,1.0,,,1.0,2.0,1.0,,,,,,,,
1208494,Athletic Club,531,183849,Aitor Paredes,https://media.api-sports.io/football/players/183849.png,81.0,4,D,6.6,False,False,0,0.0,,56.0,49,6.0,4.0,0,0,0,0,,,,,1.0,1.0,,2.0,1.0,1.0,,,,,,
1208494,Athletic Club,531,47273,Yuri Berchiche,https://media.api-sports.io/football/players/47273.png,90.0,17,D,7.2,False,False,0,0.0,,46.0,40,7.0,4.0,0,0,0,0,,1.0,1.0,1.0,1.0,,1.0,,,,1.0,1.0,1.0,,,
1208494,Athletic Club,531,182617,Beñat Prados,https://media.api-sports.io/football/players/182617.png,57.0,24,M,6.3,False,False,0,0.0,,28.0,20,12.0,6.0,1,0,0,0,,1.0,2.0,1.0,2.0,1.0,,1.0,1.0,,,,,,,
1208494,Athletic Club,531,47418,Mikel Vesga,https://media.api-sports.io/football/players/47418.png,57.0,6,M,6.5,False,False,0,0.0,,38.0,27,6.0,2.0,0,0,0,0,,2.0,1.0,,1.0,1.0,1.0,,,,,,,,,
1208494,Athletic Club,531,47294,Iñaki Williams,https://media.api-sports.io/football/players/47294.png,90.0,9,M,6.7,True,False,0,0.0,,22.0,15,8.0,4.0,0,0,0,0,,1.0,1.0,1.0,,,,1.0,,,,1.0,,,,
1208494,Athletic Club,531,128398,Oihan Sancet,https://media.api-sports.io/football/players/128398.png,90.0,8,M,7.2,False,False,0,0.0,,23.0,18,6.0,2.0,0,0,0,0,,1.0,,,,1.0,,1.0,,,,1.0,1.0,1.0,,
1208494,Athletic Club,531,30510,Álex Berenguer,https://media.api-sports.io/football/players/30510.png,72.0,7,M,6.5,False,False,0,0.0,,17.0,11,14.0,7.0,0,0,0,0,,1.0,5.0,2.0,,1.0,,1.0,,,,,,,,
1208494,Athletic Club,531,47291,Gorka Guruzeta,https://media.api-sports.io/football/players/47291.png,90.0,12,F,6.9,False,False,0,1.0,,21.0,16,12.0,1.0,0,0,0,0,,,1.0,,,3.0,,1.0,2.0,1.0,,,,,,
