fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals
871189,170,FC Augsburg,https://media.api-sports.io/football/teams/170.png,2,2,7,3,3,4,13,3,1,51%,2,,4,384,268,70%,
871189,164,FSV Mainz 05,https://media.api-sports.io/football/teams/164.png,6,4,13,3,8,5,19,3,4,49%,2,,1,359,268,75%,
871190,172,VfB Stuttgart,https://media.api-sports.io/football/teams/172.png,4,7,17,6,13,4,8,3,2,60%,4,,2,557,467,84%,
871190,160,SC Freiburg,https://media.api-sports.io/football/teams/160.png,3,5,9,1,4,5,12,1,3,40%,2,,4,369,278,75%,
871184,182,Union Berlin,https://media.api-sports.io/football/teams/182.png,3,3,7,1,4,3,15,1,5,26%,2,,,254,169,67%,
871184,173,RB Leipzig,https://media.api-sports.io/football/teams/173.png,2,4,16,10,10,6,8,13,3,74%,1,,,715,622,87%,
871186,169,Eintracht Frankfurt,https://media.api-sports.io/football/teams/169.png,3,5,9,1,4,5,16,5,3,53%,0,,1,417,316,76%,
871186,192,1.FC Köln,https://media.api-sports.io/football/teams/192.png,2,3,5,0,3,2,11,9,4,47%,1,,2,356,247,69%,
871188,176,Vfl Bochum,https://media.api-sports.io/football/teams/176.png,7,5,13,1,9,4,10,5,3,35%,1,,6,269,206,77%,
871188,157,Bayern Munich,https://media.api-sports.io/football/teams/157.png,12,7,22,3,14,8,6,5,5,65%,0,,7,504,436,87%,
871193,160,SC Freiburg,https://media.api-sports.io/football/teams/160.png,13,11,29,5,20,9,15,2,,47%,2,,5,348,248,71%,
871193,176,Vfl Bochum,https://media.api-sports.io/football/teams/176.png,5,6,15,4,11,4,13,5,,53%,2,,12,393,287,73%,
871197,159,Hertha Berlin,https://media.api-sports.io/football/teams/159.png,3,8,13,2,4,9,8,6,1,38%,1,,5,360,272,76%,
871197,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,7,10,22,5,20,2,9,10,0,62%,0,,3,583,501,86%,
871195,164,FSV Mainz 05,https://media.api-sports.io/football/teams/164.png,3,7,18,8,11,7,10,3,1,61%,1,0,2,577,480,83%,
871195,168,Bayer Leverkusen,https://media.api-sports.io/football/teams/168.png,5,1,8,2,4,4,12,4,3,39%,6,2,3,365,272,75%,
871196,167,1899 Hoffenheim,https://media.api-sports.io/football/teams/167.png,5,13,21,3,13,8,14,4,3,50%,1,,1,394,303,77%,
871196,170,FC Augsburg,https://media.api-sports.io/football/teams/170.png,1,6,11,4,7,4,9,6,2,50%,1,,4,386,282,73%,
871192,173,RB Leipzig,https://media.api-sports.io/football/teams/173.png,7,6,16,3,13,3,20,8,1,42%,3,,4,359,271,75%,
871192,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,4,3,9,2,7,2,15,4,1,58%,3,,5,495,406,82%,
871198,174,FC Schalke 04,https://media.api-sports.io/football/teams/174.png,7,7,16,2,13,3,9,8,0,59%,1,,1,480,382,80%,
871198,182,Union Berlin,https://media.api-sports.io/football/teams/182.png,7,3,12,2,9,3,10,2,3,41%,0,,6,341,232,68%,
871191,157,Bayern Munich,https://media.api-sports.io/football/teams/157.png,20,7,33,6,22,11,13,14,7,69%,4,,2,611,543,89%,
871191,163,Borussia Monchengladbach,https://media.api-sports.io/football/teams/163.png,3,2,5,0,4,1,7,1,0,31%,2,,19,286,196,69%,
