fixture_id,bet_name,bet_value,bet_odd
1387705,Goals Over/Under,Under 0.5,10.00
1387705,Goals Over/Under,Over 4.5,6.50
1387705,Goals Over/Under,Under 4.5,1.11
1387705,Goals Over/Under,Over 7.5,51.00
1387705,Goals Over/Under,Under 7.5,1.00
1387705,Goals Over/Under,Over 5.5,13.00
1387705,Goals Over/Under,Under 5.5,1.04
1387705,Goals Over/Under,Over 6.5,26.00
1387705,Goals Over/Under,Under 6.5,1.01
1387705,HT/FT Double,Home/Draw,13.00
1387705,HT/FT Double,Home/Away,29.00
1387705,HT/FT Double,Draw/Away,7.50
1387705,HT/FT Double,Draw/Draw,5.50
1387705,HT/FT Double,Home/Home,3.40
1387705,HT/FT Double,Draw/Home,5.00
1387705,HT/FT Double,Away/Home,23.00
1387705,HT/FT Double,Away/Draw,15.00
1387705,HT/FT Double,Away/Away,5.50
1387705,Double Chance,Home/Draw,1.28
1387705,Double Chance,Home/Away,1.33
1387705,Double Chance,Draw/Away,1.70
1387705,First Half Winner,Home,2.75
1387705,First Half Winner,Draw,2.20
1387705,First Half Winner,Away,4.00
1387700,Match Winner,Home,2.62
1387700,Match Winner,Draw,3.10
1387700,Match Winner,Away,2.80
1387700,Second Half Winner,Home,2.88
1387700,Second Half Winner,Draw,2.30
1387700,Second Half Winner,Away,3.00
1387700,Goals Over/Under,Over 1.5,1.33
1387700,Goals Over/Under,Under 1.5,3.40
1387700,Goals Over/Under,Over 2.5,2.10
1387700,Goals Over/Under,Under 2.5,1.73
1387700,Goals Over/Under,Over 3.5,3.75
1387700,Goals Over/Under,Under 3.5,1.28
1387700,Goals Over/Under,Over 0.5,1.07
1387700,Goals Over/Under,Under 0.5,9.00
1387700,Goals Over/Under,Over 4.5,8.00
1387700,Goals Over/Under,Under 4.5,1.08
1387700,Goals Over/Under,Over 7.5,51.00
1387700,Goals Over/Under,Under 7.5,1.00
1387700,Goals Over/Under,Over 5.5,17.00
1387700,Goals Over/Under,Under 5.5,1.02
1387700,Goals Over/Under,Over 6.5,29.00
1387700,Goals Over/Under,Under 6.5,1.01
1387700,HT/FT Double,Home/Draw,15.00
1387700,HT/FT Double,Home/Away,29.00
1387700,HT/FT Double,Draw/Away,6.50
1387700,HT/FT Double,Draw/Draw,4.75
1387700,HT/FT Double,Home/Home,4.33
1387700,HT/FT Double,Draw/Home,6.00
1387700,HT/FT Double,Away/Home,29.00
1387700,HT/FT Double,Away/Draw,15.00
1387700,HT/FT Double,Away/Away,4.50
1387700,Double Chance,Home/Draw,1.40
1387700,Double Chance,Home/Away,1.36
1387700,Double Chance,Draw/Away,1.44
1387700,First Half Winner,Home,3.25
1387700,First Half Winner,Draw,2.10
1387700,First Half Winner,Away,3.40
1387698,Match Winner,Home,3.10
1387698,Match Winner,Draw,3.40
1387698,Match Winner,Away,2.30
1387698,Second Half Winner,Home,3.10
1387698,Second Half Winner,Draw,2.50
1387698,Second Half Winner,Away,2.60
1387698,Goals Over/Under,Over 1.5,1.28
1387698,Goals Over/Under,Under 1.5,3.75
1387698,Goals Over/Under,Over 2.5,1.91
1387698,Goals Over/Under,Under 2.5,1.91
1387698,Goals Over/Under,Over 3.5,3.20
1387698,Goals Over/Under,Under 3.5,1.36
1387698,Goals Over/Under,Over 0.5,1.05
1387698,Goals Over/Under,Under 0.5,11.00
1387698,Goals Over/Under,Over 4.5,6.00
1387698,Goals Over/Under,Under 4.5,1.12
1387698,Goals Over/Under,Over 7.5,51.00
1387698,Goals Over/Under,Under 7.5,1.00
1387698,Goals Over/Under,Over 5.5,13.00
1387698,Goals Over/Under,Under 5.5,1.04
1387698,Goals Over/Under,Over 6.5,26.00
1387698,Goals Over/Under,Under 6.5,1.01
1387698,HT/FT Double,Home/Draw,15.00
1387698,HT/FT Double,Home/Away,26.00
1387698,HT/FT Double,Draw/Away,5.50
1387698,HT/FT Double,Draw/Draw,5.50
1387698,HT/FT Double,Home/Home,5.00
1387698,HT/FT Double,Draw/Home,7.00
1387698,HT/FT Double,Away/Home,29.00
1387698,HT/FT Double,Away/Draw,13.00
1387698,HT/FT Double,Away/Away,3.75
1387698,Double Chance,Home/Draw,1.57
1387698,Double Chance,Home/Away,1.30
1387698,Double Chance,Draw/Away,1.36
1387698,First Half Winner,Home,3.60
1387698,First Half Winner,Draw,2.20
1387698,First Half Winner,Away,2.88
1387699,Match Winner,Home,2.38
1387699,Match Winner,Draw,3.25
1387699,Match Winner,Away,3.10
1387699,Second Half Winner,Home,2.62
1387699,Second Half Winner,Draw,2.38
1387699,Second Half Winner,Away,3.10
1387699,Goals Over/Under,Over 1.5,1.33
1387699,Goals Over/Under,Under 1.5,3.40
1387699,Goals Over/Under,Over 2.5,2.00
1387699,Goals Over/Under,Under 2.5,1.80
1387699,Goals Over/Under,Over 3.5,3.50
1387699,Goals Over/Under,Under 3.5,1.30
1387699,Goals Over/Under,Over 0.5,1.06
1387699,Goals Over/Under,Under 0.5,9.50
1387699,Goals Over/Under,Over 4.5,7.00
1387699,Goals Over/Under,Under 4.5,1.10
1387699,Goals Over/Under,Over 7.5,51.00
1387699,Goals Over/Under,Under 7.5,1.00
1387699,Goals Over/Under,Over 5.5,15.00
1387699,Goals Over/Under,Under 5.5,1.03
1387699,Goals Over/Under,Over 6.5,29.00
1387699,Goals Over/Under,Under 6.5,1.01
1387699,HT/FT Double,Home/Draw,13.00
1387699,HT/FT Double,Home/Away,29.00
1387699,HT/FT Double,Draw/Away,6.50
1387699,HT/FT Double,Draw/Draw,5.00
1387699,HT/FT Double,Home/Home,3.75
1387699,HT/FT Double,Draw/Home,5.50
1387699,HT/FT Double,Away/Home,26.00
1387699,HT/FT Double,Away/Draw,15.00
1387699,HT/FT Double,Away/Away,4.75
1387699,Double Chance,Home/Draw,1.36
1387699,Double Chance,Home/Away,1.33
1387699,Double Chance,Draw/Away,1.53
1387699,First Half Winner,Home,3.00
1387699,First Half Winner,Draw,2.10
1387699,First Half Winner,Away,3.60
1387702,Match Winner,Home,3.50
1387702,Match Winner,Draw,3.40
1387702,Match Winner,Away,2.10
1387702,Second Half Winner,Home,3.40
1387702,Second Half Winner,Draw,2.50
1387702,Second Half Winner,Away,2.40
1387702,Goals Over/Under,Over 1.5,1.28
1387702,Goals Over/Under,Under 1.5,3.75
1387702,Goals Over/Under,Over 2.5,1.91
1387702,Goals Over/Under,Under 2.5,1.91
1387702,Goals Over/Under,Over 3.5,3.20
1387702,Goals Over/Under,Under 3.5,1.36
1387702,Goals Over/Under,Over 0.5,1.05
1387702,Goals Over/Under,Under 0.5,11.00
1387702,Goals Over/Under,Over 4.5,6.00
1387702,Goals Over/Under,Under 4.5,1.12
