fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,shots_total,shots_on,goals_conceded,goals_saves,passes_total,passes_key,passes_accuracy,tackles_blocks,tackles_interceptions,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,tackles_total,dribbles_past,goals_assists,goals_total,penalty_won,penalty_commited,offsides
157562,Nice,84,22179,Myziane Maolida,https://media.api-sports.io/football/players/22179.png,87,7,F,8.1,False,False,2,1,0.0,,27,3,77%,0.0,1,1,0,1,0,0,0,0,0,,2.0,1.0,1.0,1.0,,,
157562,Nice,84,22162,Racine Coly,https://media.api-sports.io/football/players/22162.png,11,12,D,6.5,False,True,0,0,0.0,,0,0,0%,0.0,1,0,0,0,0,0,0,0,0,,,1.0,,,,,
157562,Nice,84,20634,Alexis Claude Maurice,https://media.api-sports.io/football/players/20634.png,8,18,M,6.7,False,True,0,0,0.0,,1,0,100%,0.0,0,1,1,0,0,0,0,0,0,,,,,,,,
157562,Nice,84,4399,Hicham Boudaoui,https://media.api-sports.io/football/players/4399.png,26,28,M,6.2,False,True,0,0,0.0,,9,0,75%,1.0,1,1,0,0,1,0,0,0,0,,2.0,2.0,,,,,
157562,Angers,77,21136,Ludovic Butelle,https://media.api-sports.io/football/players/21136.png,90,16,G,6.5,False,False,0,0,3.0,4.0,13,0,56%,0.0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,
157562,Angers,77,3234,Abdoulaye Bamba,https://media.api-sports.io/football/players/3234.png,90,25,D,5.8,False,False,0,0,0.0,,18,0,69%,0.0,1,0,0,0,0,0,0,0,0,,1.0,3.0,,,,,
157562,Angers,77,21142,Mateo Pavlović,https://media.api-sports.io/football/players/21142.png,90,4,D,6.0,False,False,0,0,0.0,,28,0,84%,0.0,0,0,0,0,1,0,0,0,0,,,,,,,,
157562,Angers,77,21144,Romain Thomas,https://media.api-sports.io/football/players/21144.png,90,24,D,6.5,False,False,0,0,0.0,,51,2,92%,0.0,1,0,0,0,2,0,0,0,0,,,,1.0,,,,
157562,Angers,77,21143,Théo Pellenard,https://media.api-sports.io/football/players/21143.png,90,26,D,5.9,False,False,0,0,0.0,,40,0,81%,0.0,1,5,1,1,2,0,0,0,0,,5.0,3.0,,,,,
157562,Angers,77,21153,Baptiste Santamaria,https://media.api-sports.io/football/players/21153.png,90,18,M,6.8,False,False,1,1,0.0,,45,0,83%,0.0,0,1,1,1,0,0,0,0,0,,,1.0,,,,,
157562,Angers,77,21146,Angelo Fulgini,https://media.api-sports.io/football/players/21146.png,90,10,M,8.3,False,False,4,1,0.0,,39,1,79%,0.0,1,12,9,4,1,0,0,0,0,,3.0,,,1.0,,,
157562,Angers,77,21446,Antonin Bobichon,https://media.api-sports.io/football/players/21446.png,57,23,M,6.5,False,False,0,0,0.0,,20,0,87%,0.0,0,1,1,0,0,0,0,0,0,,,1.0,,,,,
157562,Angers,77,21148,Thomas Mangani,https://media.api-sports.io/football/players/21148.png,90,5,M,7.4,True,False,0,0,0.0,,49,2,92%,0.0,0,2,2,2,0,0,0,0,0,,4.0,,,,,,
157562,Angers,77,20780,Mathias Pereira Lage,https://media.api-sports.io/football/players/20780.png,57,27,M,6.5,False,False,1,0,0.0,,14,0,66%,0.0,2,4,1,0,4,0,0,0,0,,3.0,1.0,,,,,
157562,Angers,77,2996,Sada Thioub,https://media.api-sports.io/football/players/2996.png,90,20,F,6.8,False,False,1,1,0.0,,28,1,84%,0.0,0,4,2,1,3,1,0,0,0,,,,,,,,
157562,Angers,77,21145,Pierrick Capelle,https://media.api-sports.io/football/players/21145.png,33,15,M,7.0,False,False,3,1,0.0,,28,1,93%,0.0,1,2,1,0,0,0,0,0,0,,2.0,,,,,,
157562,Angers,77,2718,Rachid Alioui,https://media.api-sports.io/football/players/2718.png,33,7,F,6.4,False,False,0,0,0.0,,7,0,100%,0.0,1,0,0,0,0,0,0,0,0,,,1.0,,,,,
157556,Nimes,92,21425,Paul Bernardoni,https://media.api-sports.io/football/players/21425.png,90,30,G,6.7,False,False,0,0,1.0,3.0,15,0,78%,0.0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,
157556,Nimes,92,21436,Sofiane Alakouch,https://media.api-sports.io/football/players/21436.png,90,29,D,7.0,False,False,1,0,0.0,,28,0,73%,1.0,2,3,1,3,1,0,0,0,0,,6.0,3.0,,,,,
