fixture_id,date,timestamp,status,maintime,first_half,second_half,extratime,country,league_id,league_name,league_flag,league_logo,season,round,venue_name,venue_city,venue_id,referee,home_team,home_team_id,home_team_flag,home_winner,away_team,away_team_id,away_team_flag,away_winner,home_goals,away_goals,halftime_home,halftime_away,fulltime_home,fulltime_away,home_team_name,home_team_logo,home_Shots on Goal,home_Shots off Goal,home_Total Shots,home_Blocked Shots,home_Shots insidebox,home_Shots outsidebox,home_Fouls,home_Corner Kicks,home_Offsides,home_Ball Possession,home_Yellow Cards,home_Red Cards,home_Goalkeeper Saves,home_Total passes,home_Passes accurate,home_Passes %,home_Counter Attacks,away_team_name,away_team_logo,away_Shots on Goal,away_Shots off Goal,away_Total Shots,away_Blocked Shots,away_Shots insidebox,away_Shots outsidebox,away_Fouls,away_Corner Kicks,away_Offsides,away_Ball Possession,away_Yellow Cards,away_Red Cards,away_Goalkeeper Saves,away_Total passes,away_Passes accurate,away_Passes %,away_Counter Attacks,odds_home_win,odds_draw,odds_away_win
3177,2018-09-23 12:30:00+00:00,1537705800,FT,90,1537705800,1537709400,,Netherlands,88,Eredivisie,https://media.api-sports.io/flags/nl.svg,https://media.api-sports.io/football/leagues/88.png,2018,Regular Season - 6,JenS Vesting,Emmen,,"Bjorn Kuipers, Netherlands",Emmen,208,https://media.api-sports.io/football/teams/208.png,False,PEC Zwolle,193,https://media.api-sports.io/football/teams/193.png,True,0,1,0,1,0,1,Emmen,https://media.api-sports.io/football/teams/208.png,3,3,9.0,3.0,7.0,2.0,14,7,6.0,51%,2.0,0.0,3,396.0,289.0,73%,,PEC Zwolle,https://media.api-sports.io/football/teams/193.png,4,4,12.0,4.0,7.0,5.0,18,7,0.0,49%,3.0,0.0,3,378.0,277.0,73%,,,,
3181,2018-09-23 14:45:00+00:00,1537713900,FT,90,1537713900,1537717500,,Netherlands,88,Eredivisie,https://media.api-sports.io/flags/nl.svg,https://media.api-sports.io/football/leagues/88.png,2018,Regular Season - 6,Philips Stadion,Eindhoven,1143.0,"Danny Desmond Makkelie, Netherlands",PSV Eindhoven,197,https://media.api-sports.io/football/teams/197.png,True,Ajax,194,https://media.api-sports.io/football/teams/194.png,False,3,0,3,0,3,0,PSV Eindhoven,https://media.api-sports.io/football/teams/197.png,8,4,14.0,2.0,9.0,5.0,18,1,1.0,34%,3.0,0.0,4,296.0,196.0,66%,,Ajax,https://media.api-sports.io/football/teams/194.png,4,4,15.0,7.0,10.0,5.0,12,6,1.0,66%,2.0,0.0,5,548.0,459.0,84%,,,,
3183,2018-09-29 16:30:00+00:00,1538238600,FT,90,1538238600,1538242200,,Netherlands,88,Eredivisie,https://media.api-sports.io/flags/nl.svg,https://media.api-sports.io/football/leagues/88.png,2018,Regular Season - 7,Rat Verlegh Stadion,Breda,1139.0,"Dennis Higler, Netherlands",NAC Breda,203,https://media.api-sports.io/football/teams/203.png,False,PSV Eindhoven,197,https://media.api-sports.io/football/teams/197.png,True,0,2,0,0,0,2,NAC Breda,https://media.api-sports.io/football/teams/203.png,2,5,10.0,3.0,5.0,5.0,8,4,,35%,3.0,0.0,2,281.0,202.0,72%,,PSV Eindhoven,https://media.api-sports.io/football/teams/197.png,4,3,12.0,5.0,5.0,7.0,11,10,,65%,4.0,0.0,2,531.0,444.0,84%,,,,
3182,2018-09-29 16:30:00+00:00,1538238600,FT,90,1538238600,1538242200,,Netherlands,88,Eredivisie,https://media.api-sports.io/flags/nl.svg,https://media.api-sports.io/football/leagues/88.png,2018,Regular Season - 7,Abe Lenstra Stadion,Heerenveen,1132.0,"Siemen Mulder, Netherlands",Heerenveen,210,https://media.api-sports.io/football/teams/210.png,,ADO Den Haag,198,https://media.api-sports.io/football/teams/198.png,,1,1,1,1,1,1,Heerenveen,https://media.api-sports.io/football/teams/210.png,1,6,12.0,5.0,7.0,5.0,17,2,0.0,51%,1.0,0.0,1,399.0,303.0,76%,,ADO Den Haag,https://media.api-sports.io/football/teams/198.png,2,3,8.0,3.0,6.0,2.0,14,3,2.0,49%,3.0,0.0,0,357.0,265.0,74%,,,,
3184,2018-09-29 18:45:00+00:00,1538246700,FT,90,1538246700,1538250300,,Netherlands,88,Eredivisie,https://media.api-sports.io/flags/nl.svg,https://media.api-sports.io/football/leagues/88.png,2018,Regular Season - 7,Stadion Woudestein,Rotterdam,,"Martin Perez, Netherlands",Excelsior,196,https://media.api-sports.io/football/teams/196.png,True,VVV Venlo,204,https://media.api-sports.io/football/teams/204.png,False,1,0,1,0,1,0,Excelsior,https://media.api-sports.io/football/teams/196.png,2,3,9.0,4.0,5.0,4.0,12,3,0.0,46%,2.0,1.0,4,385.0,315.0,82%,,VVV Venlo,https://media.api-sports.io/football/teams/204.png,4,4,14.0,6.0,10.0,4.0,10,9,1.0,54%,2.0,0.0,1,418.0,332.0,79%,,,,
3185,2018-09-29 18:45:00+00:00,1538246700,FT,90,1538246700,1538250300,,Netherlands,88,Eredivisie,https://media.api-sports.io/flags/nl.svg,https://media.api-sports.io/football/leagues/88.png,2018,Regular Season - 7,Fortuna Sittard Stadion,Sittard,1129.0,"Pol van Boekel, Netherlands",Fortuna Sittard,205,https://media.api-sports.io/football/teams/205.png,False,Ajax,194,https://media.api-sports.io/football/teams/194.png,True,0,2,0,0,0,2,Fortuna Sittard,https://media.api-sports.io/football/teams/205.png,5,4,15.0,6.0,8.0,7.0,12,3,1.0,43%,3.0,0.0,2,414.0,305.0,74%,,Ajax,https://media.api-sports.io/football/teams/194.png,4,8,17.0,5.0,13.0,4.0,12,8,4.0,57%,2.0,0.0,5,530.0,432.0,82%,,,,
3186,2018-09-30 10:15:00+00:00,1538302500,FT,90,1538302500,1538306100,,Netherlands,88,Eredivisie,https://media.api-sports.io/flags/nl.svg,https://media.api-sports.io/football/leagues/88.png,2018,Regular Season - 7,Polman Stadion,Almelo,,"Danny Desmond Makkelie, Netherlands",Heracles,206,https://media.api-sports.io/football/teams/206.png,True,Emmen,208,https://media.api-sports.io/football/teams/208.png,False,2,1,2,0,2,1,Heracles,https://media.api-sports.io/football/teams/206.png,6,5,14.0,3.0,10.0,4.0,12,2,1.0,46%,2.0,0.0,7,426.0,334.0,78%,,Emmen,https://media.api-sports.io/football/teams/208.png,8,3,16.0,5.0,9.0,7.0,10,7,0.0,54%,2.0,0.0,4,486.0,366.0,75%,,,,
3188,2018-09-30 12:30:00+00:00,1538310600,FT,90,1538310600,1538314200,,Netherlands,88,Eredivisie,https://media.api-sports.io/flags/nl.svg,https://media.api-sports.io/football/leagues/88.png,2018,Regular Season - 7,De Vijverberg,Doetinchem,,"Christaan Bax, Netherlands",De Graafschap,199,https://media.api-sports.io/football/teams/199.png,True,Willem II,195,https://media.api-sports.io/football/teams/195.png,False,2,1,1,0,2,1,De Graafschap,https://media.api-sports.io/football/teams/199.png,7,11,24.0,6.0,11.0,13.0,12,10,1.0,62%,1.0,0.0,3,398.0,327.0,82%,,Willem II,https://media.api-sports.io/football/teams/195.png,4,1,10.0,5.0,6.0,4.0,19,3,1.0,38%,5.0,2.0,6,251.0,161.0,64%,,,,
3187,2018-09-30 12:30:00+00:00,1538310600,FT,90,1538310600,1538314200,,Netherlands,88,Eredivisie,https://media.api-sports.io/flags/nl.svg,https://media.api-sports.io/football/leagues/88.png,2018,Regular Season - 7,AFAS Stadion,Alkmaar,1119.0,"Jochem Kamphuis, Netherlands",AZ Alkmaar,201,https://media.api-sports.io/football/teams/201.png,,PEC Zwolle,193,https://media.api-sports.io/football/teams/193.png,,2,2,1,1,2,2,AZ Alkmaar,https://media.api-sports.io/football/teams/201.png,3,9,15.0,3.0,9.0,6.0,11,9,3.0,61%,1.0,0.0,1,545.0,441.0,81%,,PEC Zwolle,https://media.api-sports.io/football/teams/193.png,3,4,10.0,3.0,5.0,5.0,18,0,0.0,39%,3.0,0.0,1,348.0,249.0,72%,,,,
3189,2018-09-30 12:30:00+00:00,1538310600,FT,90,1538310600,1538314200,,Netherlands,88,Eredivisie,https://media.api-sports.io/flags/nl.svg,https://media.api-sports.io/football/leagues/88.png,2018,Regular Season - 7,Hitachi Capital Mobility Stadion,Groningen,,"Bas Nijhuis, Netherlands",Groningen,202,https://media.api-sports.io/football/teams/202.png,,Utrecht,207,https://media.api-sports.io/football/teams/207.png,,1,1,0,1,1,1,Groningen,https://media.api-sports.io/football/teams/202.png,6,7,15.0,2.0,11.0,4.0,13,4,0.0,54%,1.0,0.0,1,448.0,329.0,73%,,Utrecht,https://media.api-sports.io/football/teams/207.png,2,5,7.0,0.0,5.0,2.0,9,3,1.0,46%,3.0,1.0,5,381.0,272.0,71%,,,,
3190,2018-09-30 14:45:00+00:00,1538318700,FT,90,1538318700,1538322300,,Netherlands,88,Eredivisie,https://media.api-sports.io/flags/nl.svg,https://media.api-sports.io/football/leagues/88.png,2018,Regular Season - 7,De Kuip,Rotterdam,,"Serdar Gozubuyuk, Netherlands",Feyenoord,209,https://media.api-sports.io/football/teams/209.png,True,Vitesse,200,https://media.api-sports.io/football/teams/200.png,False,2,1,0,1,2,1,Feyenoord,https://media.api-sports.io/football/teams/209.png,7,7,19.0,5.0,11.0,8.0,14,9,2.0,62%,0.0,1.0,4,565.0,482.0,85%,,Vitesse,https://media.api-sports.io/football/teams/200.png,5,6,11.0,0.0,7.0,4.0,8,1,1.0,38%,3.0,2.0,5,329.0,239.0,73%,,,,
3191,2018-10-05 18:00:00+00:00,1538762400,FT,90,1538762400,1538766000,,Netherlands,88,Eredivisie,https://media.api-sports.io/flags/nl.svg,https://media.api-sports.io/football/leagues/88.png,2018,Regular Season - 8,Stadion Galgenwaard,Utrecht,1154.0,"Bjorn Kuipers, Netherlands",Utrecht,207,https://media.api-sports.io/football/teams/207.png,True,NAC Breda,203,https://media.api-sports.io/football/teams/203.png,False,2,1,1,0,2,1,Utrecht,https://media.api-sports.io/football/teams/207.png,5,8,18.0,5.0,12.0,6.0,6,11,2.0,56%,0.0,0.0,2,533.0,458.0,86%,,NAC Breda,https://media.api-sports.io/football/teams/203.png,3,4,9.0,2.0,6.0,3.0,9,2,0.0,44%,2.0,0.0,3,436.0,365.0,84%,,,,
3192,2018-10-06 16:30:00+00:00,1538843400,FT,90,1538843400,1538847000,,Netherlands,88,Eredivisie,https://media.api-sports.io/flags/nl.svg,https://media.api-sports.io/football/leagues/88.png,2018,Regular Season - 8,Cars Jeans Stadion,Den Haag,1115.0,"Allard Lindhout, Netherlands",ADO Den Haag,198,https://media.api-sports.io/football/teams/198.png,True,Groningen,202,https://media.api-sports.io/football/teams/202.png,False,1,0,1,0,1,0,ADO Den Haag,https://media.api-sports.io/football/teams/198.png,3,2,9.0,4.0,4.0,5.0,10,6,2.0,55%,1.0,0.0,3,425.0,317.0,75%,,Groningen,https://media.api-sports.io/football/teams/202.png,3,2,8.0,3.0,3.0,5.0,18,5,3.0,45%,2.0,0.0,2,337.0,249.0,74%,,,,
3193,2018-10-06 17:45:00+00:00,1538847900,FT,90,1538847900,1538851500,,Netherlands,88,Eredivisie,https://media.api-sports.io/flags/nl.svg,https://media.api-sports.io/football/leagues/88.png,2018,Regular Season - 8,Mac3Park Stadion,Zwolle,,"Martin Van den Kerkhof, Netherlands",PEC Zwolle,193,https://media.api-sports.io/football/teams/193.png,True,Excelsior,196,https://media.api-sports.io/football/teams/196.png,False,2,0,1,0,2,0,PEC Zwolle,https://media.api-sports.io/football/teams/193.png,4,17,22.0,1.0,11.0,11.0,11,5,1.0,59%,1.0,0.0,2,522.0,434.0,83%,,Excelsior,https://media.api-sports.io/football/teams/196.png,2,1,5.0,2.0,3.0,2.0,12,5,0.0,41%,3.0,0.0,2,351.0,246.0,70%,,,,
