fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_assists,goals_saves,passes_total,passes_accuracy,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,duels_total,duels_won,dribbles_attempts,dribbles_success,tackles_total,fouls_drawn,fouls_committed,passes_key,tackles_interceptions,tackles_blocks,shots_total,shots_on,goals_total,offsides,dribbles_past,penalty_won,penalty_commited
1245608,Ferencvarosi TC,651,28322,Dénes Dibusz,https://media.api-sports.io/football/players/28322.png,90.0,90,G,7,True,False,0,0.0,1.0,15.0,14,0,0,0,0,0.0,,,,,,,,,,,,,,,,,
1245608,Ferencvarosi TC,651,178362,Cebrail Makreckis,https://media.api-sports.io/football/players/178362.png,77.0,25,D,6.9,False,False,0,0.0,,43.0,41,0,0,0,0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
1245608,Ferencvarosi TC,651,21140,Ibrahim Cissé,https://media.api-sports.io/football/players/21140.png,90.0,27,D,7.2,False,False,0,0.0,,89.0,83,0,0,0,0,,3.0,2.0,,,1.0,1.0,1.0,,,,,,,,,,
1245608,Ferencvarosi TC,651,14390,Raul Gustavo,https://media.api-sports.io/football/players/14390.png,83.0,34,D,7.9,False,False,0,0.0,,103.0,91,0,0,0,0,,8.0,7.0,,,2.0,2.0,1.0,1.0,4.0,,,,,,,,
1245608,Ferencvarosi TC,651,2076,Cristian Ramírez,https://media.api-sports.io/football/players/2076.png,90.0,99,D,8.2,False,False,0,1.0,,96.0,83,0,0,0,0,,9.0,6.0,,,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,
1245608,Ferencvarosi TC,651,20531,Habib Maïga,https://media.api-sports.io/football/players/20531.png,77.0,80,M,6.9,False,False,0,0.0,,28.0,27,0,0,0,0,,3.0,1.0,,,1.0,,2.0,,1.0,,1.0,,,,,,
1245608,Ferencvarosi TC,651,37833,Philippe Rommens,https://media.api-sports.io/football/players/37833.png,90.0,88,M,7.3,False,False,0,0.0,,54.0,47,0,0,0,0,,8.0,7.0,1.0,,4.0,1.0,,1.0,,,1.0,1.0,,,,,
1245608,Ferencvarosi TC,651,3347,Adama Malouda Traoré,https://media.api-sports.io/football/players/3347.png,90.0,20,M,9.5,False,False,0,0.0,,28.0,26,0,0,0,0,,7.0,2.0,4.0,1.0,1.0,,1.0,1.0,,,4.0,3.0,3.0,,,,
1245608,Ferencvarosi TC,651,2027,Kristoffer Zachariassen,https://media.api-sports.io/football/players/2027.png,90.0,16,M,7.3,False,False,0,0.0,,15.0,11,0,0,0,0,,7.0,2.0,1.0,,,1.0,,,,,1.0,1.0,1.0,1.0,2.0,1.0,
1245608,Ferencvarosi TC,651,9881,Marquinhos Costa,https://media.api-sports.io/football/players/9881.png,76.0,10,M,9.3,False,False,0,1.0,,35.0,30,1,0,1,0,,10.0,6.0,7.0,4.0,2.0,,,2.0,,,2.0,2.0,1.0,1.0,,,
1245608,Ferencvarosi TC,651,34525,Aleksandar Pešić,https://media.api-sports.io/football/players/34525.png,76.0,8,F,7.2,False,False,0,1.0,,11.0,7,0,0,0,0,,8.0,5.0,,,,1.0,,1.0,,,1.0,,,,,,
1245608,Ferencvarosi TC,651,9353,Kady Borges,https://media.api-sports.io/football/players/9353.png,14.0,35,M,6.3,False,True,0,0.0,,7.0,6,0,0,0,0,,,,,,,,,,,,,,,,,,
1245608,Ferencvarosi TC,651,73820,Owusu Kwabena,https://media.api-sports.io/football/players/73820.png,14.0,18,F,6.3,False,True,0,0.0,,7.0,5,0,0,0,0,,1.0,,,,,,,1.0,,,,,,,1.0,,
1245608,Ferencvarosi TC,651,28326,Endre Botka,https://media.api-sports.io/football/players/28326.png,13.0,21,D,6.7,False,True,0,0.0,,11.0,11,0,0,0,0,,,,,,,,,,1.0,,,,,,,,
1245608,Ferencvarosi TC,651,361485,Alex Tóth,https://media.api-sports.io/football/players/361485.png,13.0,64,D,6.3,False,True,0,0.0,,9.0,7,0,0,0,0,,,,,,,,,,,,,,,,,,
1245608,Ferencvarosi TC,651,37253,Mats Knoester,https://media.api-sports.io/football/players/37253.png,11.0,4,D,6.7,False,True,0,0.0,,13.0,13,0,0,0,0,,,,,,,,,,,,,,,,,,
1245608,Ferencvarosi TC,651,28324,Ádám Varga,https://media.api-sports.io/football/players/28324.png,,1,G,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1245608,Ferencvarosi TC,651,1379,Myenty Abena,https://media.api-sports.io/football/players/1379.png,,22,D,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1245608,Ferencvarosi TC,651,416315,Norbert Kaján,https://media.api-sports.io/football/players/416315.png,,54,D,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1245608,Ferencvarosi TC,651,49404,Mohamed Ali Ben Romdhane,https://media.api-sports.io/football/players/49404.png,,7,M,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1245608,Ferencvarosi TC,651,118347,Tosin Kehinde,https://media.api-sports.io/football/players/118347.png,,24,M,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1245608,Ferencvarosi TC,651,289944,Bálint Katona,https://media.api-sports.io/football/players/289944.png,,55,M,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1245608,Ferencvarosi TC,651,313152,Zsombor Gruber,https://media.api-sports.io/football/players/313152.png,,30,F,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1245608,The New Saints,354,53163,Connor Roberts,https://media.api-sports.io/football/players/53163.png,90.0,25,G,6.2,False,False,5,0.0,2.0,47.0,41,0,0,0,0,0.0,,,,,,,,,,,,,,,,,
1245608,The New Saints,354,128067,Joshua Daniels,https://media.api-sports.io/football/players/128067.png,90.0,7,D,5.9,False,False,0,0.0,,33.0,24,0,0,0,0,,4.0,2.0,,,1.0,,,,1.0,,,,,,,,
1245608,The New Saints,354,87918,Josh Pask,https://media.api-sports.io/football/players/87918.png,90.0,2,D,6.2,False,False,0,0.0,,41.0,36,0,0,0,0,,5.0,3.0,,,3.0,,,,2.0,1.0,,,,,,,
