fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %
164261,43,Cardiff,https://media.api-sports.io/football/teams/43.png,2,6,10,2,7,3,10,3,0,47%,1,,0,288,165,57%
164261,70,Middlesbrough,https://media.api-sports.io/football/teams/70.png,0,6,11,5,6,5,12,8,2,53%,2,,2,318,183,58%
164266,53,Reading,https://media.api-sports.io/football/teams/53.png,3,9,17,5,11,6,14,3,1,53%,2,,3,436,338,78%
164266,67,Blackburn,https://media.api-sports.io/football/teams/67.png,5,4,9,0,7,2,14,3,0,47%,2,,2,376,275,73%
164258,54,Birmingham,https://media.api-sports.io/football/teams/54.png,2,3,7,2,5,2,12,7,3,48%,,,2,400,273,68%
164258,59,Preston,https://media.api-sports.io/football/teams/59.png,3,1,4,0,2,2,12,0,2,52%,,,2,444,319,72%
164259,55,Brentford,https://media.api-sports.io/football/teams/55.png,2,7,12,3,7,5,13,4,2,64%,1,,3,573,486,85%
164259,75,Stoke City,https://media.api-sports.io/football/teams/75.png,4,3,11,4,3,8,6,5,1,36%,2,,1,315,237,75%
164260,56,Bristol City,https://media.api-sports.io/football/teams/56.png,2,5,11,4,4,7,8,2,2,43%,1,0,2,341,241,71%
164260,76,Swansea,https://media.api-sports.io/football/teams/76.png,2,8,15,5,9,6,10,7,1,57%,1,1,2,445,344,77%
164264,58,Millwall,https://media.api-sports.io/football/teams/58.png,5,6,12,1,10,2,8,6,2,48%,2,,1,351,223,64%
164264,72,QPR,https://media.api-sports.io/football/teams/72.png,3,5,14,6,9,5,8,3,1,52%,3,,4,390,264,68%
164269,61,Wigan,https://media.api-sports.io/football/teams/61.png,4,6,17,7,12,5,16,9,3,49%,1,,3,327,247,76%
164269,1335,Charlton,https://media.api-sports.io/football/teams/1335.png,3,6,13,4,9,4,13,5,1,51%,1,,2,332,247,74%
164265,65,Nottingham Forest,https://media.api-sports.io/football/teams/65.png,1,7,11,3,8,3,6,8,1,48%,2,,5,398,267,67%
164265,747,Barnsley,https://media.api-sports.io/football/teams/747.png,5,3,16,8,11,5,10,10,1,52%,3,,0,399,275,69%
