fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,passes_total,passes_accuracy,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,tackles_total,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_committed,shots_total,fouls_drawn,dribbles_past,passes_key,tackles_blocks,offsides,shots_on,goals_total,goals_saves,penalty_commited,goals_assists,penalty_won
1099021,Ternana,516,136005,Niccolò Corrado,https://media.api-sports.io/football/players/136005.png,77.0,91.0,M,6.9,False,False,0,24.0,18,0,0,0,0,,1.0,,4.0,3.0,2.0,2.0,,,,1.0,1.0,,,,,,,,
1099021,Ternana,516,56774,Alexis Ferrante,https://media.api-sports.io/football/players/56774.png,77.0,99.0,F,6.9,False,False,0,18.0,15,0,0,0,0,,,,12.0,6.0,,,2.0,2.0,3.0,1.0,1.0,,2.0,,,,,,
1099021,Ternana,516,31553,César Falletti,https://media.api-sports.io/football/players/31553.png,90.0,10.0,F,6.9,True,False,0,40.0,27,0,0,0,0,,,,8.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,
1099021,Ternana,516,31672,Valerio Mantovani,https://media.api-sports.io/football/players/31672.png,30.0,13.0,D,6.5,False,True,0,14.0,10,0,0,0,0,,1.0,,5.0,1.0,,,2.0,,,1.0,,,,,,,,,
1099021,Ternana,516,134922,Gabriele Capanni,https://media.api-sports.io/football/players/134922.png,22.0,11.0,M,6.2,False,True,0,10.0,10,0,0,0,0,,,,2.0,,2.0,,,,,,,,,,,,,,
1099021,Ternana,516,24790,Frederik Sørensen,https://media.api-sports.io/football/players/24790.png,13.0,4.0,D,6.9,False,True,0,9.0,6,0,0,0,0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
1099021,Ternana,516,31525,Filippo Damian,https://media.api-sports.io/football/players/31525.png,13.0,5.0,M,6.3,False,True,0,6.0,5,0,0,0,0,,1.0,1.0,5.0,1.0,,,1.0,,,2.0,,,,,,,,,
1099021,Ternana,516,342067,Filippo Distefano,https://media.api-sports.io/football/players/342067.png,13.0,28.0,F,6.7,False,True,0,4.0,2,0,0,0,0,,1.0,,2.0,1.0,,,1.0,,,,,,,,,,,,
1099021,Ternana,516,31007,Gabriel Brazão,https://media.api-sports.io/football/players/31007.png,,17.0,G,,False,True,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
1099021,Ternana,516,326877,Alessandro Morlupo,https://media.api-sports.io/football/players/326877.png,,22.0,G,,False,True,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
1099021,Ternana,516,31072,Marco Capuano,https://media.api-sports.io/football/players/31072.png,,19.0,D,,False,True,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
1099021,Ternana,516,409117,Mirco Ferrante,https://media.api-sports.io/football/players/409117.png,,74.0,M,,False,True,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
1099021,Ternana,516,31268,Federico Furlan,https://media.api-sports.io/football/players/31268.png,,7.0,M,,False,True,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
1099021,Ternana,516,180583,Iulius Marginean,https://media.api-sports.io/football/players/180583.png,,73.0,M,,False,True,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
1099021,Ternana,516,133637,Pietro Rovaglia,https://media.api-sports.io/football/players/133637.png,,31.0,F,,False,True,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
1099022,Cosenza,10137,31664,Alessandro Micai,https://media.api-sports.io/football/players/31664.png,120.0,1.0,G,7,False,False,5,47.0,27,0,0,0,0,0.0,1.0,,2.0,1.0,,,,,,,,,,,,6.0,,,
1099022,Cosenza,10137,330776,Pietro Martino,https://media.api-sports.io/football/players/330776.png,120.0,27.0,D,6.5,False,False,0,36.0,24,0,0,0,0,,3.0,1.0,12.0,8.0,3.0,3.0,,,1.0,2.0,1.0,1.0,,,,,,,
